refcode,title,year
SOU95A,"Sounigo, O., N'Goran, J., Coulibaly, N., Clement, D. & Lachenaud, P. (1995) Evaluation de clones de cacaoyers pour la productivite, la resistance aux mirides et la resistance a la pourriture des cabosses.  In: Proceedings of the 11th International Cocoa Research Conference, Yammoussoukro, Cote d'Ivoire, 1993. Cocoa Producers' Alliance, Lagos, Nigeria. pp. 375-381.",1995
ARE99A,"Arevelo, E., Zuniga, L.., Adriazola, J., Garcia, L., Cabezas, O., Hart, A. & Rios, J. (1999) Clones Ucayali-Urubamba.  Data file in Excel format sent to the ICGD by Enrique Arevalo, 17 December 1999.",1999
LAM92A,"Lam, K.S. (1992) Performance of imported clones in Sime Darby Plantations.  In: Unpublished Proceedings of MCGC Mini-Seminar on the Performance of Imported Cocoa Clones, 13th October, 1992. Kuala Lumpur, Malaysia.",1992
AMO09A,"Freddy Amores, Geover Peña, Darío Calderón, Juan Agama, Carmen Suarez, Juan Motamayor,
Raymond Schnell, James Quiroz, Gastón Loor & Omar Tarqui (2009) Research to Identify and Develop High Yielding Fine and Flavour Cocoa Clones in Ecuador.  In: Proceedings of the 16th International Cocoa Research Conference, Bali, Indonesia (November 2009). Cocoa Producers' Alliance, Lagos, Nigeria.",2009
MOR90B,"Morera, J. & Mora, A. (1990) Banco de Germoplasma de Cacao del CATIE.  Information supplied on computer diskette by CATIE, Turrialba, Costa Rica.",1990
VEL66A,"Vello, F. & Medeiros, A.G. (1966) Expedicao botanica a Amazonia Brasileira.  Communicado ao Pessoal Technico No. 20. Co-ordenacao Technica. CEPLAC/CEPEC, Brazil, pp. 13.",1966
BUT98A,"Butler, D.R., Iwaro, A.D., Thevenin, J.-M., Bekele, F., Sounigo, O., Christopher, Y. & Mooledhar, V. (1998) Individual Institute Reports - Trinidad & Tobago, CRU.  Report on the IPGRI project: Cocoa Germplasm Utilisation and Conservation, A Global Approach. Appendix to General Progress Report of Year 1.",1998
PRA82A,"Malaysia - Prang Besar (1982) Prang Besar Cocoa Clones.  Internal Report, Harisson & Crossfields, Prang Besar Research Station, Malaysia. pp. 20.",1982
FRE??A,"Please cite original references in combination with:Turnbull, C.J. and Hadley, P. International Cocoa Germplasm Database (ICGD). [Online Database]. CRA Ltd./ICE Futures Europe / University of Reading, UK. Available: https://icgd.reading.ac.uk (25th June, 2024) ",
GUY03A,"French Guiana - CIRAD-CP (2003) F. Guiana database 2003.  Data supplied to ICGD by email. Dr. Ph. Lachenaud, CIRAD Montpellier, France, 17 March 2003.",2003
IDN13A,ICCRI (2013) PEDOMAN TEKNIS PEMBANGUNAN KEBUN INDUK DAN KEBUN ENTRES KAKAO [TECHNICAL GUIDELINES FOR THE DEVELOPMENT OF SEED PARENT GARDENS].”.  PERATURAN MENTERI PERTANIAN NOMOR 09/Permentan/OT.140/1/2013,2013
BAT09A,"Batista, Lepido J. (2009) Guía Técnica el Cultivo de Cacao en la República Dominicana. Santo Domingo, República Dominicana.  Centro para el Desarrollo Agropecuario y Forestal (CEDAF)",2009
PIR96A,"Pires, J.L., Monteiro, W.R., Pinto, L.R.M. & Luz, E.D.M.N. (1996) Resistance to Witches Broom - Evaluation of genotypes from different origins.  In: Proceedings of the 12th International Cocoa Research Conference, Salvador, Brasil 1996 Cocoa Producers' Alliance (in press).",1996
YAM10A,"Yamada, Milton Macoto, Fábio Gelape Faleiro, Brena Faria Santos & Mônica Menezes Passinho (2010) RELAÇÃO ENTRE INCOMPATIBILIDADE E VARIABILIDADE GENÉTICA COM BASE EM MARCADORES RAPD EM CLONES DE CACAUEIRO [Relationship between Incompatibility and Genetic Variability Based on RAPD Markers in Cacao Clones].  Agrotrópica (Itabuna) 22 (1): 11–16",2010
MOR91A,"Morera, J., Paredes, A. & Mora, A. (1991) Germoplasma de cacao en el CATIE entre 1947 y 1991, Programa II: Generacion y transferencia de tecnologia.  IICA, San Jose, Costa Rica, pp. 49.",1991
PHI97B,"Phillips, W. (1997) Results of the artificial inoculation of Phytophthora palmivora using the Paper Disc method.  Unpublished data supplied by W. Phillips, CATIE, Costa Rica. Personal communication",1997
KEB99A,"Kebe (1999) Data from Cote d'Ivoire on black pod resistance.  Kebe, report on CAOBISCO project. Forwarded to ICGD by Dr. A.B.Eskes, IPGRI.",1999
POK19A,"Pokou, Désiré N, Andrew S Fister, Noah Winters, Mathias G Tahi, Coulibaly Klotioloma, Aswathy Sebastian, James H Marden, Siela N Maximova & Mark J Guiltinan (2019) Resistant and Susceptible Cacao Genotypes Exhibit Defense Gene Polymorphism and Unique Early Responses to Phytophthora Megakarya Inoculation.  Plant Molecular Biology 99 (4–5): 499–516",2019
ENR67C,"Enriquez, G.A. & Soria, V.J. (1967) Cacao Cultivars Register.  IICA Teaching and Research Centre, Costa Rica",1967
MOR93A,"Morera, J. (1993) Reaction of clones to Phytophthora palmivora.  J. Morera, CATIE, Costa Rica. Personal Communication.",1993
TOG86A,"Togo - IRCC Togo (1986) Collection de cacaoyers. Composition au 1er Janvier, 1986. IRCC Togo.  A.B. Eskes, IRCC, Montpellier, France. Personal Communication.",1986
ALL88A,"Allen, J.B. (1988) Geographical variation and population biology in wild Theobroma cacao.  PhD. Thesis, University of Edinburgh, U.K. pp. 197.",1988
CHO93A,"Chong, T.C. & Phua, P.K. (1993) Cocoa germplasm conservation and utilization at Cocoa Research Station, Quoin Hill-Department of Agriculture, Sabah, Malaysia.  In: Proceedings of the International Workshop on Conservation, Characterisation and Utilisation of Cocoa Genetic Resources in the 21st Century. CRU, UWI, Trinidad. pp. 379-388.",1993
APP92A,"Malaysia - Applied Agriculture (1992) Data from Applied Agriculture Research Unit (AARU).  In: Unpublished Proceedings of MCGC Mini-Seminar on the Performance of Imported Cocoa Clones, 13th October 1992, Kuala Lumpur, Malaysia: pp. 4.",1992
BAR99C,"Bartley, B.G.D. (1999) CCN 51. Background, History, Characteristics.  Unpublished report for the ICGD. p13.",1999
CLE92A,"Clement, D. & Sounigo, O. (1992) Ivory Coast Database.  D. Clement & O. Sounigo, IRCC, Bingerville, Cote d'Ivoire. Personal Communication.",1992
COP62A,"Cope, F.W. & Bartley, B.G.D. (1962) New varieties and breeding policies at ICTA.  In: Report of the 1961 Cocoa Conference, London. The Cocoa, Chocolate & Confectionery Alliance, UK. pp. 134-136.",1962
SIL06A,"Stela Dalva V. M. Silva, Augusto Roberto S. Gomes, Edmundo P. Mandarino, Lindolfo P. dos S. Filho & Virgínia O. Damaceno (2006) Indicações de Resistência à Murcha-de-Ceratocystis em Genótipos de Cacaueiros no Sul da Bahia, Brasil.  In: Proceedings of the 15th International Cocoa Research Conference, San Jose, Costa Rica (2006). Cocoa Producers' Alliance, Lagos, Nigeria.",2006
CRU98A,"Trinidad - CRU (1998) Fat Analysis Data.  Data supplied on computer diskette by F. Bekele, CRU, Trinidad.",1998
BAL91B,"Malaysia - BAL Plantations (1991) Results from cocoa butter content determinations using Nuclear Magnetic Resonance (NMR) analysis.  G. Lockwood, CDC, U.K. Personal Communication.",1991
PAL92A,"Palaniappan, S. & Shuhaimi Shamsuddin (1992) Early evaluation of some cocoa germplasm at Pusut Perkhidmatan Pertanian Tun Razak.  In: Unpublished Proceedings of MCGC Mini-Seminar on the Performance of Imported Cocoa Clones, 13th October, 1992. Kuala Lumpur, Malaysia.",1992
MON96B,"France - CIRAD-CP Montpellier (1996) List of clones from CIRAD quarantine at Montpellier of potential interest.  A.B. Eskes (CIRAD-CP, France) information for the Common Fund Project International Clone Trial.",1996
GHP1UA,"Malaysia - Golden Hope (No Date) Cocoa planting materials.  Leaflet from Golden Hope Plantations Bhd., Corporate Planning Dept., Planting Materials Services Unit, P.O. Box 11043, Kuala Lumpur, Malaysia.",
MEJ00A,"Mejía, L.A. & Argüello, C.O. (eds.) (2000) Tecnología para el Mejoramiento del Sistema de Producción de Cacao.  Bucaramanga, Colombia: CORPOICA.",2000
SAL87A,"Sallee, B. (1987) Compte rendu de prospection dans les populations naturelles de Theobroma cacao L. du Haut Camopi (Guyane Francais) 14/4 au 12/5/87.  Unpublished report, IRCC/CIRAD, 97387 Kourou, Guyane, pp. 45.",1987
TAR10B,"Tarqui-Freire, Omar Miguel (2010) EVALUACIÓN DE CLONES DE CACAO (Theobroma Cacao L.) PROVENIENTES DE PLÁNTULAS HÍBRIDAS SELECCIONADAS POR RESISTENCIA A LA ENFERMEDAD ESCOBA DE BRUJA (Moniliopththora Perniciosa).  Universidad Tecnica Estatal de Quevedo, Ecuador",2010
MON98A,"Monteiro, W.R. & Silva, S.D.V.M. (1998) Individual Institute Reports - Brazil, CEPEC.  Report on the IPGRI project: Cocoa Germplasm Utilisation and Conservation, A Global Approach. Appendix to General Progress Report of Year 1.",1998
SRE93A,"Sreenivasan, T.N. (1993) Screening for resistance to Black Pod.  T.N. Sreenivasan, CRU, Trinidad. Personal Communication.",1993
FON96A,"Fonseca, S.E.A & Albuquerque, P.S.B. de (1996) Avaliacao de clones de cacau na Amazonia Brasileira em relaçao a incidencia de vassoura-de bruxa.  In: Proceedings of the 12th International Cocoa Research Conference, Salvador, Brazil, 1996. Cocoa Producers' Alliance.",1996
CRI20A,CRIN (2020) The Eight New Cocoa Hybrids.  CRIN website,2020
ICA86A,"Colombia - ICA Palmira (1986) ? A catalogue of the cacao germplasm at ICA Palmira.  ICA Palmira, Colombia.",1986
LAC07B,"Lachenaud, Ph., Paulin, D., Ducamp, M. & Thevenin, J.-M. (2007) Twenty years of agronomic evaluation of wild cocoa trees (Theobroma cacao L.) from French Guiana.  Scientia Horticulturae. 113: pp 313–321.",2007
CAS86A,"Castro, H. (1986) Records sheets of traits and performance of selections.  Data supplied to B.G.D. Bartley. Listed in Bartley, 1999c, [BAR99C] report to the ICGD on CCN 51.",1986
LAH17A,Fiona Lahive (2017) Phenotypic data from climate change trials.  Personal communication.,2017
SOU16A,"Sounigo, Olivier, Fidèle Nsouga, Olivier Fouet, Claire Lanaud & Ives Bruno Efombagn (2016) Combined Use of Parentage Analysis and Phenotypic Assessment to Evaluate the Performances of Cocoa ( Theobroma Cacao L .) Varieties in Farmers ’ Field.  International Journal of Plant Breeding and Genetics 3 (1): 166–76",2016
LOP92A,"Lopez-Baez, O. & Mendel-Wong, D. (1992) Caracteristicas de la flor y semilla del germoplasma de cacao, Theobroma cacao L., seleccionado en Rosario Izapa, Chiapas.  Agricultura Tecnico Mexicana 18(1-2): pp. 39-48.",1992
APW12A,"Asia-pacific, Working Group (2012) Planting Materials Available for Cocoa Farmers in Asia / Pacific Region.  INGENIC Seventh Workshop: Cocoa Variety Development and the Supply of Planting Materials to Farmers. 21st - 22nd October 2012",2012
SAN09A,"SANGARE Abdourahamane, KOFFI Edmond, AKAMOU Fataye & FALL Cheikh Alassane (2009) Rapport national sur l'état des ressources phytogénétiques pour l'alimentation et l'agriculture: République de Côte d’Ivoire.  Ministère de l’agriculture",2009
SOR70A,"Soria, V.J. (1970) The latest cocoa expeditions to the Amazon Basin.  Cacao (Costa Rica) 15: pp. 5-15.",1970
ICS1UA,"Trinidad - Dept of Agriculture (No Date) Description of clonal cacao trees (mainly ICS clones).  Unpublished notebook, Department of Agriculture, Trinidad.",
BAK53A,"Baker, R.E.D., Cope, F.W., Holliday, P.C., Bartley, B.G. & Taylor, D.J. (1953) The Anglo-Colombian cacao collecting expedition.  Report of Cacao Research, Imperial College of Tropical Agriculture, Trinidad 9: pp. 8-29.",1953
WAR93A,"Warren, J. & Emamdie, D. (1993) Rodent resistance in cacao Theobroma cacao L.  Tropical Agriculture (Trinidad), 70: pp.286-288",1993
BAR93A,"Bartley, B.G.D. (1993) Notes on the meaning and origins of clone names.  B.G.D Bartley. Personal Communications.",1993
LOC86A,"Lockwood, G. (1986) Report on cocoa breeding & seed production.  Unpublished report for the Government of Ghana, Cocoa Research Institute of Ghana, CDC (UK.). pp. 23.",1986
BAR70A,"Bartley, B.G.D. (1970) A preliminary catalogue of the cacao germplasm held at the University of the West Indies, Trinidad.  University of the West Indies, St. Augustine, Trinidad.",1970
CHA70S,"Chalmers, W.S. (1970) Data accumulated from Chalmers' Collection reports from expeditions to Ecuador between 1968-1973.  Series of 7 unpublished Reports. Cocoa Research Unit, University of the West Indies. See other reference entries for details.",1970
PHU90A,"Phua, P.K., Lamin, K & Lee, M.T. (1990) Cocoa germplasm in Sabah and their potential.  In: Proceedings of the MCGC-Malaysia Cocoa Board Workshop on Cocoa Agricultural Research. MCGC, Malaysia.",1990
MUN09A,"Denna Eriani Munandar, Soetanto Abdoellah, Eko Mardiono, S.M. Sitompul & M. Roviq (2009) Anatomical and Physiological Characteristics as well as Yield of some Fine Flavour and Bulk Cocoa Clones in Indonesia.  In: Proceedings of the 16th International Cocoa Research Conference, Bali, Indonesia (November 2009). Cocoa Producers' Alliance, Lagos, Nigeria.",2009
BON96A,"Bong, C.L., Lee, M.T. & Yahya, M.N. (1996) Interaction between cocoa clones and isolates of Oncobasidium theobromae causal pathogen of Vascular Streak Dieback.  In: Proceedings of the 12th International Cocoa Research Conference, Salvador, Brazil, 1996. Cocoa Producers' Alliance. (in press).",1996
IWA98A,"Iwaro, A.D., Sreenivasan, T.N. & Umaharan, P. (1998) Cacao resistance to Phytophthora: Effect of pathogen species, inoculation depths and pod maturity.  European Journal of Plant Pathology, 104: pp.11-15",1998
MDA88A,"Department of Agriculture, Malaysia. (1988) 1988 Annual Research Report. Cocoa Research Station, Quoin Hill, Tawau.  Research Branch, Department of Agriculture, Sabah, Malaysia.",1988
ICG92A,"Trinidad - ICGT (1992) Leaf descriptors.  Unpublished data supplied on computer diskette by International Cocoa Genebank, Trinidad, University of the West Indies, Trinidad.",1992
YAM82A,"Yamada, M., Bartley, B.G.D., Castro, G.C.T.de, & Melo, G.R.P. (1982) Heranca do fator compatibilidade em Theobroma cacao L. I. Relacioes fenotipicas na familia PA (Parinari).  Revista Theobroma 12 (3): 163-167.",1982
TAR10A,"Ricardo Goenaga, Heber Irizarry & Brian Irish (2009) TARS Series of Cacao Germplasm Selections.  HORTSCIENCE 44(3): 826-827",2009
LAC06A,"Lachenaud, P. (2006) Some characteristics of the GU clones held at the University of Reading.  Philippe Lachenaud, CIRAD, France. Personal Communication, September 2006.",2006
SIL03A,"Stela Dalva Vieira Midlej Silva (2003) Ensaios Para Avaliação do Cacaueiro à Murcha-de-Ceratocystis na Bahia, Brasil.  In: Proceedings of the 14th International Cocoa Research Conference, Accra, Ghana (October 2003). Cocoa Producers' Alliance, Lagos, Nigeria.",2003
JAG95A,"Jagoret, P., Bastide, Ph., Pilecki, A., Besacier, C. & Eskes, A.B. (1995) Performance et resistance a la pourriture brune d'hybrides de cacaoyer au Vanuatu (Pacifique Sud).  In: Proceedings of the 11th International Cocoa Research Conference, Yammoussoukro, Cote d'Ivoire, 1993. Cocoa Producers' Alliance, Lagos, Nigeria. pp. 425-431.",1995
SOU12A,"Sounigo, Olivier & Ives Bruno Efombagn Mousseni (2012) Cocoa Improvement and Variety Delivery Effort in Cameroon.  INGENIC Seventh Workshop: Cocoa Variety Development and the Supply of Planting Materials to Farmers. 21st - 22nd October 2012",2012
SOR65A,"Soria, V.J. (1965) Notes on the cocoas collected by the Brazilian-International expedition to some areas of the Brazilian Amazon Basin.  Cacao (Costa Rica) 10: pp. 10-13.",1965
EFO09A,"Efombagn Mousseni, Ives Bruno, Olivier Sounigo, Albertus B Eskes, Juan-Carlos Motamayor, Maria J Manzanares-Dauleux, Raymond J Schnell & Salomon Nyassé (2009) Parentage Analysis and Outcrossing Patterns in Cacao (Theobroma Cacao L.) Farms in Cameroon.  Heredity 103 (1): 46–53",2009
LOP06A,"Lopez, U.V., Paim, M., Luz, E.D.N., Silva, S.D.V.M., Gramacho, K.P. and Pires, J.L. (2006) Resistance of Cacao Farmer Selections to Phytophthora citrophthora in Brazil.  In: Proceedings of the 15th International Cocoa Research Conference, San Jose, Costa Rica (2006). Cocoa Producers' Alliance, Lagos, Nigeria.",2006
SMA66A,"Small, L.W. (1966) Routine screening of clones for Ceratocystis.  Cocoa Research Unit Annual Report on Cocoa Research 1966. The University of the West Indies, Trinidad, p.48.",1966
SHA92A,"Sharma, M. (1992) The performance of imported F0 clones at United Plantations Bhd.  In: Unpublished Proceedings of MCGC Mini-Seminar on the Performance of Imported Cocoa Clones, 13th October, 1992. Kuala Lumpur, Malaysia.",1992
LIM13A,"Lima, E M, N E Pereira, José Luís Pires, A M M Barbosa & R X Correa (2013) Genetic Molecular Diversity, Production and Resistance to Witches’ Broom in Cacao Clones.  Crop Breeding and Applied Biotechnology 13 (2): 127–35",2013
MOR90A,"Morera, J & Mora, A. (1990) Banco de Germoplasma de Cacao del CATIE.  Programa de Mejoramiento de Cultivos Tropicales, Turrialba, Costa Rica. 16 pp.",1990
INI20A,INIAP (2020) Venta de semillas y plantas [Sale of seeds and plants].  INIAP Website,2020
FEN55A,"Fennah, R.G. (1955) The epidemiology of cacao-thrips on cacao in Trinidad.  A Report on Cacao Research, 1954. Imperial College of Tropical Agriculture, Trinidad: pp. 7-26.",1955
ENR77A,"Enriquez, G. & Soria, V.J. (1977) Mejoramiento genético para resistencia a cinco enfermedades del cacao.  In: Proceedings of the 6th International Cocoa Research Conference, Caracas, Venezuela, 1977. Cocoa Producers' Alliance, Lagos, Nigeria. pp. 45-56.",1977
PHI09A,"Wilbert Phillips, José Castillo, Adriana Arciniegas, Allan Mata, Aldo Sánchez, Mariela Leandro, Carlos Astorga,
Juan Motamayor, Bill Guyton, Ed Seguine & Ray Schnell (2009) Overcoming the Main Limiting Factors of Cacao Production in Central America through the use of Improved Clones Developed at CATIE.  In: Proceedings of the 16th International Cocoa Research Conference, Bali, Indonesia (November 2009). Cocoa Producers' Alliance, Lagos, Nigeria.",2009
BLA76A,"Blaha, G. & Lotode, R. (1976) Un critere primordial de selection du cacaoyer au Cameroun: la resistance a la pourriture brune des cabossees ( Phytophthora palmivora ).  Cafe, Cacao, The 20(2): pp. 97-116.",1976
ARE96A,"Arevalo, E., Garcia, L., Krauss, U., Rios, R., Zuniga, L. & Adriazola, J. (1996) Mejoramiento genetico para el control de enfermedadaes del cacao en el Peru.  Proceedings of the International Workshop on the Contribution of Disease Resistance to Cocoa Variety Improvement, INGENIC, Salvador, 24th-26th September, 1996. pp.127-133.",1996
GON10A,"Gonzalez R, Ventura, Cirilo Giron Varguillas, Ramon Vidal & Angel Castillo (2010) INIA-Venezuela.  CFC/ICCO/Bioversity Project on Cocoa Productivity and Quality Improvement: A Participatory Approach. Final Individual Institute Reports 1 June 2004 - 30 November 2009",2010
JCM10A,"Motamayor, J.C., Lachenaud, P., da Silva e Mota, J.W., Loor, R., Kuhn, D.N., Brown, J.S. & Schnell, R.J. (2008) Geographic and Genetic Population Differentiation of the Amazonian Chocolate Tree (Theobroma cacao L).  PLoS ONE 3(10): e3311. doi:10.1371/journal.pone.0003311",2008
SRE87A,"Sreenivasan, T.N. (1987) ICGT Germplasm at Marper Farm showing freedom from cushion Brooms and vegetative brooms.  Unpublished report, CRU, Trinidad and Tobago.",1987
SUB92A,"Subali, S. (1992) MARDI's results on performance of imported primary cocoa clones.  In: Unpublished Proceedings of MCGC Mini-Seminar on the Performance of Imported Cocoa Clones, 13th October, 1992. Kuala Lumpur, Malaysia.",1992
LOP11A,"Lopes, Uilson Vanderlei, Wilson Reis Monteiro, José Luis Pires, Didier Clement, Milton Macoto Yamada & Karina Peres Gramacho (2011) Cacao Breeding in Bahia, Brazil - Strategies and Results.  Crop Breeding and Applied Biotechnology 11: 73–81",2011
CHO92A,"Chong, T.C. & Lamin, K. (1992) Performance of some of the Fo clones in the germplasm collection of the Department of Agriculture, Sabah.  In: Unpublished Proceedings of MCGC Mini-Seminar on the Performance of Imported Cocoa Clones, Kuala Lumpur, Malaysia,13th October, 1992.",1992
LAW78A,"Lawrence, J.S. (1978) Screening of cacao cultivars for resistance to Phytophthora palmivora in the collection at CATIE, Costa Rica.  Revista Theobroma 8: pp. 125-131.",1978
CRU94B,Trinidad - CRU (1994) Cocoa Research Unit. Report for 1994.  The University of the West Indies.,1994
CEP14A,"CEPLAC, Brazil (2014) Indicação de Variedades Clonais de Cacaueiro.  COMUNICADO CEPLAC/CEPEC NO 02/2014",2014
LOC73A,"Lockwood, G. (1973) Report on a visit to cocoa centres in the USA, the Caribbean and Latin America for acquisition of germplasm with particular reference to cocoa swollen shoot disease.  Unpublished report, British Research Team, Cocoa Research Institite, Ghana. pp. 23.",1973
PHI05A,"Phillips-Mora, W., Castillo, J., Krauss, U., Rodríguez, E. & Wilkinson, M.J. (2005) Evaluation of cacao (Theobroma cacao) clones against seven Colombian isolates of Moniliophthora roreri from four pathogen genetic groups.  Plant Pathology. 54: pp 483–490.",2005
LOC15A,"Lockwood, G (2015) Report on Cacao Planting Materials from Various Cocoa Producing Countries.  Supplying New Cocoa Planting Material to Farmers: A Review of Propagation Methodologies, edited by Brigitte Laliberté and Michelle J End, 121–50. Rome: Bioversity International",2015
BAR63A,"Barros-Nieves, O. (1963) Cacao Selection in Colombia.  In: Proceedings of the Congress on Agricultural Research in the Guianas, Paramaribo, Surinam. pp. 49-52.",1963
IWA03A,"A.D. Iwaro & D. R. Butler (2003) Sources of Resistance to Phytophthora Pod Rot at the International Cocoa Genebank, Trinidad.  In: Proceedings of the 14th International Cocoa Research Conference, Accra, Ghana (October 2003). Cocoa Producers' Alliance, Lagos, Nigeria.",2003
POU43B,"Pound, F.J. (1943) First report on the selection of cacao trees for resistance to Witches' Broom disease.  Unpublished report, Ministry of Agriculture, Trinidad.",1943
PHI96A,"Phillips, W. (1996) Cocoa cultivar reaction when innoculated with Moniliophthora roreri.  Unpublished data supplied by W. Phillips, CATIE, Costa Rica. Personal communication",1996
NGO93A,"N'Goran, J.A.K., Lachenaud, P., Bastide P., & Paulin, D. (1993) Cocoa germplasm conservation initiatives in Cote d'Ivoire.  In: Proceedings of the International Workshop on Conservation, Characterisation and Utilisation of Cocoa Genetic Resources in the 21st Century. CRU, UWI, Trinidad. pp. 221-227.",1993
TAY93A,"Tay, E.B., Lee, M.T. & Lamin, K. (1993) Cocoa germplasm conservation initiatives in Malaysia.  In: Proceedings of the International Workshop on Conservation, Characterisation and Utilisation of Cocoa Genetic Resources in the 21st Century. CRU, UWI, Trinidad. pp. 231-238.",1993
ESK93A,"Eskes, A.B. (1993) Notes on clones with some resistance to Phytophthora spp.  B. Eskes. Personal Communication.",1993
LAM92B,"Lamin, K. (1992) Data from Malaysian Cocoa Board.  In: Unpublished Proceedings of MCGC Mini-Seminar on the Performance of Imported Cocoa Clones, 13th October, 1992. Kuala Lumpur, Malaysia.",1992
COR74A,"Coral, F.J. & Soria, V.J. (1974) Diferentes graus de autocompatibilidade em Theobroma cacao L.  In: Proceedings of the 4th International Cocoa Research Conference, 1972, St. Augustine, Trinidad. Cocoa Research Unit, Trinidad. pp. 77-81.",1974
SHR95A,"Shripat, C. (1995) Preliminary screening of Trinidad Selected Hybrid (TSH) clones for resistance to Black Pod disease caused by Phytophthora palmivora (Butl.) in Trinidad.  In: Proceedings of the 11th International Cocoa Research Conference, Yammoussoukro, Côte d'Ivoire, 1993. Cocoa Producers' Allliance, Lagos, Nigeria. pp. 837-840.",1995
