Clone name,Shape,Rugosity,Husk thickness,Length,Breadth,Colour,Weight,Length breadth ratio,Refcode,Basal constriction,Apex form,Furrow depth,Ridge desc,Hardness,Husk weight,Size,Notes,Furrow desc,Info,Pods per tree,Accession
QH 670,,moderate,8.89 mm (6.03 - 11.75),159.3,72.5,yellow,,2.19,LEE93A,slight,acute,intermediate,,,,,,,,,
SDS 11,,moderate,15.5 mm (11 - 20),168.0,81.0,yellow,,2.07,LEE93A,moderate,attenuate,intermediate,,,,,,,,,
SDS 18,,moderate,14.5 mm (12 - 17),250.0,88.0,yellow,,2.84,LEE93A,slight,acute,intermediate,,,,,,,,,
SDS 20,,intense,11.5 mm (9 - 14),170.0,75.0,yellow,,2.26,LEE93A,slight,acute,intermediate,,,,,,,,,
SDS 21,,moderate,16 mm (12 - 20),150.0,87.0,yellow,,1.72,LEE93A,absent,obtuse,intermediate,,,,,,,,,
SDS 36,,moderate,8.5 mm (6 - 11),170.0,77.0,yellow,,2.20,LEE93A,moderate,attenuate,intermediate,,,,,,,,,
SDS 4,,intense,10 mm (9 - 11),166.0,73.0,yellow,,2.27,LEE93A,slight,acute,intermediate,,,,,,,,,
SDS 41,,moderate,16 mm (14 - 18),175.0,88.0,yellow,,1.98,LEE93A,slight,rounded,shallow,,,,,,,,,
SDS 46,,smooth,14 mm (13 - 15),130.0,81.0,yellow,,1.60,LEE93A,absent,rounded,intermediate,,,,,,,,,
SDS 52,,moderate,16 mm (14 - 18),165.0,76.0,yellow,,2.17,LEE93A,slight,obtuse,shallow,,,,,,,,,
SDS 54,,intense,11.5 mm (10 - 13),130.0,70.0,yellow,,1.85,LEE93A,absent,rounded,shallow,,,,,,,,,
SDS 58,,smooth,13.5 mm (12 - 15),149.0,90.0,yellow,,1.65,LEE93A,absent,obtuse,shallow,,,,,,,,,
SDS 6,,moderate,11.5 mm (8 - 15),176.0,79.0,yellow,,2.22,LEE93A,slight,attenuate,intermediate,,,,,,,,,
SDS 74,,moderate,12.5 mm (10 - 15),173.0,92.0,yellow,,1.88,LEE93A,slight,acute,intermediate,,,,,,,,,
SDS 8,,moderate,12 mm (9 - 15),170.0,75.0,yellow,,2.26,LEE93A,moderate,obtuse,intermediate,,,,,,,,,
SDS 84,,moderate,15 mm (13 - 17),160.0,95.0,yellow,,1.68,LEE93A,slight,obtuse,shallow,,,,,,,,,
TG 135,,smooth,7.5 mm (5.71 - 9.29),133.5,73.4,yellow,,1.81,LEE93A,slight,mammillate,shallow,,,,,,,,,
TG 137 /A,,moderate,8.575 mm (6.29 - 10.86),163.3,82.7,yellow,,1.97,LEE93A,slight,attenuate,deep,,,,,,,,,
TG 137 /B,,moderate,8.085 mm (6 - 10.17),156.3,75.7,yellow,,2.06,LEE93A,slight,attenuate,intermediate,,,,,,,,,
TG 148,,moderate,7.75 mm (5.5 - 10),176.7,77.5,yellow,,2.28,LEE93A,moderate,acute,intermediate,,,,,,,,,
TG 157,,moderate,8.41 mm (6.27 - 10.55),165.7,88.7,yellow,,1.86,LEE93A,slight,mammillate,intermediate,,,,,,,,,
TG 240,,moderate,11.385 mm (9.12 - 13.65),152.1,69.1,orange,,2.20,LEE93A,slight,acute,intermediate,,,,,,,,,
TG 250,,moderate,9.9 mm (7.53 - 12.27),131.9,78.9,yellow,,1.67,LEE93A,absent,obtuse,intermediate,,,,,,,,,
TG 266,,moderate,6.72 mm (4.96 - 8.48),155.7,75.5,yellow,,2.06,LEE93A,slight,obtuse,intermediate,,,,,,,,,
TG 446,,smooth,6.3 mm (4.6 - 8),136.4,66.6,yellow,,2.04,LEE93A,slight,mammillate,shallow,,,,,,,,,
TG 78,,moderate,9.215 mm (6.14 - 12.29),132.0,70.7,yellow,,1.86,LEE93A,moderate,acute,deep,,,,,,,,,
TGC,,smooth,7.37 mm (5.67 - 9.07),170.3,70.7,yellow,,2.40,LEE93A,slight,mammillate,shallow,,,,,,,,,
UPC 41,,moderate,8.2 mm (5.7 - 10.7),160.2,74.3,yellow,,2.15,LEE93A,slight,obtuse,intermediate,,,,,,,,,
UPC 50,,moderate,10.95 mm (9 - 12.9),156.4,78.1,yellow,,2.00,LEE93A,slight,attenuate,intermediate,,,,,,,,,
GF 19,,,,-,-,,311.0,-,GUY03A,-,-,,,,,,,,,,
GF 20,,,,-,-,,456.0,-,GUY03A,-,-,,,,,,,,,,
GF 21,,,,-,-,,337.0,-,GUY03A,-,-,,,,,,,,,,
GF 22,,,,-,-,,290.0,-,GUY03A,-,-,,,,,,,,,,
GF 23,,,,121.0,82.0,,346.0,1.47,GUY03A,-,-,,,,,,,,,,
GF 24,,,,-,-,,390.0,-,GUY03A,-,-,,,,,,,,,,
GF 25,,,,129.0,82.0,,378.0,1.57,GUY03A,-,-,,,,,,,,,,
GF 26,,,,124.0,80.0,,346.0,1.55,GUY03A,-,-,,,,,,,,,,
GF 27,,,,202.0,93.0,,722.0,2.17,GUY03A,-,-,,,,,,,,,,
GF 29,,,,147.0,83.0,,426.0,1.77,GUY03A,-,-,,,,,,,,,,
GF 30,,,,145.0,84.0,,459.0,1.72,GUY03A,-,-,,,,,,,,,,
GF 31,,,,114.0,79.0,,318.0,1.44,GUY03A,-,-,,,,,,,,,,
GF 32,,,,142.0,83.0,,432.0,1.71,GUY03A,-,-,,,,,,,,,,
GF 34,,,,156.0,91.0,,594.0,1.71,GUY03A,-,-,,,,,,,,,,
GF 35,,,,152.0,84.0,,472.0,1.80,GUY03A,-,-,,,,,,,,,,
GF 36,,,,-,-,,390.0,-,GUY03A,-,-,,,,,,,,,,
GF 39,,,,-,-,,520.0,-,GUY03A,-,-,,,,,,,,,,
GF 42,,,,-,-,,450.0,-,GUY03A,-,-,,,,,,,,,,
GF 43,,,,-,-,,430.0,-,GUY03A,-,-,,,,,,,,,,
GF 44,,,,-,-,,300.0,-,GUY03A,-,-,,,,,,,,,,
GF 45,,,,-,-,,460.0,-,GUY03A,-,-,,,,,,,,,,
GF 48,,,,-,-,,260.0,-,GUY03A,-,-,,,,,,,,,,
GF 49,,,,-,-,,380.0,-,GUY03A,-,-,,,,,,,,,,
GU 1,,,,128.0,85.0,,406.0,1.50,GUY03A,-,-,,,,,,,,,,
GU 11,,,,133.0,83.0,,393.0,1.60,GUY03A,-,-,,,,,,,,,,
GU 113,,,,134.0,70.0,,313.0,1.91,GUY03A,-,attenuate,,,,,,,,,,
GU 116,,,,141.0,81.0,,429.0,1.74,GUY03A,very slight,-,,,,,,,,,,
GU 116 /A,,,,129.0,77.0,,331.0,1.67,GUY03A,-,-,,,,,,,,,,
GU 12,,,,139.0,88.0,,472.0,1.57,GUY03A,very slight,-,,,,,,,,,,
GU 129 /A,,,,135.0,81.0,,360.0,1.66,GUY03A,-,-,,,,,,,,,,
GU 13,,,,139.0,81.0,,382.0,1.71,GUY03A,-,-,,,,,,,,,,
GU 131 /A,,,,154.0,77.0,,384.0,2.00,GUY03A,very slight,-,,,,,,,,,,
GU 134,,,,155.0,81.0,,431.0,1.91,GUY03A,very slight,-,,,,,,,,,,
GU 134 /A,,,,138.0,78.0,,356.0,1.76,GUY03A,-,-,,,,,,,,,,
GU 134 /B,,,,151.0,80.0,,416.0,1.88,GUY03A,-,-,,,,,,,,,,
GU 139,,,,163.0,87.0,,523.0,1.87,GUY03A,-,-,,,,,,,,,,
GU 139 /A,,,,175.0,87.0,,545.0,2.01,GUY03A,-,-,,,,,,,,,,
GU 14,,,,141.0,89.0,,482.0,1.58,GUY03A,-,-,,,,,,,,,,
GU 142 /A,,,,152.0,73.0,,345.0,2.08,GUY03A,-,-,,,,,,,,,,
GU 143,,,,151.0,77.0,,399.0,1.96,GUY03A,very slight,-,,,,,,,,,,
GU 143 /A,,,,142.0,75.0,,349.0,1.89,GUY03A,-,attenuate,,,,,,,,,,
GU 145 /A,,,,147.0,74.0,,359.0,1.98,GUY03A,-,attenuate,,,,,,,,,,
GU 146,,,,166.0,86.0,,564.0,1.93,GUY03A,very slight,-,,,,,,,,,,
GU 146 /A,,,,156.0,85.0,,483.0,1.83,GUY03A,-,attenuate,,,,,,,,,,
GU 15,,,,126.0,82.0,,340.0,1.53,GUY03A,-,-,,,,,,,,,,
GU 157 /A,,,,195.0,88.0,,621.0,2.21,GUY03A,-,-,,,,,,,,,,
GU 160 /A,,,,139.0,78.0,,354.0,1.78,GUY03A,-,attenuate,,,,,,,,,,
GU 161,,,,153.0,82.0,,384.0,1.86,GUY03A,-,attenuate,,,,,,,,,,
GU 161 /A,,,,161.0,83.0,,471.0,1.93,GUY03A,-,-,,,,,,,,,,
GU 163 /A,,,,146.0,82.0,,442.0,1.78,GUY03A,-,-,,,,,,,,,,
GU 165 /A,,,,132.0,81.0,,363.0,1.62,GUY03A,-,-,,,,,,,,,,
GU 17,,,,128.0,86.0,,403.0,1.48,GUY03A,-,-,,,,,,,,,,
GU 18,,,,126.0,83.0,,369.0,1.51,GUY03A,-,-,,,,,,,,,,
GU 180,,,,168.0,85.0,,485.0,1.97,GUY03A,very slight,attenuate,,,,,,,,,,
GU 182,,,,181.0,96.0,,645.0,1.88,GUY03A,very slight,attenuate,,,,,,,,,,
GU 182 /A,,,,134.0,74.0,,307.0,1.81,GUY03A,-,attenuate,,,,,,,,,,
GU 186,,,,146.0,78.0,,357.0,1.87,GUY03A,-,attenuate,,,,,,,,,,
GU 186 /A,,,,147.0,79.0,,381.0,1.86,GUY03A,-,attenuate,,,,,,,,,,
GU 19,,,,126.0,84.0,,370.0,1.50,GUY03A,-,-,,,,,,,,,,
GU 199,,,,150.0,77.0,,397.0,1.94,GUY03A,very slight,attenuate,,,,,,,,,,
GU 2,,,,138.0,89.0,,440.0,1.55,GUY03A,-,-,,,,,,,,,,
GU 20,,,,129.0,82.0,,358.0,1.57,GUY03A,very slight,-,,,,,,,,,,
GU 202,,,,172.0,87.0,,542.0,1.97,GUY03A,very slight,attenuate,,,,,,,,,,
GU 203,,,,138.0,75.0,,427.0,1.84,GUY03A,very slight,attenuate,,,,,,,,,,
GU 205,,,,125.0,80.0,,254.0,1.56,GUY03A,very slight,attenuate,,,,,,,,,,
GU 208,,,,130.0,73.0,,304.0,1.78,GUY03A,very slight,attenuate,,,,,,,,,,
GU 21,,,,135.0,82.0,,361.0,1.64,GUY03A,-,-,,,,,,,,,,
GU 214 /A,,,,138.0,79.0,,409.0,1.74,GUY03A,-,-,,,,,,,,,,
GU 218,,,,106.0,63.0,,167.0,1.68,GUY03A,very slight,attenuate,,,,,,,,,,
GU 218 /A,,,,135.0,77.0,,337.0,1.75,GUY03A,-,attenuate,,,,,,,,,,
GU 22,,,,155.0,71.0,,305.0,2.18,GUY03A,-,-,,,,,,,,,,
GU 225,,,,129.0,75.0,,280.0,1.72,GUY03A,-,attenuate,,,,,,,,,,
GU 225 /A,,,,137.0,80.0,,363.0,1.71,GUY03A,-,-,,,,,,,,,,
GU 227,,,,141.0,80.0,,369.0,1.76,GUY03A,very slight,attenuate,,,,,,,,,,
GU 228,,,,164.0,90.0,,575.0,1.82,GUY03A,very slight,attenuate,,,,,,,,,,
GU 228 /A,,,,147.0,82.0,,430.0,1.79,GUY03A,-,-,,,,,,,,,,
GU 23,,,,137.0,83.0,,398.0,1.65,GUY03A,-,-,,,,,,,,,,
GU 230,,,,137.0,83.0,,415.0,1.65,GUY03A,very slight,attenuate,,,,,,,,,,
GU 230 /A,,,,116.0,78.0,,319.0,1.48,GUY03A,-,-,,,,,,,,,,
GU 236,,,,135.0,75.0,,278.0,1.80,GUY03A,very slight,attenuate,,,,,,,,,,
GU 236 /A,,,,139.0,79.0,,371.0,1.75,GUY03A,-,-,,,,,,,,,,
GU 238 /A,,,,146.0,86.0,,494.0,1.69,GUY03A,-,attenuate,,,,,,,,,,
GU 240 /A,,,,125.0,79.0,,322.0,1.58,GUY03A,-,-,,,,,,,,,,
GU 245 /A,,,,126.0,75.0,,311.0,1.68,GUY03A,-,attenuate,,,,,,,,,,
GU 252,,,,134.0,74.0,,295.0,1.81,GUY03A,very slight,attenuate,,,,,,,,,,
GU 254 /A,,,,146.0,73.0,,337.0,2.00,GUY03A,-,-,,,,,,,,,,
GU 256,,,,150.0,73.0,,274.0,2.05,GUY03A,very slight,attenuate,,,,,,,,,,
GU 26,,,,134.0,84.0,,407.0,1.59,GUY03A,-,-,,,,,,,,,,
GU 266 /A,,,,170.0,82.0,,463.0,2.07,GUY03A,-,-,,,,,,,,,,
GU 268,,,,144.0,76.0,,319.0,1.89,GUY03A,very slight,attenuate,,,,,,,,,,
GU 268 /A,,,,136.0,75.0,,346.0,1.81,GUY03A,-,attenuate,,,,,,,,,,
GU 27,,,,124.0,79.0,,323.0,1.56,GUY03A,-,-,,,,,,,,,,
GU 272,,,,154.0,75.0,,360.0,2.05,GUY03A,-,attenuate,,,,,,,,,,
GU 276,,,,155.0,73.0,,342.0,2.12,GUY03A,very slight,-,,,,,,,,,,
GU 276 /A,,,,159.0,75.0,,391.0,2.12,GUY03A,very slight,-,,,,,,,,,,
GU 278,,,,146.0,79.0,,359.0,1.84,GUY03A,-,-,,,,,,,,,,
GU 278 /A,,,,151.0,82.0,,423.0,1.84,GUY03A,-,-,,,,,,,,,,
GU 279 /B,,,,166.0,85.0,,498.0,1.95,GUY03A,-,-,,,,,,,,,,
GU 280 /A,,,,165.0,86.0,,508.0,1.91,GUY03A,-,-,,,,,,,,,,
GU 285,,,,168.0,87.0,,569.0,1.93,GUY03A,-,attenuate,,,,,,,,,,
GU 285 /A,,,,168.0,91.0,,579.0,1.84,GUY03A,-,attenuate,,,,,,,,,,
GU 292,,,,150.0,77.0,,443.0,1.94,GUY03A,very slight,-,,,,,,,,,,
GU 292 /A,,,,170.0,84.0,,514.0,2.02,GUY03A,-,-,,,,,,,,,,
GU 297,,,,151.0,81.0,,380.0,1.86,GUY03A,very slight,attenuate,,,,,,,,,,
GU 297 /A,,,,142.0,77.0,,349.0,1.84,GUY03A,very slight,-,,,,,,,,,,
GU 3,,,,140.0,81.0,,388.0,1.72,GUY03A,very slight,-,,,,,,,,,,
GU 301 /A,,,,135.0,80.0,,365.0,1.68,GUY03A,-,-,,,,,,,,,,
GU 303,,,,152.0,85.0,,450.0,1.78,GUY03A,-,-,,,,,,,,,,
GU 303 /A,,,,137.0,80.0,,380.0,1.71,GUY03A,very slight,attenuate,,,,,,,,,,
GU 308,,,,139.0,88.0,,500.0,1.57,GUY03A,-,-,,,,,,,,,,
GU 308 /A,,,,156.0,84.0,,475.0,1.85,GUY03A,-,attenuate,,,,,,,,,,
GU 309 /A,,,,136.0,79.0,,372.0,1.72,GUY03A,-,-,,,,,,,,,,
GU 315,,,,164.0,82.0,,514.0,2.00,GUY03A,-,attenuate,,,,,,,,,,
GU 315 /A,,,,173.0,86.0,,548.0,2.01,GUY03A,-,attenuate,,,,,,,,,,
GU 319,,,,130.0,81.0,,405.0,1.60,GUY03A,very slight,attenuate,,,,,,,,,,
GU 321,,,,171.0,87.0,,550.0,1.96,GUY03A,-,attenuate,,,,,,,,,,
GU 321 /A,,,,146.0,75.0,,351.0,1.94,GUY03A,very slight,-,,,,,,,,,,
GU 323,,,,147.0,79.0,,362.0,1.86,GUY03A,very slight,attenuate,,,,,,,,,,
GU 323 /A,,,,146.0,80.0,,383.0,1.82,GUY03A,-,-,,,,,,,,,,
GU 325,,,,167.0,90.0,,535.0,1.85,GUY03A,-,-,,,,,,,,,,
GU 325 /A,,,,157.0,84.0,,481.0,1.86,GUY03A,-,-,,,,,,,,,,
GU 33,,,,130.0,83.0,,377.0,1.56,GUY03A,-,-,,,,,,,,,,
GU 331,,,,158.0,87.0,,517.0,1.81,GUY03A,-,-,,,,,,,,,,
GU 331 /A,,,,139.0,79.0,,384.0,1.75,GUY03A,-,attenuate,,,,,,,,,,
GU 334,,,,173.0,87.0,,597.0,1.98,GUY03A,very slight,attenuate,,,,,,,,,,
GU 334 /A,,,,154.0,83.0,,481.0,1.85,GUY03A,-,attenuate,,,,,,,,,,
GU 338,,,,123.0,79.0,,305.0,1.55,GUY03A,very slight,attenuate,,,,,,,,,,
GU 34,,,,126.0,77.0,,315.0,1.63,GUY03A,-,-,,,,,,,,,,
GU 342,,,,132.0,70.0,,282.0,1.88,GUY03A,very slight,-,,,,,,,,,,
GU 342 /A,,,,146.0,74.0,,349.0,1.97,GUY03A,-,-,,,,,,,,,,
GU 36,,,,133.0,82.0,,373.0,1.62,GUY03A,very slight,-,,,,,,,,,,
GU 361,,,,187.0,82.0,,575.0,2.28,GUY03A,-,-,,,,,,,,,,
GU 362,,,,163.0,67.0,,562.0,2.43,GUY03A,-,-,,,,,,,,,,
GU 363,,,,189.0,69.0,,549.0,2.73,GUY03A,-,-,,,,,,,,,,
GU 364,,,,144.0,80.0,,425.0,1.80,GUY03A,-,attenuate,,,,,,,,,,
GU 366,,,,190.0,90.0,,700.0,2.11,GUY03A,-,attenuate,,,,,,,,,,
GU 367,,,,175.0,85.0,,591.0,2.05,GUY03A,-,attenuate,,,,,,,,,,
GU 369,,,,201.0,87.0,,634.0,2.31,GUY03A,-,-,,,,,,,,,,
GU 38,,,,175.0,88.0,,554.0,1.98,GUY03A,very slight,-,,,,,,,,,,
GU 39,,,,119.0,77.0,,306.0,1.54,GUY03A,very slight,-,,,,,,,,,,
GU 4,,,,112.0,86.0,,371.0,1.30,GUY03A,-,-,,,,,,,,,,
GU 40,,,,146.0,89.0,,476.0,1.64,GUY03A,-,-,,,,,,,,,,
GU 5,,,,143.0,86.0,,434.0,1.66,GUY03A,-,-,,,,,,,,,,
GU 6,,,,137.0,89.0,,448.0,1.53,GUY03A,-,-,,,,,,,,,,
GU 8,,,,117.0,77.0,,305.0,1.51,GUY03A,-,-,,,,,,,,,,
GU 9,,,,141.0,85.0,,416.0,1.65,GUY03A,-,-,,,,,,,,,,
BACAO,ovate,smooth,3.85 mm,123.8,82.3,yellow,398.0,1.50,ICA86A,absent,rounded,,"7 prominance of spacing 7 (ICA___DS, 7 and 7)",very hard,,,,,,,
HUILA A,oblong,slight,-,-,-,yellow,-,-,ICA86A,slight,attenuate,,"2 prominance of spacing 3 (ICA___DS, 2 and 3)",soft,,,,,,,
PENTAGONA /R,pentagona,warty,-,-,-,-,-,-,ICA86A,moderate,acute,,-,soft,,,,,,,
PENTAGONA /V,pentagona,warty,-,-,-,red,-,-,ICA86A,moderate,acute,,-,soft,,,,,,,
RIO GUAPI,oblong,smooth,0.65 mm,131.1,82.2,yellow - orange,337.0,1.59,ICA86A,slight,rounded,,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",hard,,,,,,,
SC 1 [COL],orbicular,slight,0.66 mm,186.0,85.0,brown,609.0,2.18,ICA86A,moderate - slight,attenuate,,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",moderate,,,,,,,
SC 10 [COL],elliptical,intense,0.50 mm,190.4,88.1,orange,649.0,2.16,ICA86A,moderate,attenuate,,"7 prominance of spacing 5 (ICA___DS, 7 and 5)",soft,,,,,,,
SC 11 [COL],orbicular,moderate,0.55 mm,179.3,76.5,yellow,476.0,2.34,ICA86A,moderate - slight,attenuate,,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",soft,,,,,,,
SC 12 [COL],orbicular,slight,0.53 mm,199.9,91.8,yellow,665.0,2.17,ICA86A,slight,attenuate,,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",moderate,,,,,,,
SC 13 [COL],orbicular,intense,0.77 mm,211.1,95.5,yellow - orange,784.0,2.21,ICA86A,very slight,acute,,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",soft,,,,,,,
SC 14 [COL],orbicular,slight,0.62 mm,190.3,90.3,red - orange,614.0,2.10,ICA86A,slight,obtuse,,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",moderate,,,,,,,
SC 15 [COL],orbicular,slight,0.71 mm,193.7,94.3,red - yellow,599.0,2.05,ICA86A,moderate - slight,attenuate,,"5 prominance of spacing 3 (ICA___DS, 5 and 3)",moderate,,,,,,,
SC 16 [COL],orbicular,moderate,0.75 mm,197.1,86.8,yellow,599.0,2.27,ICA86A,moderate,attenuate,,"5 prominance of spacing 3 (ICA___DS, 5 and 3)",moderate,,,,,,,
SC 17 [COL],orbicular,slight,0.53 mm,172.4,86.6,orange,615.0,1.99,ICA86A,moderate - slight,obtuse,,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",moderate,,,,,,,
SC 18 [COL],orbicular,slight,0.58 mm,164.9,91.3,yellow - brown,470.0,1.80,ICA86A,very slight,attenuate,,"7 prominance of spacing 5 (ICA___DS, 7 and 5)",moderate,,,,,,,
SC 19 [COL],orbicular,moderate,0.53 mm,203.9,73.0,yellow - brown,622.0,2.79,ICA86A,very slight,acute,,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",moderate,,,,,,,
SC 2 [COL],orbicular,moderate,0.56 mm,199.4,85.6,red - brown,606.0,2.32,ICA86A,moderate - slight,acute,,"7 prominance of spacing 2 (ICA___DS, 7 and 2)",moderate,,,,,,,
SC 20 [COL],orbicular,intense,0.65 mm,196.0,97.5,yellow,704.0,2.01,ICA86A,slight,attenuate,,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",moderate,,,,,,,
SC 21 [COL],orbicular,intense,0.65 mm,194.1,101.0,orange,692.0,1.92,ICA86A,slight,acute,,"6 prominance of spacing 3 (ICA___DS, 6 and 3)",moderate,,,,,,,
SC 22 [COL],orbicular,moderate,0.58 mm,188.6,84.4,orange - green,512.0,2.23,ICA86A,slight,obtuse,,"7 prominance of spacing 5 (ICA___DS, 7 and 5)",moderate,,,,,,,
SC 23 [COL],orbicular,intense,0.65 mm,173.8,91.1,red - green,508.0,1.90,ICA86A,absent,rounded,,"3 prominance of spacing 3 (ICA___DS, 3 and 3)",soft,,,,,,,
SC 28 [COL],elliptical,slight,0.53 mm,212.7,99.7,yellow - orange,833.0,2.13,ICA86A,slight,attenuate,,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",moderate,,,,,,,
SC 29 [COL],orbicular,moderate,0.65 mm,175.4,88.1,red - orange,545.0,1.99,ICA86A,slight,attenuate,,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",moderate,,,,,,,
SC 3 [COL],orbicular,intense,0.65 mm,192.1,91.4,purple,589.0,2.10,ICA86A,moderate - slight,attenuate,,"7 prominance of spacing 2 (ICA___DS, 7 and 2)",moderate,,,,,,,
SC 30 [COL],orbicular,moderate,0.63 mm,185.8,82.5,orange,482.0,2.25,ICA86A,moderate - slight,attenuate,,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",moderate,,,,,,,
SC 31 [COL],orbicular,moderate,0.58 mm,184.8,94.0,red - orange,609.0,1.96,ICA86A,slight,attenuate,,"7 prominance of spacing 3 (ICA___DS, 7 and 3)",moderate,,,,,,,
SC 33 [COL],orbicular,moderate,0.59 mm,196.6,91.4,red,502.0,2.15,ICA86A,moderate,acute,,"3 prominance of spacing 5 (ICA___DS, 3 and 5)",moderate,,,,,,,
