Clone name,Pathogen,Species,Reaction,Part,Notes,Refcode,Infection,Info,Accession
AC T 2 /11 [TTO],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
AMAZ 3 /2,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
AMELONADO 15 [MAY],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
APA 5,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
ARF 12,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
ARF 14,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
ARF 2,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
ARF 24,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
ARF 31,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
ARF 32,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
ARF 33,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
ARF 37,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
ARF 5,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
ARF 6,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
ARF 22,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,0.70,Artificial reaction to black pod and natural incidence of the disease over 3 years,
ARF 22,Frosty Pod,-,-,Field reaction,-,PHI09A,55.00,Natural incidence of the disease over 9 years,
BE 4,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
BE 8,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.20,Natural incidence of the disease over 3 years,
BE 8,Frosty Pod,-,moderate resistance,-,-,PHI09A,48.00,Artificial reaction to frosty pod and natural incidence of the disease over 9 years,
CATIE-R1,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,3.20,Natural incidence of the disease over 3 years,
CATIE-R1,Frosty Pod,-,-,Field reaction,-,PHI09A,14.00,Natural incidence of the disease over 9 years,
CATIE-R2,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.00,Natural incidence of the disease over 3 years,
CATIE-R2,Frosty Pod,-,-,Field reaction,-,PHI09A,14.00,Natural incidence of the disease over 9 years,
CATIE-R3,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.10,Natural incidence of the disease over 3 years,
CATIE-R3,Frosty Pod,-,-,Field reaction,-,PHI09A,19.00,Natural incidence of the disease over 9 years,
CATIE-R4,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.20,Natural incidence of the disease over 3 years,
CATIE-R4,Frosty Pod,-,-,Field reaction,-,PHI09A,9.00,Natural incidence of the disease over 9 years,
CATIE-R5,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,1.80,Natural incidence of the disease over 3 years,
CATIE-R5,Frosty Pod,-,-,Field reaction,-,PHI09A,9.00,Natural incidence of the disease over 9 years,
CATIE-R6,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.10,Natural incidence of the disease over 3 years,
CATIE-R6,Frosty Pod,-,-,Field reaction,-,PHI09A,5.00,Natural incidence of the disease over 9 years,
CATIE-R7,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.70,Natural incidence of the disease over 3 years,
CATIE-R7,Frosty Pod,-,-,Field reaction,-,PHI09A,15.00,Natural incidence of the disease over 9 years,
CATIE 1000,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.00,Natural incidence of the disease over 3 years,
CATIE 1000,Frosty Pod,-,-,Field reaction,-,PHI09A,79.00,Natural incidence of the disease over 9 years,
CC 137,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.20,Natural incidence of the disease over 3 years,
CC 137,Frosty Pod,-,-,Field reaction,-,PHI09A,27.00,Natural incidence of the disease over 9 years,
CC 240,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
CCN 51,Phytophthora,P. palmivora,-,Field reaction,"Although this clone shares many morpho-physiological characteristics with the true type, it is an off-type as determined by USDA-ARS",PHI09A,0.10,Natural incidence of the disease over 3 years,
CCN 51,Frosty Pod,-,-,Field reaction,"Although this clone shares many morpho-physiological characteristics with the true type, it is an off-type as determined by USDA-ARS",PHI09A,43.00,Natural incidence of the disease over 9 years,
CHU 120 [VEN],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
CL 19 /10,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
CRIOLLO 14 [CRI],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
CRIOLLO 43 [CRI],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
CRIOLLO 66 [CRI],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
CRIOLLO 8 [CRI],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
CRIOLLO 34 [CRI],Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
EET 129 [ECU],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
EET 272 [ECU],Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
EET 401 [ECU],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
EET 407 [ECU],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
EET 75 [ECU],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
EET 183 [ECU],Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.00,Natural incidence of the disease over 3 years,
EET 183 [ECU],Frosty Pod,-,-,Field reaction,-,PHI09A,25.00,Natural incidence of the disease over 9 years,
EET 59 [ECU],Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,0.10,Artificial reaction to black pod and natural incidence of the disease over 3 years,
EET 59 [ECU],Frosty Pod,-,-,Field reaction,-,PHI09A,51.00,Natural incidence of the disease over 9 years,
EQX 69 [EQX],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
GC 29 [UNK],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
GU 123 /N,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
GU 125 /N,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
GU 147 /N,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
GU 171 /N,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
GU 254 /A,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
GU 133 /N,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.10,Natural incidence of the disease over 3 years,
GU 133 /N,Frosty Pod,-,-,Field reaction,-,PHI09A,19.00,Natural incidence of the disease over 9 years,
HY 271418 /4,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
ICS 10,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
ICS 75,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
ICS 44,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,1.10,Natural incidence of the disease over 3 years,
ICS 44,Frosty Pod,-,-,Field reaction,-,PHI09A,73.00,Natural incidence of the disease over 9 years,
ICS 47,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
ICS 95,Phytophthora,P. palmivora,moderate resistance,-,-,PHI09A,-,Artificial reaction to black pod,
ICS 95,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.30,Natural incidence of the disease over 3 years,
ICS 95,Frosty Pod,-,resistant,-,-,PHI09A,23.00,Artificial reaction to frosty pod and natural incidence of the disease over 9 years,
IMC 27,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
IMC 54,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
IMC 55,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
IMC 60,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,1.80,Natural incidence of the disease over 3 years,
IMC 60,Frosty Pod,-,moderate resistance,-,-,PHI09A,37.00,Artificial reaction to frosty pod and natural incidence of the disease over 9 years,
LARANJA,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
MEXICO 10,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
MEXICO 12,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
MEXICO 14,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
MEXICO 4,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
ML 102,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
ML 103,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
NA 756,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
NAL 1,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
NAL 1,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
NAL 1,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
NAL 1,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
NAL 1,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
NAL 2,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
NAL 2,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
NAL 2,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
NAL 3,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
P 23 [MEX],Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.60,Natural incidence of the disease over 3 years,
P 23 [MEX],Frosty Pod,-,moderate resistance,-,-,PHI09A,56.00,Artificial reaction to frosty pod and natural incidence of the disease over 9 years,
PA 303 [PER],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PA 4 [PER],Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
PA 44 [PER],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PA 51 [PER],Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
PA 67 [PER],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PA 169 [PER],Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,2.30,Natural incidence of the disease over 3 years,
PA 169 [PER],Frosty Pod,-,moderate resistance,-,-,PHI09A,15.00,Artificial reaction to frosty pod and natural incidence of the disease over 9 years,
PLAYA ALTA 2 [VEN],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 12,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 15,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 16,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 23,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
PMCT 35,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
PMCT 37,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
PMCT 44,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 46,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
PMCT 46,Frosty Pod,-,resistant,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 48,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 51,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 53,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 82,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
PMCT 92,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
PMCT 93,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
PMCT 99,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
PMCT 58,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.90,Natural incidence of the disease over 3 years,
PMCT 58,Frosty Pod,-,-,Field reaction,-,PHI09A,25.00,Natural incidence of the disease over 9 years,
POUND 7,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,2.20,Artificial reaction to black pod and natural incidence of the disease over 3 years,
POUND 7,Frosty Pod,-,-,Field reaction,-,PHI09A,74.00,Natural incidence of the disease over 9 years,
RB 41 [BRA],Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.30,Natural incidence of the disease over 3 years,
RB 41 [BRA],Frosty Pod,-,-,Field reaction,-,PHI09A,77.00,Natural incidence of the disease over 9 years,
RB 46 [BRA],Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
SANTA CLARA 3 [CRI],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
SC 24 [UNK],Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
SCA 12,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.50,Natural incidence of the disease over 3 years,
SCA 12,Frosty Pod,-,-,Field reaction,-,PHI09A,77.00,Natural incidence of the disease over 9 years,
SCA 6,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.10,Natural incidence of the disease over 3 years,
SCA 6,Frosty Pod,-,-,Field reaction,-,PHI09A,77.00,Natural incidence of the disease over 9 years,
SGU 84,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.00,Natural incidence of the disease over 3 years,
SGU 84,Frosty Pod,-,moderate resistance,-,-,PHI09A,28.00,Artificial reaction to frosty pod and natural incidence of the disease over 9 years,
SNK 12,Phytophthora,P. palmivora,resistant,-,Rated as Highly Resistant,PHI09A,-,Artificial reaction to black pod (Paper Disc Method),
UF 613,Frosty Pod,-,moderate resistance,-,-,PHI09A,-,Artificial reaction to frosty pod,
UF 273,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,0.60,Natural incidence of the disease over 3 years,
UF 273,Frosty Pod,-,resistant,-,-,PHI09A,13.00,Artificial reaction to frosty pod and natural incidence of the disease over 9 years,
UF 712,Phytophthora,P. palmivora,-,Field reaction,-,PHI09A,2.00,Natural incidence of the disease over 3 years,
UF 712,Frosty Pod,-,resistant,-,-,PHI09A,24.00,Artificial reaction to frosty pod and natural incidence of the disease over 9 years,
INIAP T 56,Frosty Pod,,,Pod,,TAR10B,39.50,Infected pods per tree: 4.7,
INIAP T 56,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 5.0, infected flower cushions: 0.2 and infected pods: 0",
INIAP T 178,Frosty Pod,,,Pod,,TAR10B,21.30,Infected pods per tree: 1.2,
INIAP T 178,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 8.2, infected flower cushions: 0.8 and infected pods: 0.2",
INIAP T 183,Frosty Pod,,,Pod,,TAR10B,9.70,Infected pods per tree: 0.7,
INIAP T 183,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 2.2, infected flower cushions: 0 and infected pods: 0.2",
INIAP T 185,Frosty Pod,,,Pod,,TAR10B,18.80,Infected pods per tree: 1.6,
INIAP T 185,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 2.6, infected flower cushions: 0.2 and infected pods: 0",
INIAP T 294,Frosty Pod,,,Pod,,TAR10B,28.30,Infected pods per tree: 4.5,
INIAP T 294,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 2.7, infected flower cushions: 0 and infected pods: 0",
INIAP T 302,Frosty Pod,,,Pod,,TAR10B,7.20,Infected pods per tree: 0.8,
INIAP T 302,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 1.3, infected flower cushions: 0 and infected pods: 0",
INIAP T 332,Frosty Pod,,,Pod,,TAR10B,20.80,Infected pods per tree: 2.5,
INIAP T 332,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 3.3, infected flower cushions: 0.7 and infected pods: 0",
INIAP T 348,Frosty Pod,,,Pod,,TAR10B,11.50,Infected pods per tree: 1.2,
INIAP T 348,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 7.3, infected flower cushions: 1.0 and infected pods: 0.2",
INIAP T 364,Frosty Pod,,,Pod,,TAR10B,6.00,Infected pods per tree: 0.2,
INIAP T 364,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 2.2, infected flower cushions: 0 and infected pods: 0",
INIAP T 374,Frosty Pod,,,Pod,,TAR10B,18.50,Infected pods per tree: 4.3,
INIAP T 374,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 3, infected flower cushions: 13.5 and infected pods: 3.0",
INIAP T 405,Frosty Pod,,,Pod,,TAR10B,18.20,Infected pods per tree: 1.0,
INIAP T 405,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 3.0, infected flower cushions: 0 and infected pods: 0",
INIAP T 462,Frosty Pod,,,Pod,,TAR10B,8.80,Infected pods per tree: 0.2,
INIAP T 462,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 1.0, infected flower cushions: 0.2 and infected pods: 0",
INIAP T 468,Frosty Pod,,,Pod,,TAR10B,18.40,Infected pods per tree: 3.8,
INIAP T 468,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 5.6, infected flower cushions: 0 and infected pods: 0.4",
INIAP T 481,Frosty Pod,,,Pod,,TAR10B,27.00,Infected pods per tree: 4.5,
INIAP T 481,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 4.3, infected flower cushions: 0 and infected pods: 0",
INIAP T 484,Frosty Pod,,,Pod,,TAR10B,14.60,Infected pods per tree: 2.5,
INIAP T 484,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 8.0, infected flower cushions: 0 and infected pods: 0",
INIAP T 509,Frosty Pod,,,Pod,,TAR10B,31.20,Infected pods per tree: 3.5,
INIAP T 509,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 7.3, infected flower cushions: 0 and infected pods: 0.7",
INIAP T 527,Frosty Pod,,,Pod,,TAR10B,5.80,Infected pods per tree: 0.7,
INIAP T 527,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 0, infected flower cushions: 0 and infected pods: 0",
INIAP T 533,Frosty Pod,,,Pod,,TAR10B,9.80,Infected pods per tree: 0.6,
INIAP T 533,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 7.2, infected flower cushions: 0 and infected pods: 0",
INIAP T 543,Frosty Pod,,,Pod,,TAR10B,26.80,Infected pods per tree: 1.0,
INIAP T 543,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 0.8, infected flower cushions: 0.2 and infected pods: 0.2",
INIAP T 560,Frosty Pod,,,Pod,,TAR10B,9.30,Infected pods per tree: 1.0,
INIAP T 560,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 1.2, infected flower cushions: 0 and infected pods: 0",
INIAP T 561,Frosty Pod,,,Pod,,TAR10B,12.20,Infected pods per tree: 0.7,
INIAP T 561,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 5.2, infected flower cushions: 0.2 and infected pods: 0.3",
INIAP T 564,Frosty Pod,,,Pod,,TAR10B,10.80,Infected pods per tree: 0.1,
INIAP T 564,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 7.5, infected flower cushions: 0 and infected pods: 0",
INIAP T 573,Frosty Pod,,,Pod,,TAR10B,19.80,Infected pods per tree: 0.8,
INIAP T 573,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 6.7, infected flower cushions: 0 and infected pods: 0",
INIAP T 632,Frosty Pod,,,Pod,,TAR10B,3.00,Infected pods per tree: 0.7,
INIAP T 632,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 5.7, infected flower cushions: 0 and infected pods: 0",
INIAP T 641,Frosty Pod,,,Pod,,TAR10B,11.20,Infected pods per tree: 0.2,
INIAP T 641,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 2.3, infected flower cushions: 0 and infected pods: 0",
INIAP T 644,Frosty Pod,,,Pod,,TAR10B,24.80,Infected pods per tree: 4.7,
INIAP T 644,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 5.8, infected flower cushions: 0.5 and infected pods: 0.2",
INIAP T 648,Frosty Pod,,,Pod,,TAR10B,18.40,Infected pods per tree: 2.4,
INIAP T 648,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 9, infected flower cushions: 12.4 and infected pods: 1.6",
INIAP T 649,Frosty Pod,,,Pod,,TAR10B,24.20,Infected pods per tree: 7.2,
INIAP T 649,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 4.2, infected flower cushions: 1.8 and infected pods: 0.5",
INIAP T 653,Frosty Pod,,,Pod,,TAR10B,11.30,Infected pods per tree: 0.8,
INIAP T 653,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 9.5, infected flower cushions: 3.0 and infected pods: 0",
INIAP T 656,Frosty Pod,,,Pod,,TAR10B,14.50,Infected pods per tree: 1.3,
INIAP T 656,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 1.8, infected flower cushions: 0 and infected pods: 0",
INIAP T 678,Frosty Pod,,,Pod,,TAR10B,11.30,Infected pods per tree: 3.3,
INIAP T 678,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 10.3, infected flower cushions: 0.3 and infected pods: 0",
INIAP T 680,Frosty Pod,,,Pod,,TAR10B,18.20,Infected pods per tree: 0.7,
INIAP T 680,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 4.8, infected flower cushions: 0.3 and infected pods: 0",
INIAP T 694,Frosty Pod,,,Pod,,TAR10B,43.70,Infected pods per tree: 2.3,
INIAP T 694,Witches' Broom,,,-,,TAR10B,-,"Number of vegetative brooms: 12.0, infected flower cushions: 0 and infected pods: 0",
AM 1 /60 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AM 1 /69 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AM 1 /85 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AM 2 /12 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AM 2 /38 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AM 2 /45 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AM 2 /5 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AM 2 /64 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AM 2 /65 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AM 2 /91 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AMAZ 12,Phytophthora,,resistant,,,BUT98A,,,
AMAZ 12,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AMAZ 1 /5,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
AMAZ 6,Phytophthora,,resistant,,,BUT98A,,,
AMAZ 6,Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 17 /15 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 17 /33 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 17 /5 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 18 /1 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
B 18 /5 [POU],Witches' Broom,,resistant,Field Reaction,,BUT98A,,,
