Clone name,Shape,Info,Refcode,Length,Width,Basal form,Apex form,Petiole length,L w ratio,Basal angle,Apical angle,Notes,Pulvinus present,Pulvinus length
PLAYA ALTA 4 [VEN],lanceolate,,REY73A,,,rounded,caudate,,,,,,,
PLAYA ALTA 5 [VEN],ovate,,REY73A,,,rounded,caudate,,,,,,,
PORCELANA 1,ovate,,REY73A,,,rounded,acuminate,,,,,,,
PORCELANA 10,elliptic,,REY73A,,,rounded,caudate,,,,,,,
PORCELANA 11,elliptic,,REY73A,,,rounded,acuminate,,,,,,,
PORCELANA 12,elliptic,,REY73A,,,rounded,acuminate,,,,,,,
PORCELANA 13,elliptic,,REY73A,,,rounded,caudate,,,,,,,
PORCELANA 14,elliptic,,REY73A,,,rounded,caudate,,,,,,,
PORCELANA 15,elliptic,,REY73A,,,rounded,caudate,,,,,,,
PORCELANA 16,elliptic,,REY73A,,,rounded,acuminate,,,,,,,
PORCELANA 17,elliptic,,REY73A,,,rounded,acuminate,,,,,,,
PORCELANA 2,ovate,,REY73A,,,,,,,,,,,
PORCELANA 21,elliptic,,REY73A,,,rounded,acuminate,,,,,,,
PQTO 72 [VEN],ovate,,REY73A,,,rounded,acuminate,,,,,,,
PQTO 87 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
SC 10 [VEN],elliptic,,REY73A,,,rounded,acuminate,,,,,,,
SC 12 [VEN],lanceolate,,REY73A,,,rounded,caudate,,,,,,,
SC 20 [VEN],ovate,,REY73A,,,rounded,acuminate,,,,,,,
SC 9 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
VILL 185 [VEN],elliptic,,REY73A,,,rounded,caudate,,,,,,,
C 4 /11 [TRI],,,MOR90B,,,,,,2.52,117.0,100.0,,,
CC 10,,,MOR90B,,,,,,2.79,127.0,90.0,,,
CC 41,,,MOR90B,,,,,,2.91,154.0,84.0,,,
CC 9,,,MOR90B,,,,,,2.94,161.0,86.0,,,
EET 103 [ECU],,,MOR90B,,,,,,2.32,143.0,100.0,,,
EET 162 [ECU],,,MOR90B,,,,,,2.59,134.0,100.0,,,
EET 19 [ECU],,,MOR90B,,,,,,3.04,113.0,76.0,,,
EET 238 [ECU],,,MOR90B,,,,,,2.73,128.0,94.0,,,
EET 433 [ECU],,,MOR90B,,,,,,2.67,161.0,92.0,,,
EET 433 [ECU],,,MOR90B,,,,,,2.66,136.0,104.0,,,
EET 48 [ECU],,,MOR90B,,,,,,2.99,127.0,84.0,,,
EET 62 [ECU],,,MOR90B,,,,,,2.74,145.0,95.0,,,
EET 95 [ECU],,,MOR90B,,,,,,2.37,143.0,96.0,,,
EET 96 [ECU],,,MOR90B,,,,,,2.75,140.0,93.0,,,
GS 29,,,MOR90B,,,,,,2.88,132.0,89.0,,,
GS 36,,,MOR90B,,,,,,2.87,137.0,90.0,,,
ICS 1,,,MOR90B,,,,,,2.53,126.0,95.0,,,
ICS 100,,,MOR90B,,,,,,2.71,118.0,85.0,,,
ICS 16,,,MOR90B,,,,,,2.61,135.0,92.0,,,
ICS 55,,,MOR90B,,,,,,2.63,139.0,99.0,,,
ICS 6,,,MOR90B,,,,,,2.72,135.0,84.0,,,
ICS 75,,,MOR90B,,,,,,2.31,134.0,113.0,,,
ICS 8,,,MOR90B,,,,,,3.42,142.0,79.0,,,
ICS 89,,,MOR90B,,,,,,2.46,126.0,94.0,,,
ICS 95,,,MOR90B,,,,,,2.57,157.0,94.0,,,
ICS 98,,,MOR90B,,,,,,2.56,122.0,109.0,,,
IMC 67,,,MOR90B,,,,,,3.07,153.0,76.0,,,
OC 61 [VEN],,,MOR90B,,,,,,2.75,122.0,90.0,,,
OC 77 [VEN],,,MOR90B,,,,,,3.54,109.0,75.0,,,
PA 121 [PER],,,MOR90B,,,,,,3.03,155.0,79.0,,,
POUND 12,,,MOR90B,,,,,,2.94,145.0,87.0,,,
POUND 7,,,MOR90B,,,,,,3.01,168.0,80.0,,,
PQTO 87 [VEN],,,MOR90B,,,,,,2.67,141.0,101.0,,,
RIM 10 [MEX],,,MOR90B,,,,,,3.01,130.0,73.0,,,
RIM 13 [MEX],,,MOR90B,,,,,,2.91,138.0,75.0,,,
RIM 30 [MEX],,,MOR90B,,,,,,3.00,120.0,75.0,,,
RIM 48 [MEX],,,MOR90B,,,,,,2.83,149.0,80.0,,,
SC 10 [VEN],,,MOR90B,,,,,,2.46,124.0,111.0,,,
SC 5 [COL],,,MOR90B,,,,,,-,151.0,86.0,,,
SC 6 [COL],,,MOR90B,,,,,,-,139.0,86.0,,,
SCA 12,,,MOR90B,,,,,,2.66,113.0,93.0,,,
SCA 6,,,MOR90B,,,,,,3.11,132.0,85.0,,,
SIAL 163,,,MOR90B,,,,,,2.99,155.0,85.0,,,
SIAL 325,,,MOR90B,,,,,,2.86,139.0,86.0,,,
SIAL 70,,,MOR90B,,,,,,2.74,146.0,95.0,,,
SIAL 88,,,MOR90B,,,,,,2.95,136.0,91.0,,,
SIC 801,,,MOR90B,,,,,,2.65,136.0,96.0,,,
SIC 802,,,MOR90B,,,,,,2.74,142.0,94.0,,,
SIC 812,,,MOR90B,,,,,,2.59,142.0,100.0,,,
SIC 823,,,MOR90B,,,,,,2.77,138.0,93.0,,,
SIC 831,,,MOR90B,,,,,,2.71,148.0,95.0,,,
SILECIA 1 [ECU],,,MOR90B,,,,,,3.04,106.0,88.0,,,
SILECIA 1 [ECU],,,MOR90B,,,,,,3.04,106.0,88.0,,,
SILECIA 5 [ECU],,,MOR90B,,,,,,3.04,115.0,91.0,,,
SILECIA 5 [ECU],,,MOR90B,,,,,,3.04,115.0,94.0,,,
SPA 9 [COL],,,MOR90B,,,,,,2.79,173.0,96.0,,,
TRONCO 1800,,,MOR90B,,,,,,3.00,130.0,82.0,,,
TRONCO 2270,,,MOR90B,,,,,,2.77,132.0,86.0,,,
TSA 644,,,MOR90B,,,,,,3.06,128.0,86.0,,,
TSA 654,,,MOR90B,,,,,,3.13,171.0,83.0,,,
TSAN 792,,,MOR90B,,,,,,3.41,106.0,79.0,,,
TSH 565,,,MOR90B,,,,,,3.60,119.0,88.0,,,
UF 221,,,MOR90B,,,,,,2.81,123.0,84.0,,,
UF 29,,,MOR90B,,,,,,2.80,151.0,89.0,,,
UF 613,,,MOR90B,,,,,,3.06,128.0,74.0,,,
UF 650,,,MOR90B,,,,,,2.83,124.0,76.0,,,
BAL 209,oval,,LEE93A,333.0,146.0,,,,2.28,,,Calculated ratio,,
FP 10,elliptic,,LEE93A,-,-,,,,-,,,,,
FP 6,elliptic,,LEE93A,-,-,,,,-,,,,,
FP 7,elliptic,,LEE93A,-,-,,,,-,,,,,
FP 8,elliptic/lanceolate,,LEE93A,-,-,,,,-,,,,,
FP 9,elliptic,,LEE93A,-,-,,,,-,,,,,
KKM 1,oblong,,LEE93A,-,-,,,,-,,,,,
KKM 2,oblong,,LEE93A,-,-,,,,-,,,,,
KKM 22,oblong,,LEE93A,-,-,,,,-,,,,,
KKM 28,oblong,,LEE93A,-,-,,,,2.80,,,,,
KKM 5,oval,,LEE93A,-,-,,,,-,,,,,
KKM 6,oblong,,LEE93A,-,-,,,,-,,,,,
PBC 112,oval,,LEE93A,-,-,,,,3.10,,,,,
PBC 113,oval,,LEE93A,-,-,,,,-,,,,,
PBC 123,oval,,LEE93A,-,-,,,,2.80,,,,,
PBC 130,oval,,LEE93A,-,-,,,,2.80,,,,,
PBC 131,oval,,LEE93A,-,-,,,,2.40,,,,,
PBC 140,oval,,LEE93A,-,-,,,,2.40,,,,,
PBC 159,oval,,LEE93A,-,-,,,,2.60,,,,,
QH 1003,oblong,,LEE93A,255.4,98.4,,,,2.59,,,Calculated ratio,,
QH 1176,oblong,,LEE93A,393.4,138.8,,,,2.83,,,Calculated ratio,,
QH 12,oblong,,LEE93A,323.6,128.2,,,,2.52,,,Calculated ratio,,
QH 1213,oblong,,LEE93A,349.2,105.8,,,,3.30,,,Calculated ratio,,
QH 186,oblong,,LEE93A,343.8,133.2,,,,2.58,,,Calculated ratio,,
QH 22,oblong,,LEE93A,343.8,123.8,,,,2.77,,,Calculated ratio,,
QH 240,oblong,,LEE93A,332.0,122.0,,,,2.72,,,Calculated ratio,,
QH 37,oblong,,LEE93A,326.6,109.6,,,,2.97,,,Calculated ratio,,
QH 441,oblong,,LEE93A,352.2,118.4,,,,2.97,,,Calculated ratio,,
QH 670,oblong,,LEE93A,369.6,118.2,,,,3.12,,,Calculated ratio,,
SDS 11,oblong,,LEE93A,326.0,124.0,,,,2.62,,,Calculated ratio,,
SDS 18,lanceolate,,LEE93A,318.0,135.0,,,,2.35,,,Calculated ratio,,
SDS 20,lanceolate,,LEE93A,355.0,126.0,,,,2.81,,,Calculated ratio,,
SDS 21,lanceolate,,LEE93A,359.0,132.0,,,,2.71,,,Calculated ratio,,
SDS 36,lanceolate,,LEE93A,305.0,136.0,,,,2.24,,,Calculated ratio,,
SDS 4,lanceolate,,LEE93A,345.0,124.0,,,,2.78,,,Calculated ratio,,
SDS 41,lanceolate,,LEE93A,395.0,145.0,,,,2.72,,,Calculated ratio,,
SDS 46,lanceolate,,LEE93A,320.0,123.0,,,,2.60,,,Calculated ratio,,
SDS 52,lanceolate,,LEE93A,313.0,109.0,,,,2.87,,,Calculated ratio,,
SDS 54,lanceolate,,LEE93A,372.0,134.0,,,,2.77,,,Calculated ratio,,
SDS 58,lanceolate,,LEE93A,322.0,126.0,,,,2.55,,,Calculated ratio,,
SDS 6,lanceolate,,LEE93A,347.0,136.0,,,,2.55,,,Calculated ratio,,
SDS 74,lanceolate,,LEE93A,337.0,129.0,,,,2.61,,,Calculated ratio,,
SDS 8,lanceolate,,LEE93A,315.0,131.0,,,,2.40,,,Calculated ratio,,
SDS 84,lanceolate,,LEE93A,278.0,110.0,,,,2.52,,,Calculated ratio,,
TG 266,,,LEE93A,351.0,144.0,,,,2.43,,,Calculated ratio,,
UPC 41,oval,,LEE93A,298.3,104.6,,,,2.85,,,Calculated ratio,,
UPC 50,oval,,LEE93A,273.4,109.4,,,,2.49,,,Calculated ratio,,
BACAO,oval,,ICA86A,275.5,141.0,,slightly acuminate,,1.9,,,,Y,
HUILA A,obovate,,ICA86A,276.3,99.1,,acuminate,,2.78,,,,Y,
PENTAGONA /R,obovate,,ICA86A,226.7,88.9,,slightly acuminate,,2.55,,,,Y,
PENTAGONA /V,obovate,,ICA86A,252.8,91.8,,acuminate,,2.75,,,,Y,
RIO GUAPI,oblong,,ICA86A,282.0,93.4,,acuminate,,3.01,,,,Y,
SC 1 [COL],obovate,,ICA86A,253.2,119.1,,acuminate,,2.12,,,,Y,
SC 10 [COL],obovate,,ICA86A,305.0,98.0,,acuminate,,3.11,,,,Y,
SC 11 [COL],obovate,,ICA86A,301.0,106.0,,acuminate,,2.8,,,,Y,
SC 12 [COL],obovate,,ICA86A,299.9,107.8,,acuminate,,2.78,,,,Y,
SC 13 [COL],obovate,,ICA86A,294.3,111.8,,obtuse,,2.63,,,,Y,
SC 14 [COL],elliptic,,ICA86A,299.6,109.1,,obtuse,,2.74,,,,Y,
SC 15 [COL],obovate,,ICA86A,343.4,124.5,,acuminate,,2.75,,,,Y,
SC 16 [COL],obovate,,ICA86A,323.5,107.8,,acuminate,,3.0,,,,Y,
SC 17 [COL],obovate,,ICA86A,322.7,122.3,,obtuse,,2.63,,,,Y,
SC 18 [COL],obovate,,ICA86A,339.8,122.8,,acuminate,,2.76,,,,Y,
SC 19 [COL],obovate,,ICA86A,306.3,108.9,,acuminate,,2.8,,,,Y,
SC 2 [COL],obovate,,ICA86A,242.5,92.0,,acuminate,,2.63,,,,Y,
SC 20 [COL],obovate,,ICA86A,310.0,109.9,,acuminate,,2.82,,,,Y,
SC 21 [COL],obovate,,ICA86A,249.6,96.5,,acuminate,,2.58,,,,Y,
SC 22 [COL],obovate,,ICA86A,265.6,93.4,,acuminate,,2.84,,,,Y,
SC 23 [COL],obovate,,ICA86A,233.1,80.7,,acuminate,,2.88,,,,Y,
SC 26 [COL],obovate,,ICA86A,256.7,93.1,,acuminate,,2.75,,,,Y,
SC 27 [COL],obovate,,ICA86A,274.4,100.5,,slightly acuminate,,2.73,,,,Y,
SC 28 [COL],obovate,,ICA86A,259.6,94.5,,acuminate,,2.74,,,,Y,
SC 29 [COL],obovate,,ICA86A,274.2,97.4,,slightly acuminate,,2.81,,,,Y,
SC 3 [COL],obovate,,ICA86A,289.3,102.1,,acuminate,,2.83,,,,Y,
SC 30 [COL],obovate,,ICA86A,290.6,104.0,,acuminate,,2.79,,,,Y,
SC 31 [COL],obovate,,ICA86A,300.7,102.3,,acuminate,,4.93,,,,Y,
SC 32 [COL],obovate,,ICA86A,233.0,75.6,,acuminate,,3.08,,,,Y,
SC 33 [COL],obovate,,ICA86A,290.0,102.0,,acuminate,,2.84,,,,Y,
SC 35 [COL],obovate,,ICA86A,327.9,101.8,,acuminate,,3.22,,,,Y,
SC 37 [COL],elliptic,,ICA86A,258.4,91.5,,acuminate,,2.82,,,,Y,
SC 38 [COL],obovate,,ICA86A,287.7,98.8,,acuminate,,2.91,,,,Y,
SC 4 [COL],obovate,,ICA86A,265.8,107.0,,acuminate,,2.48,,,,Y,
SC 40 [COL],obovate,,ICA86A,294.5,101.2,,acuminate,,2.9,,,,Y,
SC 41 [COL],obovate,,ICA86A,291.3,98.2,,slightly acuminate,,2.98,,,,Y,
SC 42 [COL],elliptic,,ICA86A,255.6,91.5,,acuminate,,2.83,,,,Y,
SC 43 [COL],elliptic,,ICA86A,247.6,87.2,,acuminate,,2.83,,,,Y,
SC 44 [COL],obovate,,ICA86A,257.1,93.4,,acuminate,,2.75,,,,Y,
SC 45 [COL],obovate,,ICA86A,255.8,95.0,,acuminate,,2.69,,,,Y,
SC 47 [COL],obovate,,ICA86A,265.2,92.6,,acuminate,,2.86,,,,Y,
SC 48 [COL],obovate,,ICA86A,271.4,98.2,,acuminate,,2.76,,,,Y,
SC 49 [COL],obovate,,ICA86A,291.4,101.1,,acuminate,,2.88,,,,Y,
SC 5 [COL],obovate,,ICA86A,297.0,100.1,,acuminate,,2.96,,,,Y,
SC 50 [COL],obovate,,ICA86A,272.6,101.0,,acuminate,,2.69,,,,Y,
SC 51 [COL],oval,,ICA86A,316.0,94.3,,acuminate,,3.35,,,,Y,
SC 54 [COL],obovate,,ICA86A,261.0,100.8,,acuminate,,2.58,,,,Y,
SC 55 [COL],lanceolate,,ICA86A,275.6,91.4,,acuminate,,3.05,,,,Y,
SC 56 [COL],obovate,,ICA86A,259.0,79.8,,acuminate,,3.24,,,,Y,
SC 6 [COL],obovate,,ICA86A,298.5,103.8,,acuminate/obtuse,,2.87,,,,Y,
SC 7 [COL],obovate,,ICA86A,280.8,104.6,,acuminate,,2.68,,,,Y,
SC 8 [COL],obovate,,ICA86A,271.7,98.4,,acuminate,,2.8,,,,Y,
SC 9 [COL],obovate,,ICA86A,329.0,124.4,,acuminate,,2.63,,,,Y,
SPA 10 [COL],elliptic,,ICA86A,259.5,88.6,,acuminate,,2.92,,,,Y,
SPA 11 [COL],elliptic,,ICA86A,257.8,96.5,,acuminate,,2.67,,,,Y,
SPA 12 [COL],obovate,,ICA86A,253.4,104.6,,acuminate,,2.42,,,,Y,
SPA 13 [COL],obovate,,ICA86A,285.0,99.0,,acuminate,,2.87,,,,Y,
SPA 14 [COL],obovate,,ICA86A,265.5,94.6,,acuminate,,2.8,,,,Y,
SPA 15 [COL],obovate,,ICA86A,269.1,92.5,,acuminate,,2.9,,,,Y,
SPA 16 [COL],obovate,,ICA86A,275.0,104.0,,acuminate,,2.6,,,,Y,
SPA 17 [COL],obovate,,ICA86A,263.1,99.7,,acuminate,,2.63,,,,Y,
SPA 18 [COL],obovate,,ICA86A,295.0,95.6,,acuminate,,3.08,,,,Y,
SPA 19 [COL],lanceolate,,ICA86A,247.9,87.3,,acuminate,,2.83,,,,Y,
SPA 2 [COL],elliptic,,ICA86A,275.2,98.2,,acuminate,,2.8,,,,Y,
SPA 20 [COL],obovate,,ICA86A,273.4,100.8,,slightly acuminate,,2.71,,,,Y,
SPA 22 [COL],obovate,,ICA86A,256.7,100.9,,slightly acuminate,,2.54,,,,Y,
SPA 3 [COL],obovate,,ICA86A,257.3,94.6,,acuminate,,2.71,,,,Y,
SPA 3 [COL],obovate,,ICA86A,265.7,101.1,,acuminate,,2.62,,,,Y,
SPA 4 [COL],lanceolate,,ICA86A,251.6,80.0,,acuminate,,2.9,,,,Y,
SPA 6 [COL],obovate,,ICA86A,258.7,105.8,,acuminate,,2.44,,,,Y,
SPA 7 [COL],obovate,,ICA86A,235.1,95.5,,acuminate,,2.46,,,,Y,
SPA 8 [COL],obovate,,ICA86A,346.8,86.8,,acuminate,,3.99,,,,Y,
SPA 9 [COL],elliptic,,ICA86A,257.8,90.6,,acuminate,,2.84,,,,Y,
C 4 /11 [TRI],,,ENR67C,,,,,,2.52,177.0,100.0,,,
CC 10,,,ENR67C,,,,,,2.79,127.0,90.0,,,
CC 41,,,ENR67C,,,,,,2.91,154.0,84.0,,,
CC 9,,,ENR67C,,,,,,2.94,161.0,86.0,,,
EET 103 [ECU],,,ENR67C,,,,,,2.32,143.0,100.0,,,
EET 162 [ECU],,,ENR67C,,,,,,2.59,134.0,100.0,,,
EET 19 [ECU],,,ENR67C,,,,,,3.04,113.0,76.0,,,
EET 238 [ECU],,,ENR67C,,,,,,2.73,128.0,94.0,,,
EET 374 [ECU],,,ENR67C,,,,,,3.0,130.0,82.0,,,
EET 392 [ECU],,,ENR67C,,,,,,2.77,132.0,86.0,,,
EET 399 [ECU],,,ENR67C,,,,,,2.66,136.0,104.0,,,
EET 400 [ECU],,,ENR67C,,,,,,2.67,161.0,92.0,,,
EET 48 [ECU],,,ENR67C,,,,,,2.99,127.0,84.0,,,
EET 62 [ECU],,,ENR67C,,,,,,2.74,145.0,95.0,,,
EET 95 [ECU],,,ENR67C,,,,,,2.37,143.0,96.0,,,
EET 96 [ECU],,,ENR67C,,,,,,2.75,140.0,93.0,,,
GS 29,,,ENR67C,,,,,,2.88,132.0,89.0,,,
GS 36,,,ENR67C,,,,,,2.87,137.0,90.0,,,
ICS 1,,,ENR67C,,,,,,2.53,126.1,95.2,,,
ICS 100,,,ENR67C,,,,,,2.71,118.0,85.0,,,
ICS 16,,,ENR67C,,,,,,2.61,135.0,92.0,,,
ICS 55,,,ENR67C,,,,,,2.63,139.0,99.0,,,
ICS 6,,,ENR67C,,,,,,2.72,135.0,84.0,,,
ICS 75,,,ENR67C,,,,,,2.31,134.0,133.0,,,
ICS 8,,,ENR67C,,,,,,3.42,142.0,79.0,,,
ICS 89,,,ENR67C,,,,,,2.46,126.0,94.0,,,
ICS 95,,,ENR67C,,,,,,2.57,157.0,94.0,,,
ICS 98,,,ENR67C,,,,,,2.56,122.0,109.0,,,
IMC 67,,,ENR67C,,,,,,3.07,153.0,76.0,,,
OC 61 [VEN],,,ENR67C,,,,,,2.75,122.0,90.0,,,
OC 77 [VEN],,,ENR67C,,,,,,3.54,109.0,75.0,,,
PA 121 [PER],,,ENR67C,,,,,,3.03,155.0,79.0,,,
POUND 12,,,ENR67C,,,,,,2.94,145.0,87.0,,,
POUND 7,,,ENR67C,,,,,,3.01,168.0,80.0,,,
PQTO 87 [VEN],,,ENR67C,,,,,,2.67,141.0,101.0,,,
RIM 10 [MEX],,,ENR67C,,,,,,3.01,130.0,73.0,,,
RIM 13 [MEX],,,ENR67C,,,,,,2.91,138.0,75.0,,,
RIM 30 [MEX],,,ENR67C,,,,,,3.0,120.0,75.0,,,
RIM 48 [MEX],,,ENR67C,,,,,,2.83,149.0,80.0,,,
SC 10 [VEN],,,ENR67C,,,,,,2.46,124.0,111.0,,,
SC 5 [COL],,,ENR67C,,,,,,2.78,151.0,86.0,,,
SC 6 [COL],,,ENR67C,,,,,,2.68,139.0,86.0,,,
SCA 12,,,ENR67C,,,,,,2.66,113.0,93.0,,,
SCA 6,,,ENR67C,,,,,,3.11,132.0,85.0,,,
SIAL 163,,,ENR67C,,,,,,2.99,155.0,85.0,,,
SIAL 325,,,ENR67C,,,,,,2.86,139.0,86.0,,,
SIAL 70,,,ENR67C,,,,,,2.74,146.0,95.0,,,
SIAL 88,,,ENR67C,,,,,,2.95,136.0,91.0,,,
SIC 801,,,ENR67C,,,,,,2.65,136.0,96.0,,,
SIC 802,,,ENR67C,,,,,,2.74,142.0,94.0,,,
SIC 812,,,ENR67C,,,,,,2.59,142.0,100.0,,,
SIC 823,,,ENR67C,,,,,,2.77,138.0,93.0,,,
SIC 831,,,ENR67C,,,,,,2.71,148.0,95.0,,,
SILECIA 1 [ECU],,,ENR67C,,,,,,3.04,106.0,88.0,,,
SILECIA 5 [ECU],,,ENR67C,,,,,,3.04,115.0,91.0,,,
SPA 9 [COL],,,ENR67C,,,,,,2.79,173.0,96.0,,,
TSA 644,,,ENR67C,,,,,,3.06,128.0,86.0,,,
TSA 654,,,ENR67C,,,,,,3.13,171.0,83.0,,,
TSAN 792,,,ENR67C,,,,,,3.41,106.0,79.0,,,
TSH 565,,,ENR67C,,,,,,3.6,119.0,88.0,,,
UF 221,,,ENR67C,,,,,,2.81,123.0,84.0,,,
UF 29,,,ENR67C,,,,,,2.8,151.0,89.0,,,
UF 613,,,ENR67C,,,,,,3.06,128.0,74.0,,,
UF 650,,,ENR67C,,,,,,2.83,124.0,76.0,,,
UF 667,,,ENR67C,,,,,,2.79,137.0,78.0,,,
PBC 112,,,PRA82A,,,,,,3.1,,,,,
PBC 123,,,PRA82A,,,,,,2.8,,,,,
PBC 128,,,PRA82A,,,,,,2.6,,,,,
PBC 130,,,PRA82A,,,,,,2.8,,,,,
PBC 131,,,PRA82A,,,,,,2.4,,,,,
PBC 137,,,PRA82A,,,,,,2.8,,,,,
PBC 139,,,PRA82A,,,,,,2.0,,,,,
PBC 140,,,PRA82A,,,,,,2.4,,,,,
PBC 154,,,PRA82A,,,,,,3.1,,,,,
PBC 159,,,PRA82A,,,,,,2.6,,,,,
ALMEIDA,,,ICG92A,251.0,97.0,,,19.0,2.6,106.7,74.4,Data collected on 28/06/1991,,17.0
AMAZ 12,,,ICG92A,250.0,86.0,,,11.0,2.9,106.5,60.4,Data collected on 15/10/1991,,14.0
AMAZ 1 /5,,,ICG92A,327.0,116.0,,,25.0,3.2,114.7,60.3,Data collected on 26/04/1991,,18.0
AMAZ 3 /2,,,ICG92A,272.0,100.0,,,25.0,2.7,115.9,69.8,Data collected on 07/03/1991,,18.0
AMAZ 6,,,ICG92A,282.0,89.0,,,20.0,3.2,110.9,53.3,Data collected on 06/02/1991,,18.0
B 12 /1 [POU],,,ICG92A,233.0,83.0,,,19.0,2.8,118.0,77.2,Data collected on 29/08/1991,,15.0
B 13 /3 [POU],,,ICG92A,226.0,86.0,,,15.0,2.6,125.9,79.2,Data collected on 12/11/1991,,13.0
B 14 /9 [POU],,,ICG92A,229.0,87.0,,,15.0,2.6,107.2,68.0,Data collected on 15/08/1991,,15.0
B 18 /4 [POU],,,ICG92A,256.0,84.0,,,21.0,3.1,119.8,80.7,Data collected on 12/08/1991,,18.0
B 18 /5 [POU],,,ICG92A,244.0,96.0,,,18.0,2.5,117.5,68.0,Data collected on 09/05/1991,,13.0
B 23 /2 [POU],,,ICG92A,198.0,66.0,,,18.0,3.0,144.5,86.1,Data collected on 12/12/1991,,9.0
B 5 /3 [POU],,,ICG92A,293.0,84.0,,,22.0,3.4,105.2,73.4,Data collected on 15/08/1991,,16.0
B 7 /21 [POU],,,ICG92A,262.0,89.0,,,21.0,3.0,118.6,75.9,Data collected on 12/12/1991,,14.0
B 7 /38 [POU],,,ICG92A,246.0,91.0,,,12.0,2.7,127.4,86.0,Data collected on 15/08/1991,,5.0
B 8 /4 [POU],,,ICG92A,183.0,53.0,,,14.0,3.5,108.0,76.6,Data collected on 12/11/1991,,11.0
