Clone name,Number,Total dry weight,Dry weight,Info
K 20 [KER],36.0,46.1,1.27,34 plants sampled
K 21 [KER],29.8,50.1,1.66,30 plants sampled
K 24 /106 [KER],31.1,52.1,1.65,33 plants sampled
K 6 /101 [KER],32.7,47.3,1.44,53 plants sampled
K 82 [KER],38.5,43.8,1.13,49 plants sampled
KA 2 /101,30.9,43.5,1.39,39 plants sampled
KA 2 /106,29.2,52.1,1.76,37 plants sampled
KA 5 /201,33.1,46.0,1.38,48 plants sampled
LCT EEN 258 /E,32.5,28.7,0.86,11 plants sampled
LCT EEN 258 /H,39.6,33.6,0.84,20 plants sampled
LCT EEN 37 /A,39.0,28.6,0.71,11 plants sampled
LCT EEN 37 /E,41.4,37.5,0.89,12 plants sampled
LCT EEN 37 /H,39.1,32.6,0.81,20 plants sampled
LCT EEN 73 /B,29.8,39.6,1.3,12 plants sampled
M 109 [ICT],36.1,40.0,1.1,14 plants sampled
M 180 [ICT],45.3,37.0,0.81,23 plants sampled
MATINA 1 /9,38.1,35.5,0.93,39 plants sampled
MO 81,42.3,30.4,0.72,36 plants sampled
MO 98,52.8,42.5,0.8,22 plants sampled
MOCORONGO,43.9,34.0,0.76,96 plants sampled
MOCORONGO,44.5,35.6,0.8,
MOQ 4 /17,32.7,35.7,1.09,60 plants sampled
NA 101,39.6,35.8,0.89,26 plants sampled
NA 110,45.6,30.2,0.65,52 plants sampled
NA 121,35.0,26.2,0.73,71 plants sampled
NA 141,43.6,32.0,0.72,82 plants sampled
NA 149,46.0,32.7,0.7,59 plants sampled
NA 162,37.7,35.7,0.94,69 plants sampled
NA 168,36.7,33.3,0.9,25 plants sampled
NA 171,46.3,32.4,0.69,57 plants sampled
NA 180,39.6,32.5,0.81,42 plants sampled
NA 214,38.3,35.3,0.91,75 plants sampled
NA 217,32.8,27.4,0.82,36 plants sampled
NA 226,41.4,42.9,1.02,56 plants sampled
NA 227,36.3,35.8,0.97,36 plants sampled
NA 235,42.7,31.2,0.72,67 plants sampled
NA 247,30.6,27.1,0.87,65 plants sampled
NA 250,43.2,35.1,0.81,68 plants sampled
NA 256,22.1,22.2,0.98,22 plants sampled
NA 258,42.6,27.8,0.64,56 plants sampled
NA 26,33.8,31.8,0.93,21 plants sampled
NA 260,33.4,23.0,0.68,31 plants sampled
NA 27,37.9,34.3,0.88,19 plants sampled
NA 283,34.9,34.0,0.96,43 plants sampled
NA 284,44.3,33.5,0.76,49 plants sampled
NA 31,34.0,33.8,0.99,61 plants sampled
NA 311,32.8,26.6,0.8,48 plants sampled
NA 32,39.0,36.0,0.92,29 plants sampled
NA 33,42.4,29.9,0.7,35 plants sampled
NA 34,32.2,30.9,0.95,61 plants sampled
NA 70,42.7,31.1,0.72,34 plants sampled
NA 77,35.9,26.1,0.72,46 plants sampled
P 10 [MEX],35.8,42.1,1.17,56 plants sampled
P 4 /NANAY [UNK],38.4,31.8,0.82,35 plants sampled
PA 107 [PER],38.4,29.3,0.76,50 plants sampled
PA 121 [PER],29.6,29.7,0.98,48 plants sampled
PA 127 [PER],37.7,33.9,0.9,42 plants sampled
PA 13 [PER],35.0,30.6,0.87,50 plants sampled
PA 137 [PER],30.9,34.6,1.12,54 plants sampled
PA 138 [PER],36.1,35.9,0.99,49 plants sampled
PA 149 [PER],37.1,38.5,1.03,54 plants sampled
PA 156 [PER],36.6,34.6,0.94,39 plants sampled
PA 175 [PER],39.5,34.0,0.86,73 plants sampled
PA 179 [PER],38.3,39.6,1.02,42 plants sampled
PA 300 [PER],35.1,37.0,1.05,52 plants sampled
PA 35 [PER],31.7,41.3,1.29,53 plants sampled
PA 56 [PER],32.9,29.8,0.9,33 plants sampled
PA 56 [PER],34.3,29.7,0.86,
PA 7 [PER],31.1,26.5,0.85,36 plants sampled
PA 73 [PER],33.6,34.5,1.01,28 plants sampled
PA 73 [PER],33.7,36.1,1.07,
PA 76 [PER],38.4,37.4,0.97,35 plants sampled
POUND 12,42.9,34.5,0.8,29 plants sampled
POUND 16,47.0,30.9,0.65,19 plants sampled
POUND 7,47.1,46.1,0.98,40 plants sampled
RB 41 [BRA],27.1,24.0,0.88,21 plants sampled
RB 41 [BRA],27.2,24.5,0.9,
REDAMEL 1 /22,38.9,41.6,1.07,23 plants sampled
RIM 41 [MEX],36.1,44.9,1.24,25 plants sampled
SCA 12,36.4,24.1,0.66,45 plants sampled
SCA 20 /D,41.8,38.2,0.91,24 plants sampled
SCA 20 /QH,40.9,35.7,0.87,53 plants sampled
SCA 6,35.1,22.9,0.65,24 plants sampled
SCA 9,36.5,23.8,0.65,31 plants sampled
SCR 5,37.3,41.7,1.11,21 plants sampled
SIAL 93,42.8,49.0,1.14,46 plants sampled
SIAL 93,42.8,49.0,1.14,
SIAL 98,41.2,40.4,0.97,
SM 2 [POU],29.0,29.9,1.0,
SPA 10 [COL],41.0,32.3,0.79,54 plants sampled
SPA 12 [COL],44.4,38.6,0.86,65 plants sampled
SPA 12 [COL],44.0,39.1,0.89,
SPA 9 [COL],46.0,37.8,0.82,61 plants sampled
SPEC 138 /13,34.0,29.2,0.86,
SPEC 185 /4,26.6,24.9,0.91,16 plants sampled
SPEC 185 /4,26.4,24.7,0.9,
SPEC 41 /11,43.1,37.9,0.87,
SPEC 41 /6,33.6,32.0,0.94,
STAHEL,34.0,34.3,1.01,22 plants sampled
TAP 1 /2 [CHA],40.1,30.2,0.75,55 plants sampled
TSH 1112,40.5,33.2,0.81,20 plants sampled
UA 13,37.9,29.2,0.76,42 plants sampled
UA 13,38.5,30.3,0.78,
UF 11,34.8,52.8,1.51,47 plants sampled
UF 168,37.0,54.8,1.46,49 plants sampled
UF 221,33.9,43.7,1.29,53 plants sampled
UF 221,38.3,56.9,1.48,34 plants sampled
UF 29,42.5,39.4,0.92,28 plants sampled
UF 613,37.4,44.7,1.2,36 plants sampled
UF 676,35.2,55.1,1.56,46 plants sampled
UF 705,37.2,42.6,1.11,14 plants sampled
UF 717,34.9,41.6,1.14,15 plants sampled
UIT 1,37.6,60.1,1.58,29 plants sampled
UIT 2,38.5,60.7,1.56,37 plants sampled
VEN B 47 [ICT],36.9,37.1,1.0,16 plants sampled
WA 159 [MYS],38.2,51.2,1.32,95 plants sampled
WA 159 [MYS],38.2,55.4,1.45,
