Clone name,Seed index,Pod index
NA 171,144.9,30.9
NA 180,123.4,30.8
NA 214,109.8,28.3
NA 217,121.9,36.5
NA 226,98.0,23.3
NA 227,103.0,28.0
NA 235,138.8,32.1
NA 247,114.9,36.9
NA 250,123.4,28.5
NA 256,102.0,45.1
NA 258,156.2,36.0
NA 26,107.5,31.4
NA 260,147.0,43.4
NA 27,113.6,29.1
NA 283,104.1,29.4
NA 284,131.5,29.8
NA 31,101.0,29.6
NA 311,125.0,37.6
NA 32,108.6,27.8
NA 33,142.8,33.5
NA 34,105.2,32.4
NA 70,138.8,32.2
NA 77,138.8,38.4
P 10 [MEX],85.4,23.8
P 4 /NANAY [UNK],121.9,31.4
PA 107 [PER],131.5,34.1
PA 121 [PER],102.0,33.7
PA 127 [PER],111.1,29.5
PA 13 [PER],114.9,32.7
PA 137 [PER],89.2,28.9
PA 138 [PER],101.0,27.9
PA 149 [PER],97.0,26.0
PA 156 [PER],106.3,28.9
PA 175 [PER],116.2,29.3
PA 179 [PER],98.0,25.3
PA 300 [PER],95.2,27.0
PA 35 [PER],77.5,24.2
PA 56 [PER],111.1,33.6
PA 56 [PER],116.2,33.7
PA 7 [PER],117.6,37.8
PA 73 [PER],93.4,27.7
PA 73 [PER],99.0,29.0
PA 76 [PER],103.0,26.7
POUND 12,125.0,29.0
POUND 16,153.8,32.4
POUND 7,102.0,21.7
RB 41 [BRA],111.1,40.9
RB 41 [BRA],113.6,41.6
REDAMEL 1 /22,93.4,24.0
RIM 41 [MEX],80.6,22.3
SCA 12,151.5,41.5
SCA 20 /D,109.8,26.2
SCA 20 /QH,114.9,28.0
SCA 6,153.8,43.8
SCA 9,153.8,42.1
SCR 5,90.0,24.0
SIAL 93,87.7,20.4
SIAL 93,87.7,20.4
SIAL 98,103.0,24.8
SM 2 [POU],100.0,33.5
SPA 10 [COL],126.5,30.9
SPA 12 [COL],116.2,25.9
SPA 12 [COL],112.3,25.6
SPA 9 [COL],121.9,26.4
SPEC 138 /13,116.2,34.2
SPEC 185 /4,111.1,40.5
SPEC 185 /4,109.8,40.1
SPEC 41 /11,114.9,26.4
SPEC 41 /6,106.3,31.2
STAHEL,99.0,29.1
TAP 1 /2 [CHA],133.3,33.2
TSH 1112,123.4,30.2
UA 13,131.5,34.3
UA 13,128.2,33.0
UF 11,66.2,18.9
UF 168,68.4,18.3
UF 221,77.5,22.9
UF 221,67.5,17.6
UF 29,108.6,25.4
UF 613,83.3,22.4
UF 676,64.1,18.1
UF 705,90.0,23.5
UF 717,87.7,24.0
UIT 1,63.2,16.6
UIT 2,64.1,16.5
VEN B 47 [ICT],100.0,26.9
WA 159 [MYS],75.7,19.5
WA 159 [MYS],68.9,18.1
