SampleName,Clone name,Data type,Run,Experiment,BioSample
EBC_30,EBC 30,genomic,SRR21562114 NCBI ENA,SRX17564465,SAMN30841405
EBC_38_S15,EBC 38 /S-15,genomic,SRR21562113 NCBI ENA,SRX17564466,SAMN30841406
EBC_48,EBC 48,genomic,SRR21562176 NCBI ENA,SRX17564403,SAMN30841407
EBC_5,EBC 5,genomic,SRR21562175 NCBI ENA,SRX17564404,SAMN30841408
EBC_6_401,EBC 6 /S-401,genomic,SRR21562174 NCBI ENA,SRX17564405,SAMN30841409
EBC_6_S10,EBC 6 /S-10,genomic,SRR21562173 NCBI ENA,SRX17564406,SAMN30841410
EBC_9_A2,EBC 9 A2,genomic,SRR21562172 NCBI ENA,SRX17564407,SAMN30841411
EBC_91,EBC 91,genomic,SRR21562110 NCBI ENA,SRX17564469,SAMN30841412
EET_103,EET 103 [ECU],genomic,SRR21562108 NCBI ENA,SRX17564471,SAMN30841413
EET_416,EET 416 [ECU],genomic,SRR21562107 NCBI ENA,SRX17564472,SAMN30841414
ELP_15,ELP 15,genomic,SRR21562106 NCBI ENA,SRX17564473,SAMN30841415
GU_134_B,GU 134 /B,genomic,SRR21562105 NCBI ENA,SRX17564474,SAMN30841416
GU_278_A,GU 278 /A,genomic,SRR21562104 NCBI ENA,SRX17564475,SAMN30841417
GUAY_1,GUAY 1,genomic,SRR21562185 NCBI ENA,SRX17564394,SAMN30841418
GUAY_2,GUAY 2,genomic,SRR21562184 NCBI ENA,SRX17564395,SAMN30841419
HE_4,HE 4,genomic,SRR21562183 NCBI ENA,SRX17564396,SAMN30841420
IMC_48,IMC 48,genomic,SRR21562182 NCBI ENA,SRX17564397,SAMN30841421
IMC_63,IMC 63,genomic,SRR21562181 NCBI ENA,SRX17564398,SAMN30841422
IMC_65,IMC 65,genomic,SRR21562179 NCBI ENA,SRX17564400,SAMN30841423
IMC_67,IMC 67,genomic,SRR21562178 NCBI ENA,SRX17564401,SAMN30841424
Kapawi_1,Kapawi 1,genomic,SRR21562177 NCBI ENA,SRX17564402,SAMN30841425
KER_6,KER 6,genomic,SRR21562099 NCBI ENA,SRX17564480,SAMN30841426
LAN_7,LAN 7,genomic,SRR21562098 NCBI ENA,SRX17564481,SAMN30841427
LCTEEN_122,LCT EEN 122,genomic,SRR21562094 NCBI ENA,SRX17564485,SAMN30841428
LCTEEN_163_A,LCT EEN 163 /A,genomic,SRR21562093 NCBI ENA,SRX17564486,SAMN30841429
LCTEEN_188,LCT EEN 188,genomic,SRR21562171 NCBI ENA,SRX17564408,SAMN30841430
LCTEEN_189,LCT EEN 189,genomic,SRR21562170 NCBI ENA,SRX17564409,SAMN30841431
LCTEEN_193,LCT EEN 193,genomic,SRR21562169 NCBI ENA,SRX17564410,SAMN30841432
LCTEEN_195,LCT EEN 195,genomic,SRR21562167 NCBI ENA,SRX17564412,SAMN30841433
LCTEEN_201,LCT EEN 201,genomic,SRR21562166 NCBI ENA,SRX17564413,SAMN30841434
LCTEEN_212_S4,LCT EEN 212 /S-4,genomic,SRR21562165 NCBI ENA,SRX17564414,SAMN30841435
LCTEEN_215,LCT EEN 215,genomic,SRR21562164 NCBI ENA,SRX17564415,SAMN30841436
LCTEEN_218,LCT EEN 218,genomic,SRR21562163 NCBI ENA,SRX17564416,SAMN30841437
LCTEEN_220,LCT EEN 220,genomic,SRR21562162 NCBI ENA,SRX17564417,SAMN30841438
LCTEEN_221,LCT EEN 221,genomic,SRR21562161 NCBI ENA,SRX17564418,SAMN30841439
LCTEEN_227,LCT EEN 227,genomic,SRR21562160 NCBI ENA,SRX17564419,SAMN30841440
LCTEEN_246,LCT EEN 246,genomic,SRR21562103 NCBI ENA,SRX17564476,SAMN30841441
LCTEEN_249,LCT EEN 249,genomic,SRR21562102 NCBI ENA,SRX17564477,SAMN30841442
LCTEEN_255,LCT EEN 255,genomic,SRR21562100 NCBI ENA,SRX17564479,SAMN30841443
LCTEEN_261_S1,LCT EEN 261 /S-1,genomic,SRR21562097 NCBI ENA,SRX17564482,SAMN30841444
LCTEEN_267,LCT EEN 267,genomic,SRR21562096 NCBI ENA,SRX17564483,SAMN30841445
LCTEEN_30,LCT EEN 30,genomic,SRR21562095 NCBI ENA,SRX17564484,SAMN30841446
LCTEEN_31,LCT EEN 31,genomic,SRR21562044 NCBI ENA,SRX17564535,SAMN30841447
LCTEEN_312,LCT EEN 312,genomic,SRR21562043 NCBI ENA,SRX17564536,SAMN30841448
LCTEEN_325,LCT EEN 325,genomic,SRR21562092 NCBI ENA,SRX17564487,SAMN30841449
LCTEEN_332,LCT EEN 332,genomic,SRR21562091 NCBI ENA,SRX17564488,SAMN30841450
LCTEEN_333,LCT EEN 333,genomic,SRR21562090 NCBI ENA,SRX17564489,SAMN30841451
LCTEEN_334,LCT EEN 334,genomic,SRR21562089 NCBI ENA,SRX17564490,SAMN30841452
LCTEEN_36,LCT EEN 36,genomic,SRR21562087 NCBI ENA,SRX17564492,SAMN30841453
LCTEEN_362,LCT EEN 362,genomic,SRR21562086 NCBI ENA,SRX17564493,SAMN30841454
LCTEEN_368,LCT EEN 368,genomic,SRR21562085 NCBI ENA,SRX17564494,SAMN30841455
LCTEEN_37,LCT EEN 37,genomic,SRR21562084 NCBI ENA,SRX17564495,SAMN30841456
LCTEEN_372,LCT EEN 372,genomic,SRR21562083 NCBI ENA,SRX17564496,SAMN30841457
LCTEEN_403,LCT EEN 403,genomic,SRR21562082 NCBI ENA,SRX17564497,SAMN30841458
LCTEEN_411,LCT EEN 411,genomic,SRR21562081 NCBI ENA,SRX17564498,SAMN30841459
LCTEEN_413,LCT EEN 413,genomic,SRR21562080 NCBI ENA,SRX17564499,SAMN30841460
LCTEEN_414,LCT EEN 414,genomic,SRR21562079 NCBI ENA,SRX17564500,SAMN30841461
LCTEEN_415,LCT EEN 415,genomic,SRR21562078 NCBI ENA,SRX17564501,SAMN30841462
LCTEEN_57,LCT EEN 57,genomic,SRR21562048 NCBI ENA,SRX17564531,SAMN30841463
LCTEEN_63,LCT EEN 63,genomic,SRR21562047 NCBI ENA,SRX17564532,SAMN30841464
LCTEEN_66,LCT EEN 66,genomic,SRR21562046 NCBI ENA,SRX17564533,SAMN30841465
LCTEEN_68_S2,LCT EEN 68 /S-2,genomic,SRR21562045 NCBI ENA,SRX17564534,SAMN30841466
LCTEEN_81,LCT EEN 81,genomic,SRR21562028 NCBI ENA,SRX17564551,SAMN30841467
LCTEEN_82,LCT EEN 82,genomic,SRR21562027 NCBI ENA,SRX17564552,SAMN30841468
LCTEEN_85,LCT EEN 85,genomic,SRR21562026 NCBI ENA,SRX17564553,SAMN30841469
LCTEEN_86,LCT EEN 86,genomic,SRR21562042 NCBI ENA,SRX17564537,SAMN30841470
LCTEEN_90_S7,LCT EEN 90 /S-7,genomic,SRR21562041 NCBI ENA,SRX17564538,SAMN30841471
LCTEEN_91,LCT EEN 91,genomic,SRR21562040 NCBI ENA,SRX17564539,SAMN30841472
LIB_3,LIB 3,genomic,SRR21562038 NCBI ENA,SRX17564541,SAMN30841473
Mat1-6,MATINA 1 /6,genomic,SRR21562037 NCBI ENA,SRX17564542,SAMN30841474
MO_121,MO 121,genomic,SRR21562036 NCBI ENA,SRX17564543,SAMN30841475
MO_76,MO 76,genomic,SRR21562035 NCBI ENA,SRX17564544,SAMN30841476
MO_96,MO 96,genomic,SRR21562034 NCBI ENA,SRX17564545,SAMN30841477
NA_127,NA 127,genomic,SRR21562033 NCBI ENA,SRX17564546,SAMN30841478
NA_435,NA 435,genomic,SRR21562032 NCBI ENA,SRX17564547,SAMN30841479
NA_672,NA 672,genomic,SRR21562031 NCBI ENA,SRX17564548,SAMN30841480
NA_697,NA 697,genomic,SRR21562030 NCBI ENA,SRX17564549,SAMN30841481
Nank_3,Nank 3,genomic,SRR21562029 NCBI ENA,SRX17564550,SAMN30841482
Nank_5,Nank 5,genomic,SRR21562210 NCBI ENA,SRX17564369,SAMN30841483
NUPA_1,NUPA 1,genomic,SRR21562209 NCBI ENA,SRX17564370,SAMN30841484
NUPA_2,NUPA 2,genomic,SRR21562208 NCBI ENA,SRX17564371,SAMN30841485
PA_126,PA 126 [PER],genomic,SRR21562207 NCBI ENA,SRX17564372,SAMN30841486
PA_191,PA 191 [PER],genomic,SRR21562206 NCBI ENA,SRX17564373,SAMN30841487
PA_293,PA 293 [PER],genomic,SRR21562205 NCBI ENA,SRX17564374,SAMN30841488
PA_296,PA 296 [PER],genomic,SRR21562204 NCBI ENA,SRX17564375,SAMN30841489
PAL13_A1,PAL13 A1,genomic,SRR21562203 NCBI ENA,SRX17564376,SAMN30841490
PAL15_A1,PAL15 A1,genomic,SRR21562202 NCBI ENA,SRX17564377,SAMN30841491
PAL35_A5,PAL35 A5,genomic,SRR21562201 NCBI ENA,SRX17564378,SAMN30841492
PAL8_A1,PAL8 A1,genomic,SRR21562199 NCBI ENA,SRX17564380,SAMN30841493
PAL9_A2,PAL9 A2,genomic,SRR21562198 NCBI ENA,SRX17564381,SAMN30841494
Pang_10,Pang 10,genomic,SRR21562197 NCBI ENA,SRX17564382,SAMN30841495
Pang_11,Pang 11,genomic,SRR21562196 NCBI ENA,SRX17564383,SAMN30841496
Pang_12,Pang 12,genomic,SRR21562195 NCBI ENA,SRX17564384,SAMN30841497
Pang_15,Pang 15,genomic,SRR21562194 NCBI ENA,SRX17564385,SAMN30841498
Pang_16,Pang 16,genomic,SRR21562193 NCBI ENA,SRX17564386,SAMN30841499
Pang_18,Pang 18,genomic,SRR21562192 NCBI ENA,SRX17564387,SAMN30841500
Pang_21,Pang 21,genomic,SRR21562191 NCBI ENA,SRX17564388,SAMN30841501
Pang_24,Pang 24,genomic,SRR21562190 NCBI ENA,SRX17564389,SAMN30841502
Pang_6,Pang 6,genomic,SRR21562188 NCBI ENA,SRX17564391,SAMN30841503
Pang_9,Pang 9,genomic,SRR21562187 NCBI ENA,SRX17564392,SAMN30841504
PER_2,PER 2,genomic,SRR21562186 NCBI ENA,SRX17564393,SAMN30841505
RB_29,RB 29 [BRA],genomic,SRR21562159 NCBI ENA,SRX17564420,SAMN30841506
RB_33_3,RB 33 /3 [BRA],genomic,SRR21562158 NCBI ENA,SRX17564421,SAMN30841507
RB_37,RB 37 [BRA],genomic,SRR21562157 NCBI ENA,SRX17564422,SAMN30841508
RB_41,RB 41 [BRA],genomic,SRR21562156 NCBI ENA,SRX17564423,SAMN30841509
RB_43,RB 43 [BRA],genomic,SRR21562155 NCBI ENA,SRX17564424,SAMN30841510
RB_46,RB 46 [BRA],genomic,SRR21562154 NCBI ENA,SRX17564425,SAMN30841511
RB_48,RB 48 [BRA],genomic,SRR21562153 NCBI ENA,SRX17564426,SAMN30841512
RB_49,RB 49 [BRA],genomic,SRR21562151 NCBI ENA,SRX17564428,SAMN30841513
SA_16,SA 16 [BRA],genomic,SRR21562150 NCBI ENA,SRX17564429,SAMN30841514
SCA_11,SCA 11,genomic,SRR21562149 NCBI ENA,SRX17564430,SAMN30841515
SCA_12,SCA 12,genomic,SRR21562148 NCBI ENA,SRX17564431,SAMN30841516
SCA_5,SCA 5,genomic,SRR21562147 NCBI ENA,SRX17564432,SAMN30841517
SCA_6,SCA 6,genomic,SRR21562146 NCBI ENA,SRX17564433,SAMN30841518
SHAI_001,SHAI 001,genomic,SRR21562145 NCBI ENA,SRX17564434,SAMN30841519
SHAI_004,SHAI 004,genomic,SRR21562144 NCBI ENA,SRX17564435,SAMN30841520
SHAM_2,SHAM 2,genomic,SRR21562143 NCBI ENA,SRX17564436,SAMN30841521
SHAM_4,SHAM 4,genomic,SRR21562142 NCBI ENA,SRX17564437,SAMN30841522
SJU_3,SJU 3,genomic,SRR21562140 NCBI ENA,SRX17564439,SAMN30841523
SNA_1001,SNA 1001,genomic,SRR21562139 NCBI ENA,SRX17564440,SAMN30841524
SNA_1003,SNA 1003,genomic,SRR21562138 NCBI ENA,SRX17564441,SAMN30841525
SNA_604,SNA 604,genomic,SRR21562137 NCBI ENA,SRX17564442,SAMN30841526
SP_1,SP 1 [VEN],genomic,SRR21562136 NCBI ENA,SRX17564443,SAMN30841527
SP_10,SP 10 [VEN],genomic,SRR21562135 NCBI ENA,SRX17564444,SAMN30841528
T_5,T 5 [PER],genomic,SRR21562134 NCBI ENA,SRX17564445,SAMN30841529
T_bicolor_22347,T BICOLOR,genomic,SRR21562121 NCBI ENA,SRX17564458,SAMN30841568
T_grandiflora_2157,T GRANDIFLORA,genomic,SRR21562119 NCBI ENA,SRX17564460,SAMN30841570
T_speciosa_4713,T SPECIOSUM,genomic,SRR21562120 NCBI ENA,SRX17564459,SAMN30841569
TEO_2,TEO 2,genomic,SRR21562133 NCBI ENA,SRX17564446,SAMN30841530
TEO_3,TEO 3,genomic,SRR21562132 NCBI ENA,SRX17564447,SAMN30841531
Tiwi_35,Tiwi 35,genomic,SRR21562077 NCBI ENA,SRX17564502,SAMN30841532
Tiwi_36,Tiwi 36,genomic,SRR21562072 NCBI ENA,SRX17564507,SAMN30841533
Tiwi_4,Tiwi 4,genomic,SRR21562073 NCBI ENA,SRX17564506,SAMN30841534
Tiwi_52,Tiwi 52,genomic,SRR21562074 NCBI ENA,SRX17564505,SAMN30841535
Tiwi_57,Tiwi 57,genomic,SRR21562075 NCBI ENA,SRX17564504,SAMN30841536
Tiwi_58,Tiwi 58,genomic,SRR21562051 NCBI ENA,SRX17564528,SAMN30841537
Tiwi_59,Tiwi 59,genomic,SRR21562052 NCBI ENA,SRX17564527,SAMN30841538
Tiwi_61,Tiwi 61,genomic,SRR21562053 NCBI ENA,SRX17564526,SAMN30841539
Tiwi_66,Tiwi 66,genomic,SRR21562054 NCBI ENA,SRX17564525,SAMN30841540
Tiwi_67,Tiwi 67,genomic,SRR21562055 NCBI ENA,SRX17564524,SAMN30841541
Tiwi_70,Tiwi 70,genomic,SRR21562056 NCBI ENA,SRX17564523,SAMN30841542
Tiwi_71,Tiwi 71,genomic,SRR21562058 NCBI ENA,SRX17564521,SAMN30841543
Tiwi_73,Tiwi 73,genomic,SRR21562059 NCBI ENA,SRX17564520,SAMN30841544
Tiwi_74,Tiwi 74,genomic,SRR21562060 NCBI ENA,SRX17564519,SAMN30841545
Tiwi_75,Tiwi 75,genomic,SRR21562061 NCBI ENA,SRX17564518,SAMN30841546
Tiwi_76,Tiwi 76,genomic,SRR21562062 NCBI ENA,SRX17564517,SAMN30841547
VEN_20,VEN 20 [FRA],genomic,SRR21562063 NCBI ENA,SRX17564516,SAMN30841548
VEN_4,VEN 4 [FRA],genomic,SRR21562064 NCBI ENA,SRX17564515,SAMN30841549
WIN_1,WIN 1,genomic,SRR21562065 NCBI ENA,SRX17564514,SAMN30841550
WIN_2,WIN 2,genomic,SRR21562066 NCBI ENA,SRX17564513,SAMN30841551
Yacu_16,Yacu 16,genomic,SRR21562067 NCBI ENA,SRX17564512,SAMN30841552
Yacu_17,Yacu 17,genomic,SRR21562069 NCBI ENA,SRX17564510,SAMN30841553
YACU_19,Yacu 19,genomic,SRR21562070 NCBI ENA,SRX17564509,SAMN30841554
Yacu_3,Yacu 3,genomic,SRR21562071 NCBI ENA,SRX17564508,SAMN30841555
Yacu_5,Yacu 5,genomic,SRR21562050 NCBI ENA,SRX17564529,SAMN30841556
Yacu_9,Yacu 9,genomic,SRR21562131 NCBI ENA,SRX17564448,SAMN30841557
Zamo_1,Zamo 1,genomic,SRR21562112 NCBI ENA,SRX17564467,SAMN30841558
Zamo_11,Zamo 11,genomic,SRR21562111 NCBI ENA,SRX17564468,SAMN30841559
Zamo_12,Zamo 12,genomic,SRR21562130 NCBI ENA,SRX17564449,SAMN30841560
Zamo_14,Zamo 14,genomic,SRR21562129 NCBI ENA,SRX17564450,SAMN30841561
ZAMO_16,Zamo 16,genomic,SRR21562128 NCBI ENA,SRX17564451,SAMN30841562
ZAMO_3_19,Zamo 3 19,genomic,SRR21562126 NCBI ENA,SRX17564453,SAMN30841563
Zamo_4,Zamo 4,genomic,SRR21562125 NCBI ENA,SRX17564454,SAMN30841564
Zamo_6,Zamo 6,genomic,SRR21562124 NCBI ENA,SRX17564455,SAMN30841565
Zamo_8,Zamo 8,genomic,SRR21562123 NCBI ENA,SRX17564456,SAMN30841566
ZEA,ZEA,genomic,SRR21562122 NCBI ENA,SRX17564457,SAMN30841567
