Clone name,Basal constriction,Apex form,Rugosity,Furrow depth,Furrow desc,Husk thickness,Length,Breadth,Colour,Weight,Length breadth ratio,Info
EBC 148,slight,slightly acute,moderate,superficial,paired,16 mm,203.0,95.0,anthocyanin absent,750.0,2.13,expedition data
EBC 29,absent,slightly acute,smooth,superficial,paired,8 mm,120.0,62.0,anthocyanin absent,150.0,1.93,expedition data
EBC 30,slight,slightly acute,moderate,superficial,paired,12 mm,144.0,68.0,anthocyanin absent,215.0,2.11,expedition data
EBC 48,absent,slightly acute,smooth,superficial,paired,10 mm,147.0,66.0,anthocyanin absent,230.0,2.22,expedition data
EBC 49,slight,slightly acute,moderate,superficial,paired,11 mm,145.0,68.0,anthocyanin absent,-,2.13,expedition data
EBC 5,slight,slightly acute,smooth,superficial,paired,7 mm,122.0,60.0,anthocyanin absent,165.0,2.03,expedition data
EBC 56,absent,slightly acute,smooth,superficial,paired,10 mm,136.0,58.0,anthocyanin absent,-,2.34,expedition data
EBC 58,moderate,slightly acute,smooth,superficial,paired,8 mm,144.0,67.0,anthocyanin absent,185.0,2.14,expedition data
EBC 6,moderate,slightly acute,smooth,superficial,paired,9 mm,135.0,64.0,anthocyanin absent,170.0,2.10,expedition data
EBC 76,slight,slightly acute,moderate,intermediate,paired,20 mm,265.0,100.0,anthocyanin absent,1050.0,2.65,expedition data
EBC 77,slight,slightly acute,moderate,intermediate,paired,20 mm,247.0,84.0,anthocyanin absent,825.0,2.94,expedition data
EBC 78,moderate,attenuate,moderate,intermediate,paired,11 mm,175.0,62.0,anthocyanin absent,250.0,2.82,expedition data
EBC 79,slight,slightly acute,moderate,intermediate,paired,19 mm,238.0,90.0,anthocyanin absent,875.0,2.64,expedition data
EBC 8,slight,slightly acute,smooth,superficial,paired,9 mm,135.0,62.0,anthocyanin absent,-,2.17,expedition data
EBC 84,moderate,slightly acute,moderate,intermediate,paired,12 mm,180.0,77.0,anthocyanin absent,400.0,2.33,expedition data
EBC 85,slight,attenuate,smooth,superficial,paired,10 mm,171.0,67.0,anthocyanin absent,300.0,2.55,expedition data
EBC 86,slight,slightly acute,moderate,superficial,paired,7 mm,147.0,60.0,anthocyanin absent,185.0,2.45,expedition data
EBC 9,slight,slightly obtuse,smooth,superficial,paired,9 mm,124.0,67.0,anthocyanin absent,185.0,1.85,expedition data
EBC 91,moderate,slightly acute,smooth,superficial,paired,8 mm,104.0,58.0,anthocyanin absent,120.0,1.79,expedition data
LCT EEN 1,slight,slightly acute,intense,intermediate,paired,21 mm,181.0,85.0,anthocyanin absent,543.0,2.12,expedition data
LCT EEN 10,slight,slightly acute,intense,intermediate,paired,21 mm,149.0,87.0,anthocyanin absent,497.0,1.71,expedition data
LCT EEN 101,absent,slightly acute,intense,intermediate,paired,17 mm,140.0,85.0,anthocyanin absent,409.0,1.64,expedition data
LCT EEN 107,moderate,acute,intense,deep,paired,16 mm,218.0,85.0,anthocyanin absent,582.0,2.56,genebank data
LCT EEN 108,moderate,slightly acute,intense,deep,paired,20 mm,197.0,91.0,anthocyanin absent,700.0,2.16,genebank data
LCT EEN 109,absent,slightly acute,intense,intermediate,paired,13 mm,120.0,86.0,anthocyanin absent,282.0,1.39,expedition data
LCT EEN 11,absent,slightly acute,intense,intermediate,paired,16 mm,116.0,79.0,anthocyanin absent,298.0,1.46,expedition data
LCT EEN 113,absent,slightly obtuse,moderate,intermediate,paired,35 mm,150.0,118.0,anthocyanin absent,968.0,1.27,expedition data
LCT EEN 115,absent,slightly acute,moderate,superficial,paired,18 mm,185.0,99.0,anthocyanin absent,-,1.86,expedition data
LCT EEN 123,slight,slightly acute,moderate,intermediate,paired,18 mm,180.0,84.0,anthocyanin absent,510.0,2.14,genebank data
LCT EEN 125,absent,slightly acute,moderate,intermediate,paired,29 mm,220.0,127.0,anthocyanin absent,1215.0,1.73,genebank data
LCT EEN 127,absent,slightly acute,moderate,intermediate,paired,22 mm,190.0,108.0,anthocyanin absent,828.0,1.75,expedition data
LCT EEN 128,absent,slightly acute,moderate,superficial,paired,17 mm,110.0,90.0,anthocyanin absent,310.0,1.22,expedition data
LCT EEN 129,absent,slightly acute,intense,intermediate,paired,20 mm,140.0,98.0,anthocyanin absent,424.0,1.42,expedition data
LCT EEN 130,slight,slightly acute,moderate,intermediate,paired,20 mm,180.0,108.0,anthocyanin absent,668.0,1.66,expedition data
LCT EEN 131,absent,slightly acute,intense,intermediate,paired,22 mm,150.0,98.0,anthocyanin absent,500.0,1.53,expedition data
LCT EEN 132,moderate,attenuate,intense,intermediate,paired,19 mm,180.0,107.0,anthocyanin absent,686.0,1.68,expedition data
LCT EEN 133,absent,rounded,intense,deep,paired,18 mm,192.0,106.0,anthocyanin absent,867.0,1.81,genebank data
LCT EEN 134,absent,attenuate,intense,intermediate,paired,14 mm,155.0,91.0,anthocyanin absent,356.0,1.70,expedition data
LCT EEN 136,absent,slightly obtuse,intense,intermediate,paired,24 mm,168.0,106.0,anthocyanin absent,895.0,1.58,expedition data
LCT EEN 14,absent,slightly obtuse,intense,intermediate,paired,18 mm,108.0,100.0,anthocyanin absent,412.0,1.08,expedition data
LCT EEN 142,absent,slightly obtuse,moderate,intermediate,paired,18 mm,143.0,100.0,anthocyanin absent,431.0,1.43,expedition data
LCT EEN 145,absent,attenuate,intense,intermediate,paired,15 mm,185.0,92.0,anthocyanin absent,549.0,2.01,expedition data
LCT EEN 148,absent,slightly acute,moderate,intermediate,paired,12 mm,125.0,76.0,anthocyanin absent,269.0,1.64,genebank data
LCT EEN 15,slight,slightly acute,intense,intermediate,paired,16 mm,136.0,87.0,anthocyanin absent,420.0,1.56,expedition data
LCT EEN 151,slight,slightly acute,intense,intermediate,paired,13 mm,177.0,97.0,anthocyanin absent,479.0,1.82,genebank data
LCT EEN 152,absent,slightly obtuse,smooth,superficial,paired,17 mm,139.0,92.0,anthocyanin absent,547.0,1.51,genebank data
LCT EEN 154,slight,slightly acute,moderate,intermediate,paired,14 mm,160.0,89.0,anthocyanin absent,563.0,1.79,genebank data
LCT EEN 156,slight,attenuate,intense,deep,paired,19 mm,195.0,91.0,anthocyanin absent,714.0,2.14,genebank data
LCT EEN 157,absent,slightly acute,moderate,superficial,paired,15 mm,165.0,105.0,anthocyanin absent,648.0,1.57,genebank data
LCT EEN 158,absent,slightly acute,intense,deep,paired,24 mm,216.0,113.0,anthocyanin absent,1041.0,1.91,genebank data
LCT EEN 159,absent,slightly acute,moderate,intermediate,paired,19 mm,105.0,88.0,anthocyanin absent,413.0,1.19,expedition data
LCT EEN 160,absent,slightly acute,intense,deep,paired,25 mm,210.0,122.0,anthocyanin absent,1369.0,1.72,expedition data
LCT EEN 162,slight,slightly acute,intense,intermediate,paired,17 mm,150.0,94.0,anthocyanin absent,552.0,1.59,expedition data
LCT EEN 163,absent,slightly acute,moderate,intermediate,paired,18 mm,155.0,90.0,anthocyanin absent,557.0,1.72,genebank data
LCT EEN 166,absent,slightly acute,moderate,intermediate,paired,22 mm,189.0,118.0,anthocyanin absent,1008.0,1.60,genebank data
LCT EEN 169,absent,slightly acute,intense,deep,paired,20 mm,208.0,128.0,anthocyanin absent,1437.0,1.62,genebank data
LCT EEN 175,moderate,attenuate,intense,deep,paired,17 mm,170.0,93.0,anthocyanin absent,521.0,1.82,genebank data
LCT EEN 178,absent,slightly acute,moderate,intermediate,paired,14 mm,149.0,87.0,anthocyanin absent,431.0,1.71,genebank data
LCT EEN 179,absent,slightly acute,intense,intermediate,paired,18 mm,195.0,99.0,anthocyanin absent,726.0,1.96,genebank data
LCT EEN 18,absent,slightly acute,intense,intermediate,paired,16 mm,155.0,80.0,anthocyanin absent,431.0,1.93,expedition data
LCT EEN 181,absent,slightly obtuse,smooth,intermediate,paired,16 mm,190.0,100.0,anthocyanin absent,270.0,1.90,genebank data
LCT EEN 182,slight,attenuate,intense,intermediate,paired,15 mm,156.0,81.0,anthocyanin absent,360.0,1.92,expedition data
LCT EEN 185,moderate,slightly acute,moderate,intermediate,paired,12 mm,207.0,83.0,anthocyanin absent,547.0,2.49,genebank data
LCT EEN 188,slight,slightly acute,moderate,intermediate,paired,11 mm,145.0,74.0,anthocyanin absent,354.0,1.95,genebank data
LCT EEN 189,moderate,attenuate,moderate,intermediate,paired,13 mm,177.0,68.0,anthocyanin absent,318.0,2.60,genebank data
LCT EEN 19,absent,slightly obtuse,intense,intermediate,paired,20 mm,205.0,110.0,anthocyanin absent,981.0,1.86,expedition data
LCT EEN 194,absent,attenuate,moderate,superficial,paired,-,126.0,72.0,anthocyanin absent,-,1.75,expedition data
LCT EEN 196,slight,slightly acute,slight,intermediate,un-paired,14 mm,142.0,68.0,anthocyanin absent,316.0,2.08,expedition data
LCT EEN 197,absent,attenuate,smooth,superficial,un-paired,6 mm,76.0,46.0,moderate anthocyanin,57.0,1.65,expedition data
LCT EEN 199,slight,attenuate,smooth,superficial,un-paired,8 mm,150.0,67.0,slight anthocyanin,240.0,2.23,expedition data
LCT EEN 20,slight,slightly acute,intense,intermediate,paired,17 mm,158.0,84.0,anthocyanin absent,459.0,1.88,expedition data
LCT EEN 201,slight,slightly acute,intense,intermediate,paired,19 mm,180.0,97.0,anthocyanin absent,688.0,1.85,expedition data
LCT EEN 202,slight,slightly acute,intense,intermediate,paired,18 mm,185.0,115.0,anthocyanin absent,812.0,1.60,expedition data
LCT EEN 203,absent,slightly obtuse,intense,intermediate,paired,17 mm,110.0,92.0,anthocyanin absent,432.0,1.19,expedition data
LCT EEN 205,absent,slightly acute,intense,intermediate,paired,20 mm,145.0,96.0,anthocyanin absent,497.0,1.51,expedition data
LCT EEN 212,slight,slightly acute,smooth,intermediate,-,-,-,-,slight anthocyanin,-,-,expedition data
LCT EEN 213,absent,slightly acute,moderate,deep,-,-,-,-,anthocyanin absent,-,-,expedition data
LCT EEN 214,slight,slightly acute,intense,deep,-,-,-,-,anthocyanin absent,-,-,expedition data
LCT EEN 215,slight,slightly acute,smooth,superficial,-,-,-,-,slight anthocyanin,-,-,expedition data
LCT EEN 218,absent,acute,moderate,intermediate,paired,16 mm,184.0,105.0,anthocyanin absent,752.0,1.75,genebank data
LCT EEN 219,slight,slightly acute,intense,deep,paired,22 mm,174.0,109.0,anthocyanin absent,730.0,1.59,genebank data
LCT EEN 22,absent,slightly acute,intense,deep,paired,21 mm,178.0,95.0,anthocyanin absent,661.0,1.87,expedition data
LCT EEN 220,absent,attenuate,intense,intermediate,paired,18 mm,178.0,85.0,anthocyanin absent,587.0,2.09,expedition data
LCT EEN 223,slight,slightly acute,moderate,intermediate,-,15 mm,170.0,92.0,anthocyanin absent,548.0,1.84,genebank data
LCT EEN 23,slight,slightly obtuse,moderate,deep,paired,18 mm,190.0,96.0,anthocyanin absent,788.0,1.97,expedition data
LCT EEN 237,slight,slightly acute,intense,intermediate,paired,25 mm,215.0,112.0,anthocyanin absent,974.0,1.91,genebank data
LCT EEN 24,absent,slightly obtuse,moderate,deep,paired,22 mm,170.0,95.0,anthocyanin absent,550.0,1.78,expedition data
LCT EEN 241,absent,slightly acute,intense,deep,paired,19 mm,180.0,104.0,anthocyanin absent,782.0,1.73,genebank data
LCT EEN 242,absent,attenuate,moderate,intermediate,paired,16 mm,170.0,93.0,anthocyanin absent,597.0,1.82,expedition data
LCT EEN 243,absent,slightly acute,smooth,intermediate,paired,20 mm,110.0,84.0,anthocyanin absent,334.0,1.30,expedition data
LCT EEN 244,slight,attenuate,intense,intermediate,paired,21 mm,205.0,110.0,anthocyanin absent,689.0,1.86,expedition data
LCT EEN 245,absent,slightly acute,intense,deep,paired,-,193.0,-,anthocyanin absent,932.0,-,expedition data
LCT EEN 246,slight,slightly acute,intense,deep,paired,20 mm,165.0,89.0,anthocyanin absent,461.0,1.85,expedition data
LCT EEN 248,absent,slightly acute,moderate,deep,paired,25 mm,180.0,107.0,anthocyanin absent,847.0,1.68,expedition data
LCT EEN 249,absent,acute,intense,deep,paired,14 mm,235.0,88.0,anthocyanin absent,970.0,2.67,genebank data
LCT EEN 25,absent,slightly acute,intense,intermediate,paired,25 mm,161.0,101.0,anthocyanin absent,705.0,1.59,expedition data
LCT EEN 250,absent,slightly acute,moderate,intermediate,paired,19 mm,165.0,108.0,anthocyanin absent,802.0,1.52,genebank data
LCT EEN 251,slight,slightly acute,moderate,intermediate,paired,20 mm,182.0,107.0,anthocyanin absent,904.0,1.70,genebank data
LCT EEN 252,absent,slightly acute,moderate,deep,paired,24 mm,215.0,108.0,anthocyanin absent,986.0,1.99,genebank data
LCT EEN 254,absent,slightly acute,moderate,deep,paired,14 mm,165.0,92.0,anthocyanin absent,441.0,1.79,genebank data
LCT EEN 257,moderate,attenuate,moderate,intermediate,paired,19 mm,230.0,95.0,anthocyanin absent,873.0,2.42,genebank data
LCT EEN 258,absent,slightly acute,moderate,deep,paired,22 mm,222.0,103.0,anthocyanin absent,937.0,2.15,genebank data
LCT EEN 26,absent,slightly acute,moderate,intermediate,paired,17 mm,180.0,103.0,anthocyanin absent,713.0,1.74,expedition data
LCT EEN 269,absent,slightly acute,moderate,intermediate,paired,16 mm,148.0,92.0,anthocyanin absent,527.0,1.60,genebank data
LCT EEN 27,slight,slightly acute,smooth,superficial,paired,14 mm,151.0,74.0,moderate anthocyanin,364.0,2.04,expedition data
LCT EEN 271,absent,slightly acute,moderate,intermediate,paired,22 mm,183.0,112.0,anthocyanin absent,863.0,1.63,expedition data
LCT EEN 28,slight,slightly acute,moderate,intermediate,paired,22 mm,160.0,88.0,anthocyanin absent,525.0,1.81,expedition data
LCT EEN 280,absent,slightly acute,moderate,intermediate,paired,16 mm,178.0,95.0,anthocyanin absent,675.0,1.87,genebank data
LCT EEN 281,slight,slightly acute,intense,deep,paired,16 mm,174.0,89.0,anthocyanin absent,489.0,1.95,genebank data
LCT EEN 283,absent,slightly acute,intense,intermediate,paired,17 mm,175.0,104.0,anthocyanin absent,477.0,1.68,expedition data
LCT EEN 29,absent,slightly obtuse,intense,intermediate,paired,22 mm,120.0,96.0,anthocyanin absent,542.0,1.25,expedition data
LCT EEN 295,slight,attenuate,moderate,intermediate,paired,13 mm,173.0,79.0,anthocyanin absent,352.0,2.18,expedition data
LCT EEN 296,slight,slightly acute,moderate,intermediate,paired,11 mm,165.0,88.0,anthocyanin absent,398.0,1.87,expedition data
LCT EEN 300,absent,attenuate,smooth,superficial,paired,15 mm,180.0,97.0,anthocyanin absent,497.0,1.85,expedition data
LCT EEN 302,absent,attenuate,intense,intermediate,paired,12 mm,175.0,92.0,anthocyanin absent,400.0,1.90,expedition data
LCT EEN 306,absent,slightly obtuse,moderate,intermediate,paired,13 mm,143.0,88.0,anthocyanin absent,506.0,1.62,expedition data
LCT EEN 31,slight,slightly acute,moderate,intermediate,paired,21 mm,215.0,107.0,anthocyanin absent,988.0,2.00,genebank data
LCT EEN 313,absent,slightly acute,moderate,intermediate,paired,22 mm,165.0,98.0,anthocyanin absent,585.0,1.68,expedition data
LCT EEN 320,absent,slightly acute,moderate,intermediate,paired,16 mm,155.0,85.0,anthocyanin absent,448.0,1.82,expedition data
LCT EEN 321,slight,attenuate,moderate,intermediate,un-paired,15 mm,185.0,96.0,anthocyanin absent,527.0,1.92,expedition data
LCT EEN 322,slight,slightly acute,moderate,intermediate,paired,16 mm,173.0,90.0,anthocyanin absent,505.0,1.92,expedition data
LCT EEN 323,moderate,slightly acute,moderate,intermediate,paired,19 mm,218.0,97.0,anthocyanin absent,697.0,2.24,expedition data
LCT EEN 324,slight,slightly acute,moderate,intermediate,paired,16 mm,159.0,83.0,anthocyanin absent,395.0,1.91,expedition data
LCT EEN 325,absent,attenuate,moderate,intermediate,paired,18 mm,208.0,87.0,anthocyanin absent,541.0,2.39,expedition data
LCT EEN 326,absent,slightly obtuse,moderate,intermediate,paired,25 mm,223.0,123.0,slight anthocyanin,1182.0,1.81,expedition data
LCT EEN 328,absent,slightly acute,moderate,intermediate,paired,14 mm,162.0,97.0,anthocyanin absent,527.0,1.67,expedition data
LCT EEN 329,slight,attenuate,moderate,intermediate,paired,14 mm,145.0,87.0,anthocyanin absent,346.0,1.66,expedition data
LCT EEN 330,absent,slightly acute,moderate,intermediate,paired,13 mm,135.0,78.0,anthocyanin absent,280.0,1.73,expedition data
LCT EEN 331,slight,slightly acute,moderate,deep,paired,15 mm,126.0,75.0,anthocyanin absent,315.0,1.68,expedition data
LCT EEN 332,absent,slightly obtuse,moderate,intermediate,paired,18 mm,170.0,95.0,anthocyanin absent,645.0,1.78,expedition data
LCT EEN 335,absent,slightly acute,moderate,superficial,paired,11 mm,165.0,86.0,anthocyanin absent,407.0,1.91,expedition data
LCT EEN 336,-,-,-,-,-,-,-,-,-,-,-,expedition data
LCT EEN 336,absent,slightly acute,moderate,intermediate,paired,15 mm,130.0,88.0,anthocyanin absent,355.0,1.47,expedition data
LCT EEN 337,absent,slightly acute,intense,intermediate,paired,19 mm,210.0,106.0,anthocyanin absent,830.0,1.98,expedition data
LCT EEN 338,absent,slightly acute,moderate,intermediate,paired,15 mm,155.0,90.0,anthocyanin absent,505.0,1.72,expedition data
LCT EEN 339,slight,attenuate,moderate,intermediate,paired,17 mm,190.0,99.0,anthocyanin absent,656.0,1.91,expedition data
LCT EEN 340,absent,attenuate,moderate,intermediate,paired,11 mm,145.0,86.0,anthocyanin absent,328.0,1.68,expedition data
LCT EEN 341,absent,attenuate,moderate,superficial,paired,10 mm,148.0,77.0,anthocyanin absent,296.0,1.92,expedition data
LCT EEN 342,absent,slightly obtuse,moderate,intermediate,paired,20 mm,160.0,90.0,anthocyanin absent,486.0,1.77,expedition data
LCT EEN 343,absent,attenuate,moderate,intermediate,paired,10 mm,155.0,76.0,anthocyanin absent,313.0,2.03,expedition data
LCT EEN 344,absent,slightly acute,moderate,intermediate,paired,18 mm,170.0,97.0,anthocyanin absent,535.0,1.75,expedition data
LCT EEN 345,slight,attenuate,moderate,intermediate,paired,10 mm,165.0,73.0,anthocyanin absent,279.0,2.26,expedition data
LCT EEN 346,absent,attenuate,moderate,superficial,paired,10 mm,152.0,88.0,anthocyanin absent,368.0,1.72,expedition data
LCT EEN 347,slight,slightly acute,moderate,intermediate,paired,12 mm,132.0,81.0,anthocyanin absent,253.0,1.62,expedition data
LCT EEN 348,absent,slightly acute,moderate,intermediate,paired,17 mm,135.0,86.0,anthocyanin absent,349.0,1.56,expedition data
LCT EEN 349,absent,slightly acute,smooth,intermediate,paired,16 mm,150.0,89.0,anthocyanin absent,397.0,1.68,expedition data
LCT EEN 350,absent,attenuate,intense,intermediate,paired,16 mm,172.0,87.0,anthocyanin absent,353.0,1.97,expedition data
LCT EEN 351,slight,slightly acute,moderate,intermediate,paired,11 mm,135.0,88.0,anthocyanin absent,343.0,1.53,expedition data
LCT EEN 352,absent,attenuate,moderate,intermediate,paired,10 mm,180.0,88.0,anthocyanin absent,438.0,2.04,expedition data
LCT EEN 353,slight,slightly obtuse,intense,deep,paired,18 mm,140.0,90.0,anthocyanin absent,383.0,1.55,expedition data
LCT EEN 354,absent,slightly acute,moderate,superficial,paired,14 mm,145.0,91.0,anthocyanin absent,404.0,1.59,expedition data
LCT EEN 355,absent,attenuate,moderate,intermediate,paired,19 mm,205.0,106.0,anthocyanin absent,802.0,1.93,expedition data
LCT EEN 357,absent,slightly acute,moderate,intermediate,paired,18 mm,175.0,109.0,anthocyanin absent,725.0,1.60,expedition data
LCT EEN 358,absent,attenuate,intense,intermediate,paired,14 mm,152.0,88.0,anthocyanin absent,373.0,1.72,expedition data
LCT EEN 359,slight,slightly acute,moderate,intermediate,paired,18 mm,148.0,99.0,anthocyanin absent,464.0,1.49,expedition data
LCT EEN 36,absent,slightly acute,intense,deep,paired,18 mm,160.0,91.0,anthocyanin absent,571.0,1.75,genebank data
LCT EEN 360,slight,slightly acute,moderate,intermediate,paired,11 mm,168.0,82.0,anthocyanin absent,357.0,2.04,expedition data
LCT EEN 361,absent,attenuate,intense,intermediate,paired,16 mm,150.0,92.0,anthocyanin absent,365.0,1.63,expedition data
LCT EEN 362,moderate,slightly acute,moderate,intermediate,paired,9 mm,125.0,66.0,anthocyanin absent,200.0,1.89,genebank data
LCT EEN 364,moderate,slightly acute,moderate,intermediate,paired,9 mm,122.0,58.0,anthocyanin absent,165.0,2.10,genebank data
LCT EEN 367,moderate,slightly acute,moderate,intermediate,paired,11 mm,139.0,61.0,anthocyanin absent,314.0,2.27,genebank data
LCT EEN 369,moderate,rounded,moderate,intermediate,paired,9 mm,141.0,68.0,anthocyanin absent,278.0,2.07,genebank data
LCT EEN 37,absent,slightly obtuse,intense,deep,paired,26 mm,220.0,121.0,anthocyanin absent,1325.0,1.81,genebank data
LCT EEN 371,slight,acute,moderate,intermediate,paired,14 mm,137.0,58.0,anthocyanin absent,325.0,2.36,genebank data
LCT EEN 372,slight,slightly acute,moderate,intermediate,paired,18 mm,180.0,110.0,anthocyanin absent,752.0,1.63,expedition data
LCT EEN 38,moderate,slightly acute,moderate,intermediate,paired,27 mm,260.0,120.0,anthocyanin absent,1450.0,2.16,genebank data
LCT EEN 39,slight,slightly obtuse,moderate,intermediate,paired,15 mm,147.0,78.0,anthocyanin absent,435.0,1.88,expedition data
LCT EEN 391,moderate,slightly obtuse,moderate,intermediate,paired,19 mm,110.0,85.0,anthocyanin absent,309.0,1.29,expedition data
LCT EEN 393,slight,slightly acute,moderate,intermediate,paired,16 mm,154.0,97.0,anthocyanin absent,516.0,1.58,expedition data
LCT EEN 4,moderate,slightly obtuse,moderate,intermediate,paired,16 mm,163.0,81.0,anthocyanin absent,482.0,2.01,expedition data
LCT EEN 404,slight,attenuate,intense,deep,paired,15 mm,160.0,75.0,anthocyanin absent,311.0,2.13,expedition data
LCT EEN 404,slight,slightly acute,moderate,intermediate,paired,11 mm,150.0,72.0,anthocyanin absent,302.0,2.08,expedition data
LCT EEN 405,slight,slightly acute,moderate,intermediate,paired,14 mm,150.0,65.0,anthocyanin absent,264.0,2.30,expedition data
LCT EEN 408,slight,slightly acute,smooth,superficial,-,11 mm,140.0,65.0,anthocyanin absent,-,2.15,expedition data
LCT EEN 418,-,-,-,-,-,-,-,-,-,-,-,expedition data
LCT EEN 424,absent,attenuate,intense,deep,paired,24 mm,255.0,125.0,anthocyanin absent,1385.0,2.04,expedition data
LCT EEN 430,absent,slightly acute,moderate,intermediate,paired,20 mm,215.0,104.0,anthocyanin absent,883.0,2.06,expedition data
LCT EEN 44,absent,slightly acute,moderate,intermediate,paired,22 mm,150.0,89.0,anthocyanin absent,453.0,1.68,expedition data
LCT EEN 46,slight,attenuate,intense,deep,paired,17 mm,176.0,84.0,anthocyanin absent,348.0,2.09,genebank data
LCT EEN 48,absent,slightly acute,moderate,intermediate,paired,22 mm,163.0,96.0,anthocyanin absent,632.0,1.69,expedition data
LCT EEN 5,slight,slightly acute,intense,deep,paired,18 mm,168.0,99.0,anthocyanin absent,625.0,1.69,expedition data
LCT EEN 58,absent,slightly obtuse,smooth,intermediate,paired,20 mm,135.0,91.0,anthocyanin absent,451.0,1.48,expedition data
LCT EEN 59,absent,attenuate,intense,deep,paired,34 mm,210.0,112.0,anthocyanin absent,1315.0,1.87,expedition data
LCT EEN 6,absent,slightly acute,intense,intermediate,paired,22 mm,163.0,105.0,anthocyanin absent,710.0,1.55,expedition data
LCT EEN 60,absent,attenuate,intense,intermediate,paired,21 mm,190.0,110.0,anthocyanin absent,937.0,1.72,genebank data
LCT EEN 61,absent,slightly acute,moderate,intermediate,paired,21 mm,183.0,90.0,anthocyanin absent,683.0,2.03,expedition data
LCT EEN 62,moderate,slightly acute,moderate,superficial,paired,4 mm,118.0,63.0,moderate anthocyanin,140.0,1.87,expedition data
LCT EEN 64,absent,slightly obtuse,intense,intermediate,paired,20 mm,130.0,83.0,anthocyanin absent,501.0,1.56,expedition data
LCT EEN 65,absent,slightly acute,intense,deep,paired,20 mm,145.0,100.0,anthocyanin absent,640.0,1.45,expedition data
LCT EEN 67,absent,slightly acute,moderate,intermediate,paired,15 mm,138.0,83.0,moderate anthocyanin,450.0,1.66,expedition data
LCT EEN 68,absent,slightly acute,moderate,intermediate,paired,18 mm,147.0,87.0,anthocyanin absent,435.0,1.68,expedition data
LCT EEN 69,absent,slightly acute,moderate,intermediate,paired,28 mm,158.0,102.0,anthocyanin absent,590.0,1.54,expedition data
LCT EEN 70,slight,slightly acute,moderate,superficial,paired,20 mm,153.0,87.0,anthocyanin absent,530.0,1.75,expedition data
LCT EEN 71,absent,slightly acute,moderate,intermediate,paired,20 mm,143.0,82.0,anthocyanin absent,412.0,1.74,expedition data
LCT EEN 72,absent,slightly obtuse,moderate,intermediate,paired,19 mm,188.0,102.0,anthocyanin absent,725.0,1.84,expedition data
LCT EEN 73,absent,slightly acute,moderate,intermediate,paired,19 mm,165.0,99.0,anthocyanin absent,704.0,1.66,genebank data
LCT EEN 74,absent,slightly obtuse,moderate,intermediate,paired,15 mm,130.0,102.0,anthocyanin absent,354.0,1.27,expedition data
LCT EEN 76,absent,slightly obtuse,moderate,intermediate,paired,17 mm,160.0,88.0,anthocyanin absent,492.0,1.81,expedition data
LCT EEN 77,absent,slightly acute,moderate,intermediate,paired,19 mm,165.0,97.0,anthocyanin absent,670.0,1.70,expedition data
LCT EEN 78,absent,slightly acute,smooth,intermediate,paired,28 mm,160.0,100.0,slight anthocyanin,745.0,1.60,expedition data
LCT EEN 79,slight,slightly acute,moderate,intermediate,paired,20 mm,167.0,86.0,anthocyanin absent,543.0,1.94,expedition data
LCT EEN 8,absent,slightly acute,moderate,intermediate,paired,25 mm,170.0,103.0,anthocyanin absent,771.0,1.65,expedition data
LCT EEN 80,absent,slightly acute,intense,deep,paired,25 mm,240.0,95.0,anthocyanin absent,928.0,2.52,genebank data
LCT EEN 81,absent,slightly acute,intense,deep,paired,21 mm,195.0,87.0,anthocyanin absent,762.0,2.24,genebank data
