Clone name,Basal constriction,Apex form,Rugosity,Furrow depth,Husk thickness,Length,Breadth,Colour,Weight,Pods per tree,Hardness,Length breadth ratio,Info,Notes
CAR 1,slight,slightly acute - acute,slight,superficial,-,-,-,moderate - high / negligible - slight anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10107
CAS 1,moderate,obtuse - slightly acute,very slight,imperceptible,8.1 mm (9.7 - 6.5),159.0,86.0,absent anthocyanin,494.0,2,hard,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.96,Accession TUR10108
CAS 3,moderate,slightly acute,smooth - very slight,imperceptible,8.05 mm (9.6 - 6.5),164.0,85.0,absent anthocyanin,499.0,6,hard,1.92,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.88,Accession TUR10109
CATONGO,very slight,obtuse,very slight,superficial,9.8 mm (11.3 - 8.3),142.0,95.0,absent anthocyanin,560.0,-,hard,1.49,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.88,Accession TUR10114
CATONGO,very slight,slightly obtuse,smooth,superficial,10.05 mm (11.7 - 8.4),136.0,88.0,absent anthocyanin,501.0,5,hard,1.54,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10113
CATONGO,absent,slightly obtuse,slight,superficial,9.35 mm (10.8 - 7.9),130.0,91.0,absent anthocyanin,524.0,3,hard,1.42,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.92,Accession TUR10125
CATONGO,very slight,obtuse,very slight,imperceptible,10.35 mm (11.8 - 8.9),147.0,97.0,absent anthocyanin,615.0,-,hard,1.51,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.98,Accession TUR10128
CATONGO,very slight,obtuse,smooth - very slight,imperceptible,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10129
CC 10,slight,slightly acute,slight,superficial,10.05 mm (11.7 - 8.4),174.0,83.0,absent anthocyanin,524.0,3,moderate,2.09,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.60,Accession TUR10133
CC 100,moderate,slightly acute,intense,superficial - intermediate,8.8 mm (11.5 - 6.1),168.0,86.0,absent anthocyanin,541.0,5,soft,1.95,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.63,Accession TUR10165
CC 102,absent,obtuse,slight,imperceptible,13.5 mm (15.5 - 11.5),172.0,98.0,absent anthocyanin,845.0,2,soft,1.75,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.61,Accession TUR10166
CC 103,absent,obtuse - slightly acute,slight,imperceptible - superficial,-,176.0,96.0,absent anthocyanin,804.0,2,soft,1.83,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.66,Accession TUR10167
CC 106,moderate - slight,slightly acute,smooth - very slight,superficial,9.35 mm (10.9 - 7.8),157.0,86.0,absent anthocyanin,570.0,6,-,1.82,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.60,Accession TUR10168
CC 107,absent,slightly obtuse,slight,superficial,8.95 mm (10.8 - 7.1),139.0,88.0,absent anthocyanin,487.0,6,soft,1.57,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.64,Accession TUR10169
CC 120,moderate,acute,moderate,deep,8.9 mm (11.6 - 6.2),178.0,86.0,absent anthocyanin,584.0,5,soft,2.06,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.72,Accession TUR10170
CC 121,moderate - slight,obtuse,slight,intermediate,8.6 mm (10.8 - 6.4),147.0,86.0,absent anthocyanin,478.0,8,soft,1.70,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10171
CC 124,moderate - slight,slightly acute,moderate,superficial,-,-,-,negligible / absent anthocyanin (ridge/furrow),-,2,-,-,-,Accession TUR10194
CC 124,slight,obtuse,very slight,imperceptible - superficial,-,-,-,high / moderate anthocyanin (ridge/furrow),-,2,-,-,-,Accession TUR10173
CC 124,slight,slightly obtuse,slight,superficial,11.75 mm (13.8 - 9.7),151.0,93.0,high - intense / absent anthocyanin (ridge/furrow),607.0,5,soft,1.62,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10172
CC 132,strong,acute,moderate,superficial,10.35 mm (12.3 - 8.4),196.0,85.0,absent anthocyanin,648.0,5,soft,2.30,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.47,Accession TUR10175
CC 137,moderate - slight,obtuse,slight,imperceptible - superficial,9.15 mm (10.4 - 7.9),148.0,83.0,absent anthocyanin,509.0,6,soft,1.78,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10177
CC 138,very slight,obtuse,slight,imperceptible - superficial,8.95 mm (10.4 - 7.5),152.0,85.0,absent anthocyanin,502.0,3,soft,1.78,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.51,Accession TUR10178
CC 139,slight,acute,moderate,intermediate - deep,9.3 mm (11.5 - 7.1),163.0,82.0,absent anthocyanin,505.0,5,moderate,1.98,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.59,Accession TUR10179
CC 143,moderate - slight,slightly acute,very slight,superficial,10.25 mm (12.3 - 8.2),157.0,85.0,absent anthocyanin,513.0,4,soft,1.84,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10180
CC 144,slight,obtuse,slight,superficial,9.05 mm (11 - 7.1),143.0,87.0,absent anthocyanin,505.0,5,soft,1.64,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.66,Accession TUR10181
CC 152,slight,obtuse,moderate,superficial,9.7 mm (12 - 7.4),180.0,85.0,absent anthocyanin,645.0,5,soft,2.11,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.64,Accession TUR10182
CC 158,slight,obtuse - slightly acute,moderate,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10183
CC 169,moderate,obtuse,intense,superficial,9.5 mm (11.5 - 7.5),172.0,83.0,absent anthocyanin,501.0,5,soft,2.07,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10184
CC 17,slight,slightly acute,slight,intermediate,10 mm (11.8 - 8.2),180.0,84.0,absent anthocyanin,584.0,3,moderate,2.14,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10134
CC 173,moderate,slightly acute,slight,superficial - intermediate,13.25 mm (15.5 - 11),183.0,90.0,absent anthocyanin,661.0,4,soft,2.03,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10185
CC 18,absent,slightly acute,moderate,imperceptible - superficial,10.1 mm (12.1 - 8.1),175.0,85.0,absent anthocyanin,575.0,5,soft,2.05,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.61,Accession TUR10135
CC 182,slight,obtuse - slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR12874
CC 210,very slight,slightly acute,very slight,superficial,-,-,-,negligible / absent anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10187
CC 210,very slight,slightly acute - acute,slight,imperceptible - superficial,9.9 mm (12.3 - 7.5),166.0,81.0,absent anthocyanin,449.0,6,soft,2.04,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.54,Accession TUR10186
CC 211,very slight,slightly acute - acute,-,intermediate,8.25 mm (10.4 - 6.1),187.0,75.0,absent anthocyanin,473.0,5,moderate,2.49,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10189
CC 211,very slight,slightly acute - acute,-,superficial - intermediate,8.9 mm (11.1 - 6.7),193.0,83.0,absent anthocyanin,549.0,4,moderate,2.32,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.80,Accession TUR10188
CC 212,very slight,acute,moderate,superficial,7.1 mm (9.1 - 5.1),150.0,75.0,absent anthocyanin,347.0,7,moderate,2.00,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.49,Accession TUR10190
CC 212,very slight,obtuse,moderate,superficial,8 mm (10.2 - 5.8),156.0,78.0,absent anthocyanin,402.0,2,moderate,2.00,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.76,Accession TUR10191
CC 213,moderate - slight,obtuse - slightly acute,moderate - intense,superficial - intermediate,7.85 mm (10 - 5.7),157.0,76.0,absent anthocyanin,366.0,3,moderate,2.06,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.80,Accession TUR10192
CC 213,moderate - slight,slightly acute - acute,slight - moderate,imperceptible - superficial,8.95 mm (10.8 - 7.1),184.0,78.0,absent anthocyanin,528.0,4,moderate,2.35,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.62,Accession TUR10193
CC 215,moderate,slightly acute,moderate,-,8.9 mm (11.3 - 6.5),177.0,78.0,absent anthocyanin,447.0,7,soft,2.26,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10195
CC 220,-,-,-,-,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10197
CC 222,very slight,slightly acute,slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,3,-,-,-,Accession TUR10199
CC 223,absent,slightly acute - acute,-,superficial - intermediate,-,-,-,slight - moderate / negligible anthocyanin (ridge/furrow),-,2,-,-,-,Accession TUR10200
CC 224,very slight,acute,moderate,intermediate,9.9 mm (12.3 - 7.5),166.0,80.0,absent anthocyanin,430.0,3,very soft,2.07,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.76,Accession TUR10201
CC 225,absent,slightly acute,very slight,superficial,9.75 mm (11.8 - 7.7),190.0,77.0,absent anthocyanin,424.0,5,hard,2.46,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10202
CC 226,moderate - slight,slightly acute,moderate,intermediate,10.7 mm (13.9 - 7.5),198.0,80.0,absent anthocyanin,566.0,5,moderate,2.47,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.84,Accession TUR10203
CC 228,very slight,slightly acute,slight,intermediate,9.95 mm (12.8 - 7.1),175.0,83.0,absent anthocyanin,487.0,5,moderate,2.10,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.77,Accession TUR10204
CC 231,very slight,slightly acute - acute,very slight,intermediate - deep,9.7 mm (12.2 - 7.2),180.0,85.0,absent anthocyanin,519.0,3,hard,2.11,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.85,Accession TUR10205
CC 232,moderate - slight,slightly acute,very slight,imperceptible - superficial,11.1 mm (13.1 - 9.1),169.0,87.0,absent anthocyanin,583.0,6,hard,1.94,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.59,Accession TUR10206
CC 234,slight,slightly acute - acute,intense,intermediate,9.45 mm (12.9 - 6),202.0,90.0,absent anthocyanin,654.0,3,moderate,2.24,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.75,Accession TUR10207
CC 235,moderate - slight,acute - attenuate,very slight,superficial,9.75 mm (11.7 - 7.8),199.0,77.0,high / moderate anthocyanin (ridge/furrow),491.0,5,soft,2.58,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10208
CC 236,very slight,slightly acute - acute,slight - moderate,superficial,10.4 mm (12.6 - 8.2),197.0,81.0,negligible / absent anthocyanin (ridge/furrow),548.0,5,moderate,2.43,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10209
CC 237,moderate - slight,slightly acute,slight,superficial - intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10210
CC 240,very slight,obtuse,slight - moderate,superficial,8.35 mm (10.2 - 6.5),161.0,80.0,absent anthocyanin,455.0,3,moderate,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10211
CC 241,very slight,slightly acute,intense,intermediate,10.15 mm (13 - 7.3),189.0,86.0,absent anthocyanin,585.0,2,hard,2.19,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.80,Accession TUR10212
CC 243,absent,slightly acute - acute,very slight,imperceptible - superficial,-,-,-,moderate / slight anthocyanin (ridge/furrow),-,2,-,-,-,Accession TUR10213
CC 244,very slight,acute - attenuate,very slight,superficial - intermediate,9.95 mm (12.4 - 7.5),208.0,84.0,absent anthocyanin,599.0,7,hard,2.47,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.63,Accession TUR10214
CC 245,moderate - slight,acute,slight - moderate,intermediate,9.85 mm (12.9 - 6.8),210.0,82.0,absent anthocyanin,625.0,6,moderate,2.56,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.59,Accession TUR10215
CC 246,moderate - strong,slightly acute,intense,superficial - intermediate,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10216
CC 249,slight,slightly acute,slight,superficial,8.35 mm (10.8 - 5.9),169.0,79.0,absent anthocyanin,404.0,3,soft,2.13,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.67,Accession TUR10217
CC 250,absent,slightly obtuse - obtuse,very slight,imperceptible - superficial,-,-,-,negligible anthocyanin,-,-,-,-,-,Accession TUR10218
CC 251,moderate - slight,slightly acute - acute,moderate - intense,intermediate - deep,11.4 mm (15 - 7.8),192.0,85.0,absent anthocyanin,529.0,6,hard,2.25,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.85,Accession TUR10219
CC 252,moderate - slight,obtuse - slightly acute,very slight,superficial,-,-,-,high anthocyanin,-,2,-,-,-,Accession TUR10220
CC 253,moderate - slight,slightly acute,very slight,imperceptible - superficial,8.4 mm (10.3 - 6.5),167.0,75.0,negligible - slight / negligible anthocyanin (ridge/furrow),393.0,5,moderate,2.22,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.66,Accession TUR10221
CC 254,moderate,slightly acute,moderate,intermediate,9.6 mm (12.7 - 6.5),196.0,78.0,moderate / negligible anthocyanin (ridge/furrow),517.0,2,moderate,2.51,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.81,Accession TUR10222
CC 255,slight,obtuse - slightly acute,very slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10223
CC 256,moderate - slight,obtuse - slightly acute,very slight,imperceptible - superficial,10.75 mm (13 - 8.5),180.0,87.0,absent anthocyanin,522.0,7,hard,2.06,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.77,Accession TUR10224
CC 257,moderate,slightly acute,slight,superficial - intermediate,9.85 mm (12.8 - 6.9),192.0,92.0,absent anthocyanin,639.0,7,moderate,2.08,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.69,Accession TUR10225
CC 258,very slight,obtuse,moderate,deep,10.45 mm (13.4 - 7.5),166.0,87.0,absent anthocyanin,588.0,6,hard,1.90,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.59,Accession TUR10226
CC 259,very slight,obtuse,slight,intermediate - deep,8.75 mm (11.1 - 6.4),149.0,83.0,absent anthocyanin,507.0,3,moderate,1.79,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.61,Accession TUR10227
CC 260,very slight,obtuse,moderate,deep,9.15 mm (11.9 - 6.4),151.0,89.0,absent anthocyanin,511.0,6,hard,1.69,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.69,Accession TUR10228
CC 261,absent,slightly obtuse,slight,superficial - intermediate,8.85 mm (11.1 - 6.6),143.0,84.0,absent anthocyanin,461.0,6,moderate,1.70,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.56,Accession TUR10229
CC 262,very slight,slightly acute,slight,deep,9.15 mm (11.9 - 6.4),158.0,80.0,absent anthocyanin,512.0,7,moderate,1.97,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10230
CC 263,absent,obtuse,slight,deep,10.4 mm (13.4 - 7.4),164.0,98.0,absent anthocyanin,603.0,5,hard,1.67,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.60,Accession TUR10231
CC 265,very slight,acute,slight,superficial,11.35 mm (13.6 - 9.1),224.0,97.0,absent anthocyanin,852.0,3,moderate,2.30,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.75,Accession TUR10586
CC 27,absent,obtuse,very slight,imperceptible,10.9 mm (12.9 - 8.9),143.0,95.0,absent anthocyanin,600.0,4,moderate,1.50,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.75,Accession TUR10136
CC 33,slight,obtuse,smooth - very slight,superficial,-,-,-,absent anthocyanin,-,2,-,-,-,Accession TUR10138
CC 34,moderate,slightly acute,slight,deep,10 mm (13.2 - 6.8),187.0,83.0,absent anthocyanin,565.0,7,soft,2.25,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.63,Accession TUR10139
CC 35,moderate,slightly acute,intense,deep,10.3 mm (12.5 - 8.1),185.0,85.0,absent anthocyanin,614.0,4,soft,2.17,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.67,Accession TUR10140
CC 37,absent,acute,moderate,superficial - intermediate,-,161.0,81.0,moderate - high / absent anthocyanin (ridge/furrow),472.0,4,soft,1.98,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.77,Accession TUR10142
CC 38,slight,obtuse,slight,superficial - intermediate,9.1 mm (11 - 7.2),144.0,86.0,absent anthocyanin,470.0,7,soft,1.67,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.55,Accession TUR10143
CC 39,very slight,slightly acute,slight,imperceptible - superficial,12.9 mm (16.5 - 9.3),160.0,81.0,absent anthocyanin,515.0,7,soft,1.97,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.61,Accession TUR10144
CC 40,very slight,obtuse,slight,intermediate,9.2 mm (11.8 - 6.6),138.0,82.0,absent anthocyanin,397.0,7,soft,1.68,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.62,Accession TUR10145
CC 41,slight,obtuse,slight,intermediate,9.8 mm (11.7 - 7.9),158.0,85.0,absent anthocyanin,523.0,6,hard,1.85,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10146
CC 42,slight,obtuse,smooth,superficial - intermediate,9.75 mm (11.6 - 7.9),143.0,79.0,absent anthocyanin,459.0,6,soft,1.81,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.75,Accession TUR10147
CC 43,slight,attenuate,intense,intermediate,9.3 mm (12.3 - 6.3),206.0,74.0,absent anthocyanin,467.0,5,moderate,2.78,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.84,Accession TUR10148
CC 44,slight,slightly acute,moderate,intermediate - deep,12.6 mm (15.3 - 9.9),183.0,93.0,absent anthocyanin,743.0,7,soft,1.96,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.73,Accession TUR10149
CC 45,very slight,slightly acute,slight,superficial,9.5 mm (12 - 7),149.0,74.0,moderate anthocyanin,411.0,7,soft,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.67,Accession TUR10150
CC 46,absent,slightly acute - acute,slight,deep,10.45 mm (13 - 7.9),170.0,85.0,moderate / absent anthocyanin (ridge/furrow),543.0,7,soft,2.00,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.62,Accession TUR10151
CC 47,very slight,obtuse,slight,superficial - intermediate,9.2 mm (11.4 - 7),146.0,80.0,absent anthocyanin,414.0,7,soft,1.82,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.60,Accession TUR10152
CC 48,slight,obtuse,slight,intermediate - deep,9.2 mm (11.8 - 6.6),148.0,81.0,absent anthocyanin,401.0,5,soft,1.82,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.80,Accession TUR10153
CC 49,very slight,obtuse,slight,superficial - intermediate,10.3 mm (12.6 - 8),146.0,81.0,absent anthocyanin,446.0,7,soft,1.80,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10154
CC 52,absent,slightly acute,slight,superficial,12.2 mm (14.8 - 9.6),211.0,98.0,intense / high anthocyanin (ridge/furrow),908.0,7,soft,2.15,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.79,Accession TUR10155
CC 54,moderate - slight,acute,slight,deep,-,-,-,high / moderate anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10156
CC 60,slight,slightly acute,very slight,superficial,-,-,-,absent anthocyanin,-,2,-,-,-,Accession TUR10157
CC 67,slight,obtuse,slight,superficial,10.65 mm (12.6 - 8.7),157.0,78.0,absent anthocyanin,543.0,5,soft,2.01,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10158
CC 69,moderate,acute,slight,intermediate - deep,12.35 mm (15.7 - 9),203.0,100.0,moderate - high / absent anthocyanin (ridge/furrow),853.0,1,soft,2.03,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.60,Accession TUR10159
CC 71,moderate,acute,intense,intermediate - deep,11.1 mm (14 - 8.2),201.0,88.0,absent anthocyanin,624.0,1,hard,2.28,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10160
CC 74,slight,acute,slight,superficial,8.45 mm (10.6 - 6.3),156.0,78.0,absent anthocyanin,468.0,9,soft,2.00,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.65,Accession TUR10161
CC 79,absent,slightly acute,slight,intermediate - deep,11.05 mm (13.6 - 8.5),185.0,95.0,absent anthocyanin,797.0,5,soft,1.94,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.82,Accession TUR10162
CC 83,strong,acute - attenuate,intense,intermediate - deep,9.35 mm (11.3 - 7.4),185.0,80.0,negligible / absent anthocyanin (ridge/furrow),544.0,8,soft,2.31,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.69,Accession TUR10163
CC 9,moderate,obtuse,slight,intermediate - deep,9.35 mm (11.4 - 7.3),156.0,77.0,absent anthocyanin,404.0,5,moderate,2.02,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.70,Accession TUR10132
CC 99,moderate,attenuate,intense,deep,9.6 mm (12 - 7.2),215.0,75.0,absent anthocyanin,496.0,3,soft,2.86,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.63,Accession TUR10164
CHU 120 [VEN],absent,slightly acute,very slight,imperceptible - superficial,15.35 mm (17.7 - 13),198.0,92.0,moderate - high / slight anthocyanin (ridge/furrow),843.0,3,soft,2.15,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.69,Accession TUR10234
CHU 24 [VEN],slight,slightly acute - acute,slight,superficial - intermediate,-,-,-,slight / negligible - slight anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10233
CNS 22 [VEN],slight,slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,2,-,-,-,Accession TUR10235
CNS 23 [VEN],slight,slightly acute,slight,superficial,10.8 mm (13 - 8.6),196.0,91.0,absent anthocyanin,752.0,4,moderate,2.15,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.71,Accession TUR10236
COMUM TIPICO,slight,obtuse - slightly acute,smooth - very slight,imperceptible - superficial,8.65 mm (10.1 - 7.2),151.0,78.0,absent anthocyanin,408.0,5,hard,1.93,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.89,Accession TUR10237
CU 1,slight,obtuse - slightly acute,smooth - very slight,imperceptible - superficial,-,-,-,moderate / slight anthocyanin (ridge/furrow),-,1,-,-,-,Accession TUR10248
CU 2,-,-,-,-,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10249
CU 3,very slight,obtuse,very slight,imperceptible - superficial,-,-,-,absent anthocyanin,-,2,-,-,-,Accession TUR10250
CU EN SEMI 1,very slight,slightly acute,smooth - very slight,imperceptible,-,-,-,absent anthocyanin,-,5,-,-,-,Accession TUR10246
CU EN SEMI 1,absent,slightly acute,slight,superficial,-,-,-,absent anthocyanin,-,-,-,-,-,Accession TUR10247
DIAMANTES 800,very slight,slightly obtuse - obtuse,moderate,intermediate - deep,12.85 mm (16.3 - 9.4),192.0,79.0,high / absent anthocyanin (ridge/furrow),505.0,8,soft,2.43,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.62,Accession TUR10251
DR 1,slight,acute,moderate,superficial,-,-,-,slight / absent anthocyanin (ridge/furrow),-,-,-,-,-,Accession TUR10252
EEG 25,absent,slightly obtuse - obtuse,slight,superficial,7.9 mm (10 - 5.8),118.0,69.0,absent anthocyanin,254.0,7,soft,1.71,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.68,Accession TUR10254
EEG 27,very slight,slightly obtuse - obtuse,slight,imperceptible - superficial,8.15 mm (9.7 - 6.6),139.0,78.0,absent anthocyanin,423.0,5,hard,1.78,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.59,Accession TUR10255
EEG 29,very slight,slightly acute,slight,superficial,8.2 mm (10.2 - 6.2),168.0,82.0,absent anthocyanin,453.0,6,moderate,2.04,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.62,Accession TUR10256
EEG 48,very slight,obtuse,very slight,imperceptible - superficial,8.5 mm (10.3 - 6.7),150.0,91.0,absent anthocyanin,487.0,3,hard,1.64,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.73,Accession TUR10257
EEG 64,absent,slightly obtuse,very slight,imperceptible - superficial,7.3 mm (8.5 - 6.1),113.0,86.0,absent anthocyanin,383.0,6,hard,1.31,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10258
EEG 65,very slight,slightly obtuse - obtuse,slight,superficial - intermediate,9.7 mm (11.2 - 8.2),150.0,98.0,absent anthocyanin,567.0,7,hard,1.53,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.74,Accession TUR10259
EET 12 [ECU],very strong,acute,moderate - intense,deep,9.7 mm (12.5 - 6.9),187.0,80.0,absent anthocyanin,491.0,4,soft,2.33,ratio of distances between ridges within a pair and between ridges of two different pairs = 0.58,Accession TUR10260
