Clone name,Plant,NCS,Population,Coeff cl,Subcluster,Coeff scl
CAB 344,1,2,Purus,0.644,n-a,-
CAB 345,2,2,Purus,0.622,n-a,-
CAB 349,3,1,Iquitos,0.509,n-a,-
CAB 352,1,1,Iquitos,0.698,IMC I,0.531
CAB 353,2,1,Iquitos,0.509,n-a,-
CAB 355,2,3,Purus,0.886,all,0.995
CAB 356,2,2,Amelonado,0.529,n-a,-
CAB 357,3,3,Purus,0.825,all,0.955
CAB 359,3,1,Iquitos,0.543,n-a,-
CAB 36,3,2,Amelonado,0.807,Amelonado Type III,0.977
CAB 360,1,3,Purus,0.855,Upper Solimoes R - Ica R,0.529
CAB 362,5,3,Purus,0.884,Upper Solimoes R - Ica R,0.521
CAB 363,4,3,Purus,0.821,Upper Solimoes R - Ica R,0.500
CAB 364,2,2,Purus,0.814,Upper Solimoes R - Ica R,0.811
CAB 365,4,2,Purus,0.728,Upper Solimoes R - Ica R,0.984
CAB 366,1,2,Amelonado,0.511,n-a,-
CAB 367,3,1,Iquitos,0.511,n-a,-
CAB 368,1,2,Purus,0.784,Upper Solimoes R - Ica R,0.975
CAB 369,3,2,Purus,0.807,Upper Solimoes R - Ica R,0.974
CAB 39,9,2,Amelonado,0.994,Amelonado Type III,0.564
CAB 422,2,2,Maranon,0.978,Ji - Parana R,0.995
CAB 440,1,2,Maranon,0.983,Ji - Parana R,0.995
CAB 445,2,2,Maranon,0.995,Ji - Parana R,0.992
CAB 448,1,2,Maranon,0.99,Ji - Parana R,0.997
CAB 450,1,2,Maranon,0.944,Ji - Parana R,0.992
CAB 452,3,2,Maranon,0.923,Ji - Parana R,0.990
CAB 458,1,2,Maranon,0.996,Ji - Parana R,0.996
CAB 459,1,2,Maranon,0.879,Ji - Parana R,0.991
CAB 466,3,2,Maranon,0.985,Ji - Parana R,0.993
CAB 467,3,2,Maranon,0.995,Ji - Parana R,0.994
CAB 475,3,2,Purus,0.605,n-a,-
CAB 478,1,2,Amelonado,0.507,n-a,-
CAB 481,2,2,Purus,0.612,n-a,-
CAB 484,1,2,Purus,0.592,n-a,-
CAB 487,2,2,Purus,0.701,all,0.987
CAB 488,4,2,Purus,0.678,n-a,-
CAB 493,3,2,Purus,0.659,n-a,-
CAB 495,1,2,Purus,0.626,n-a,-
CAB 496,2,2,Purus,0.465,n-a,-
CAB 514,1,2,Purus,0.486,n-a,-
CAB 516,3,2,Iquitos,0.527,n-a,-
CAB 517,2,2,Iquitos,0.73,Middle Solimoes R,0.996
CAB 518,1,2,Iquitos,0.727,Middle Solimoes R,0.998
CAB 519,3,2,Iquitos,0.653,n-a,-
CAB 521,2,2,Iquitos,0.697,Middle Solimoes R,0.995
CAB 527,1,2,Iquitos,0.657,n-a,-
CAB 529,3,2,Iquitos,0.693,n-a,-
CAB 531,2,2,Iquitos,0.453,n-a,-
CAB 532,5,2,Iquitos,0.572,n-a,-
CAB 6,3,1,Maranon,0.508,n-a,-
CAB 63,1,1,Purus,0.951,Caete R - Purus R,0.937
CAB 64,1,1,Purus,0.992,Caete R - Purus R,0.993
CAB 66,1,3,Iquitos,0.326,n-a,-
CAB 67,2,1,Purus,0.981,Caete R - Purus R,0.978
CAB 68,3,1,Purus,0.994,Caete R - Purus R,0.896
CAB 69,2,1,Purus,0.995,Caete R - Purus R,0.984
CAB 70,2,1,Purus,0.996,Caete R - Purus R,0.985
CAB 71,3,1,Purus,0.994,Caete R - Purus R,0.986
CAB 72,2,1,Purus,0.995,Caete R - Purus R,0.936
CAB 728,3,2,Amelonado,0.992,Uatama R,0.998
CAB 729,2,2,Amelonado,0.994,Uatama R,0.998
CAB 730,1,2,Amelonado,0.993,Uatama R,0.998
CAB 731,1,2,Amelonado,0.993,Uatama R,0.998
CAB 732,1,2,Amelonado,0.994,Uatama R,0.998
CAB 733,2,2,Amelonado,0.989,Uatama R,0.998
CAB 734,1,2,Amelonado,0.993,Uatama R,0.998
CAB 735,5,2,Amelonado,0.948,Uatama R,0.998
CAB 745,2,2,Maranon,0.993,Ji - Parana R,0.996
CAB 749,1,2,Maranon,0.994,Ji - Parana R,0.996
CAB 754,1,2,Maranon,0.993,Ji - Parana R,0.997
CAB 756,1,2,Maranon,0.994,Ji - Parana R,0.996
CAB 757,1,2,Maranon,0.997,Ji - Parana R,0.998
CAB 758,1,2,Maranon,0.996,Ji - Parana R,0.996
CAB 76,3,1,Purus,0.995,Caete R - Purus R,0.995
CAB 763,1,2,Maranon,0.925,Ji - Parana R,0.873
CAB 764,2,2,Maranon,0.946,Ji - Parana R,0.993
CAB 77,5,1,Purus,0.995,Caete R - Purus R,0.995
CAB 771,3,2,Maranon,0.996,Ji - Parana R,0.992
CAB 772,1,2,Maranon,0.995,Ji - Parana R,0.997
CAB 775,1,2,Maranon,0.996,Ji - Parana R,0.998
CAB 776,1,2,Maranon,0.993,Ji - Parana R,0.998
CAB 777,2,2,Maranon,0.996,Ji - Parana R,0.997
CAB 779,1,2,Maranon,0.996,Ji - Parana R,0.997
CAB 78,1,1,Purus,0.994,Caete R - Purus R,0.880
CAB 782,1,2,Maranon,0.992,Ji - Parana R,0.993
CAB 783,1,2,Maranon,0.996,Ji - Parana R,0.997
CAB 79,5,1,Purus,0.995,Caete R - Purus R,0.993
CAB 80,3,1,Purus,0.992,Caete R - Purus R,0.980
MATINA 1 /6,-,2,Amelonado,0.956,Amelonado Type III,0.756
CHA 13 [MEX],-,1,Criollo,0.998,Lacandona,0.926
CHA 18 [MEX],-,1,Criollo,0.997,Belize,0.782
CHA 20 [MEX],-,1,Criollo,0.998,Lacandona,0.984
CHA 5 [MEX],-,1,Criollo,0.997,Lacandona,0.986
CJ 10 [BRA],3,2,Amelonado,0.57,n-a,-
CJ 11 [BRA],5,2,Amelonado,0.551,n-a,-
CJ 2 [BRA],4,2,Guiana,0.51,n-a,-
CJ 3 [BRA],1,2,Amelonado,0.536,n-a,-
CJ 4 [BRA],6,2,Guiana,0.543,n-a,-
CJ 5 [BRA],7,2,Amelonado,0.502,n-a,-
CJ 6 [BRA],1,2,Amelonado,0.533,n-a,-
CJ 8 [BRA],3,2,Guiana,0.6,n-a,-
CJ 9 [BRA],1,2,Amelonado,0.61,n-a,-
COCA 3023 [CHA],-,1,Curaray,0.996,Coca R - Napo R,0.984
COCA 3328 [CHA],-,1,Curaray,0.982,Coca R - Napo R,0.970
COCA 3335 [CHA],-,1,Curaray,0.998,Coca R - Napo R,0.994
COCA 3338 [CHA],-,1,Curaray,0.987,Coca R - Napo R,0.975
COCA 3370 /5 [CHA],-,1,Iquitos,0.451,n-a,-
COL 10 [COL],-,1,Criollo,0.998,Santa Marta,0.981
COL 11 [COL],-,1,Criollo,0.998,Santa Marta,0.992
COL 2 [COL],-,1,Criollo,0.997,Santa Marta,0.985
COL 3 [COL],-,1,Criollo,0.998,Santa Marta,0.988
COL 4 [COL],-,1,Criollo,0.998,Santa Marta,0.589
COL 5 [COL],-,1,Criollo,0.998,Santa Marta,0.587
COL 8 [COL],-,1,Criollo,0.998,Santa Marta,0.989
CRIOLLO 13 [CRI],-,1,Criollo,0.998,all,0.975
CUR 3 [CHA],-,2,Curaray,0.432,n-a,-
CUR 6 [CHA],-,1,Curaray,0.718,Curaray R - Napo R,0.650
EBC 114,-,3,Purus,0.805,all,0.996
EBC 121,-,2,Purus,0.609,n-a,-
EBC 122,-,2,Purus,0.629,n-a,-
EBC 126,-,2,Nacional,0.406,n-a,-
EBC 136,-,2,Purus,0.744,all,0.621
EBC 138,-,2,Purus,0.659,n-a,-
EBC 142,-,2,Purus,0.441,n-a,-
EBC 148,-,2,Purus,0.549,n-a,-
EEG 29,-,2,Amelonado,0.997,Amelonado Type II,0.992
EEG 65,-,2,Amelonado,0.997,Amelonado Type II,0.976
ELP 15,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.986
ELP 16 A,-,2,Guiana,0.998,Camopi R - Euleupousing R,0.992
ELP 18 A,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.988
ELP 20 A,-,2,Guiana,0.996,Camopi R - Euleupousing R,0.979
ELP 28 A,-,2,Guiana,0.613,n-a,-
ELP 32 A,-,2,Guiana,0.565,n-a,-
ELP 34 A,-,2,Amelonado,0.727,Amelonado Type III,0.964
ELP 35 A,-,2,Amelonado,0.509,n-a,-
ELP 37 A,-,2,Amelonado,0.517,n-a,-
ELP 5,-,2,Guiana,0.998,Camopi R - Euleupousing R,0.788
ELP 7 A,-,2,Guiana,0.998,Camopi R - Euleupousing R,0.992
ELP 9 A,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.986
FSC 13,-,2,Amelonado,0.996,Amelonado Type II,0.671
FSC 3,-,2,Amelonado,0.997,Amelonado Type I,0.981
GU 116 /A,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.958
GU 124 /A,-,2,Guiana,0.995,Camopi R - Euleupousing R,0.989
GU 134 /B,-,2,Guiana,0.984,Camopi R - Euleupousing R,0.922
GU 138 A,-,2,Guiana,0.996,Camopi R - Euleupousing R,0.989
GU 139 /A,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.992
GU 143 /A,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.770
GU 155 A,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.939
GU 156 B,-,2,Guiana,0.995,Camopi R - Euleupousing R,0.856
GU 174 A,-,2,Guiana,0.997,Camopi R,0.948
GU 199 A,-,2,Guiana,0.998,Camopi R,0.981
GU 214 /A,-,2,Guiana,0.997,Camopi R,0.950
GU 216 A,-,2,Guiana,0.998,Camopi R,0.938
GU 218 /A,-,2,Guiana,0.998,Camopi R,0.957
GU 227 A,-,2,Guiana,0.997,Camopi R,0.980
GU 230 /A,-,2,Guiana,0.998,Camopi R,0.990
GU 254 /A,-,2,Guiana,0.998,Camopi R - Euleupousing R,0.991
GU 274 /A,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.985
GU 285 /A,-,2,Guiana,0.996,Camopi R - Euleupousing R,0.986
GU 292 /A,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.659
GU 295 A,-,2,Guiana,0.998,Camopi R - Euleupousing R,0.509
GU 297 B,-,2,Guiana,0.993,Camopi R,0.942
GU 308 /A,-,2,Guiana,0.997,Camopi R,0.967
GU 315 /A,-,2,Guiana,0.997,Camopi R - Euleupousing R,0.528
GU 323 /A,-,2,Guiana,0.997,Camopi R,0.990
GU 326 /A,-,2,Guiana,0.997,Camopi R,0.507
GU 331 /A,-,2,Guiana,0.994,Camopi R,0.548
IMC 10,-,1,Iquitos,0.996,IMC I,0.998
IMC 103,-,1,Iquitos,0.913,IMC II,0.979
IMC 104,-,1,Iquitos,0.766,IMC II,0.997
IMC 105,-,1,Iquitos,0.837,IMC II,0.979
IMC 107,-,1,Iquitos,0.996,IMC I,0.997
IMC 11,-,1,Iquitos,0.996,IMC I,0.997
IMC 12,-,1,Iquitos,0.996,IMC I,0.996
IMC 13,-,1,Iquitos,0.996,IMC I,0.997
IMC 16,-,1,Iquitos,0.996,IMC I,0.995
IMC 18,-,1,Iquitos,0.992,IMC I,0.997
IMC 2,-,1,Iquitos,0.883,IMC II,0.725
IMC 20,-,1,Iquitos,0.996,IMC I,0.997
IMC 23,-,1,Iquitos,0.996,IMC I,0.996
IMC 27,-,1,Iquitos,0.996,IMC I,0.996
IMC 3,-,1,Iquitos,0.825,IMC II,0.988
IMC 30,-,1,Iquitos,0.994,IMC I,0.990
IMC 31,-,1,Iquitos,0.996,IMC I,0.994
IMC 33,-,1,Iquitos,0.996,IMC I,0.998
IMC 36,-,1,Iquitos,0.399,n-a,-
IMC 36,-,1,Iquitos,0.996,IMC I,0.998
IMC 38,-,1,Iquitos,0.994,IMC I,0.997
IMC 39,-,1,Iquitos,0.995,IMC I,0.997
IMC 41,-,1,Iquitos,0.914,IMC II,0.997
IMC 42,-,1,Iquitos,0.995,IMC I,0.964
IMC 44,-,1,Iquitos,0.996,IMC I,0.995
IMC 47,-,1,Iquitos,0.991,IMC I,0.986
IMC 48,-,1,Iquitos,0.994,IMC I,0.991
IMC 49,-,1,Iquitos,0.904,IMC II,0.996
IMC 5,-,1,Iquitos,0.974,IMC I,0.983
IMC 50,-,1,Iquitos,0.992,IMC I,0.992
IMC 51,-,1,Iquitos,0.806,IMC II,0.997
IMC 53,-,1,Iquitos,0.989,IMC I,0.996
IMC 55,-,1,Iquitos,0.996,IMC I,0.995
IMC 58,-,1,Iquitos,0.996,IMC I,0.997
IMC 59,-,1,Iquitos,0.996,IMC I,0.996
IMC 6,-,1,Iquitos,0.996,IMC I,0.995
IMC 60,-,1,Iquitos,0.996,IMC I,0.997
IMC 61,-,1,Iquitos,0.793,IMC II,0.959
IMC 63,-,1,Iquitos,0.994,IMC I,0.997
IMC 65,-,1,Iquitos,0.995,IMC I,0.992
IMC 66,-,1,Iquitos,0.915,IMC II,0.996
IMC 68,-,1,Iquitos,0.996,IMC I,0.997
IMC 71,-,1,Iquitos,0.996,IMC I,0.997
IMC 73,-,1,Iquitos,0.836,IMC II,0.995
IMC 76,-,1,Iquitos,0.996,IMC I,0.990
IMC 77,-,1,Iquitos,0.996,IMC I,0.998
IMC 78,-,1,Iquitos,0.996,IMC I,0.995
IMC 83,-,1,Iquitos,0.996,IMC I,0.995
IMC 85,-,1,Iquitos,0.996,IMC I,0.997
IMC 9,-,1,Iquitos,0.855,IMC II,0.882
IMC 94,-,1,Iquitos,0.974,IMC II,0.923
IMC 96,-,1,Iquitos,0.996,IMC I,0.992
IMC 98,-,1,Iquitos,0.996,IMC I,0.997
KER 1-L,-,2,Guiana,0.829,Kerindioutou R,0.544
KER 11-1-L,-,2,Guiana,0.994,Kerindioutou R,0.989
KER 11-2-L,-,2,Guiana,0.997,Kerindioutou R,0.996
KER 11-3-L,-,2,Guiana,0.997,Kerindioutou R,0.993
KER 2-L,-,2,Guiana,0.997,Kerindioutou R,0.996
KER 3,-,2,Guiana,0.997,Kerindioutou R,0.996
KER 5,-,2,Guiana,0.973,Kerindioutou R,0.966
KER 6,-,2,Guiana,0.665,n-a,-
KER 7,-,2,Guiana,0.998,Kerindioutou R,0.996
KER 8-L,-,2,Guiana,0.997,Kerindioutou R,0.996
KER 9,-,2,Guiana,0.996,Kerindioutou R,0.992
LAN 21,-,1,Criollo,0.998,Lacadona,0.932
LAN 22,-,1,Criollo,0.998,Lacadona,0.968
LAN 23,-,1,Criollo,0.994,Lacadona,0.719
LAN 26,-,1,Criollo,0.995,Lacadona,0.915
LAN 27,-,1,Criollo,0.998,Lacadona,0.985
LAN 28,-,1,Criollo,0.998,Lacadona,0.991
LAN 29,-,1,Criollo,0.998,Lacadona,0.990
LAN 30,-,1,Criollo,0.998,Lacadona,0.992
LCT EEN 107,-,1,Curaray,0.653,n-a,-
LCT EEN 108,-,1,Curaray,0.693,n-a,-
LCT EEN 120,-,1,Curaray,0.881,Coca R - Napo R,0.538
LCT EEN 121,-,1,Curaray,0.739,Curaray R - Napo R,0.656
LCT EEN 121,-,1,Curaray,0.872,Bobonaza R,0.947
LCT EEN 122,-,1,Curaray,0.874,Bobonaza R,0.985
LCT EEN 123,-,1,Curaray,0.892,Bobonaza R,0.953
LCT EEN 124,-,1,Curaray,0.942,Bobonaza R,0.968
LCT EEN 125,-,1,Curaray,0.921,Bobonaza R,0.938
LCT EEN 133,-,1,Curaray,0.987,Coca R - Napo R,0.835
LCT EEN 134,-,2,Curaray,0.481,n-a,-
LCT EEN 137,-,1,Curaray,0.998,Coca R - Napo R,0.994
LCT EEN 141,-,1,Curaray,0.998,Coca R - Napo R,0.989
LCT EEN 142,-,1,Curaray,0.899,Coca R - Napo R,0.728
LCT EEN 144,-,1,Curaray,0.996,Coca R - Napo R,0.992
LCT EEN 146,-,3,Amelonado,0.433,n-a,-
LCT EEN 151,-,1,Curaray,0.558,n-a,-
LCT EEN 152,-,1,Curaray,0.561,n-a,-
LCT EEN 154,-,1,Curaray,0.716,Curaray R - Napo R,0.989
LCT EEN 156,-,1,Curaray,0.873,Curaray R - Napo R,0.959
LCT EEN 162 /S-1010,-,1,Iquitos,0.541,n-a,-
LCT EEN 163 /A,-,1,Curaray,0.947,Coca R - Napo R,0.563
LCT EEN 180,-,1,Curaray,0.794,Curaray R - Napo R,0.735
LCT EEN 188,-,2,Curaray,0.461,n-a,-
LCT EEN 189,-,2,Curaray,0.455,n-a,-
LCT EEN 193,-,2,Curaray,0.477,n-a,-
LCT EEN 195,-,2,Curaray,0.432,n-a,-
LCT EEN 2,-,1,Curaray,0.996,Coca R - Napo R,0.924
LCT EEN 219,-,1,Curaray,0.997,Coca R - Napo R,0.903
LCT EEN 223,-,1,Curaray,0.998,Coca R - Napo R,0.890
LCT EEN 227,-,1,Curaray,0.349,n-a,-
LCT EEN 23,-,1,Curaray,0.785,Curaray R - Napo R,0.991
LCT EEN 232,-,1,Curaray,0.997,Coca R - Napo R,0.805
LCT EEN 234,-,1,Curaray,0.996,Coca R - Napo R,0.948
LCT EEN 237,-,1,Curaray,0.995,Coca R - Napo R,0.977
LCT EEN 241,-,1,Curaray,0.754,Upano R,0.431
LCT EEN 249,-,1,Curaray,0.631,n-a,-
LCT EEN 250,-,1,Contamana,0.28,n-a,-
LCT EEN 253,-,1,Curaray,0.688,n-a,-
LCT EEN 254,-,1,Curaray,0.812,Curaray R - Napo R,0.523
LCT EEN 255,-,1,Curaray,0.718,Curaray R - Napo R,0.821
LCT EEN 257,-,1,Curaray,0.813,Curaray R - Napo R,0.611
LCT EEN 258,-,1,Curaray,0.741,Curaray R - Napo R,0.655
LCT EEN 259,-,1,Curaray,0.732,Curaray R - Napo R,0.739
LCT EEN 26,-,2,Amelonado,0.352,n-a,-
LCT EEN 261 /S-4,-,1,Curaray,0.993,Upano R,0.865
LCT EEN 264,-,1,Curaray,0.8,Curaray R - Napo R,0.680
LCT EEN 278,-,1,Iquitos,0.385,n-a,-
LCT EEN 278,-,1,Curaray,0.736,Curaray R - Napo R,0.659
LCT EEN 281,-,1,Curaray,0.849,Bobonaza R,0.455
LCT EEN 30,-,1,Curaray,0.798,Curaray R - Napo R,0.980
LCT EEN 300,-,1,Curaray,0.992,Upano R,0.987
LCT EEN 302,-,3,Amelonado,0.471,n-a,-
LCT EEN 31,-,1,Curaray,0.762,Curaray R - Napo R,0.990
LCT EEN 312,-,2,Nacional,0.269,n-a,-
LCT EEN 312,-,1,Curaray,0.996,Upano R,0.985
LCT EEN 32,-,1,Curaray,0.792,Curaray R - Napo R,0.991
LCT EEN 325,-,1,Curaray,0.668,n-a,-
LCT EEN 326,-,3,Iquitos,0.356,n-a,-
LCT EEN 327,-,1,Curaray,0.989,Coca R - Napo R,0.986
LCT EEN 329,-,1,Curaray,0.739,Upano R,0.933
LCT EEN 33,-,1,Curaray,0.832,Curaray R - Napo R,0.954
LCT EEN 333,-,1,Curaray,0.991,Upano R,0.979
LCT EEN 334,-,1,Curaray,0.995,Upano R,0.967
LCT EEN 347,-,1,Curaray,0.972,Upano R,0.986
LCT EEN 36,-,1,Curaray,0.696,Curaray R - Napo R,0.984
LCT EEN 362,-,3,Purus,0.606,n-a,-
LCT EEN 364,-,3,Purus,0.474,n-a,-
LCT EEN 366,-,3,Purus,0.605,n-a,-
LCT EEN 367,-,3,Purus,0.622,n-a,-
LCT EEN 368,-,3,Purus,0.549,n-a,-
LCT EEN 369,-,3,Purus,0.441,n-a,-
LCT EEN 37,-,1,Curaray,0.626,n-a,-
LCT EEN 370,-,3,Purus,0.613,n-a,-
LCT EEN 371,-,3,Purus,0.492,n-a,-
LCT EEN 373,-,1,Curaray,0.859,Curaray R - Napo R,0.558
LCT EEN 374,-,1,Curaray,0.997,Coca R - Napo R,0.821
LCT EEN 376,-,1,Curaray,0.996,Coca R - Napo R,0.754
LCT EEN 38,-,1,Curaray,0.679,n-a,-
LCT EEN 386,-,1,Curaray,0.997,Upano R,0.505
LCT EEN 389,-,1,Curaray,0.993,Upano R,0.380
LCT EEN 390,-,1,Curaray,0.996,Upano R,0.483
LCT EEN 395,-,1,Curaray,0.706,Curaray R - Napo R,0.990
LCT EEN 399,-,1,Curaray,0.761,Curaray R - Napo R,0.959
LCT EEN 401,-,2,Curaray,0.473,n-a,-
LCT EEN 403,-,2,Curaray,0.418,n-a,-
LCT EEN 406,-,4,Purus,0.386,n-a,-
