Clone name,Basal constriction,Apex form,Rugosity,Furrow depth,Husk thickness,Length,Breadth,Colour,Length breadth ratio
SDS 36,moderate,attenuate,moderate,intermediate,8.5 mm (6 - 11),170.0,77.0,yellow,2.20
SDS 4,slight,acute,intense,intermediate,10 mm (9 - 11),166.0,73.0,yellow,2.27
SDS 41,slight,rounded,moderate,shallow,16 mm (14 - 18),175.0,88.0,yellow,1.98
SDS 46,absent,rounded,smooth,intermediate,14 mm (13 - 15),130.0,81.0,yellow,1.60
SDS 52,slight,obtuse,moderate,shallow,16 mm (14 - 18),165.0,76.0,yellow,2.17
SDS 54,absent,rounded,intense,shallow,11.5 mm (10 - 13),130.0,70.0,yellow,1.85
SDS 58,absent,obtuse,smooth,shallow,13.5 mm (12 - 15),149.0,90.0,yellow,1.65
SDS 6,slight,attenuate,moderate,intermediate,11.5 mm (8 - 15),176.0,79.0,yellow,2.22
SDS 74,slight,acute,moderate,intermediate,12.5 mm (10 - 15),173.0,92.0,yellow,1.88
SDS 8,moderate,obtuse,moderate,intermediate,12 mm (9 - 15),170.0,75.0,yellow,2.26
SDS 84,slight,obtuse,moderate,shallow,15 mm (13 - 17),160.0,95.0,yellow,1.68
TG 135,slight,mammillate,smooth,shallow,7.5 mm (5.71 - 9.29),133.5,73.4,yellow,1.81
TG 137 /A,slight,attenuate,moderate,deep,8.575 mm (6.29 - 10.86),163.3,82.7,yellow,1.97
TG 137 /B,slight,attenuate,moderate,intermediate,8.085 mm (6 - 10.17),156.3,75.7,yellow,2.06
TG 148,moderate,acute,moderate,intermediate,7.75 mm (5.5 - 10),176.7,77.5,yellow,2.28
TG 157,slight,mammillate,moderate,intermediate,8.41 mm (6.27 - 10.55),165.7,88.7,yellow,1.86
TG 240,slight,acute,moderate,intermediate,11.385 mm (9.12 - 13.65),152.1,69.1,orange,2.20
TG 250,absent,obtuse,moderate,intermediate,9.9 mm (7.53 - 12.27),131.9,78.9,yellow,1.67
TG 266,slight,obtuse,moderate,intermediate,6.72 mm (4.96 - 8.48),155.7,75.5,yellow,2.06
TG 446,slight,mammillate,smooth,shallow,6.3 mm (4.6 - 8),136.4,66.6,yellow,2.04
TG 78,moderate,acute,moderate,deep,9.215 mm (6.14 - 12.29),132.0,70.7,yellow,1.86
TGC,slight,mammillate,smooth,shallow,7.37 mm (5.67 - 9.07),170.3,70.7,yellow,2.40
UPC 41,slight,obtuse,moderate,intermediate,8.2 mm (5.7 - 10.7),160.2,74.3,yellow,2.15
UPC 50,slight,attenuate,moderate,intermediate,10.95 mm (9 - 12.9),156.4,78.1,yellow,2.00
