SampleName,Clone name,Data type,Run,Experiment,BioSample,SampleSource,Tree ID
CUR3_G38_A8,CUR 3 [CHA],genomic,SRR7774170 NCBI ENA,SRX4629654,SAMN09934428,Ecuador,-
CUR3_G39_A10,CUR 3 [CHA],genomic,SRR7774226 NCBI ENA,SRX4629598,SAMN09934429,Ecuador,-
EB-19-1S,EB 1915,genomic,SRR7774353 NCBI ENA,SRX4629471,SAMN09934431,(Ecuador) gDNA USDA,-
EB2237_A1,EB 2237,genomic,SRR7774156 NCBI ENA,SRX4629668,SAMN09934432,Ecuador,-
EET_103,EET 103 [ECU],genomic,SRR7774210 NCBI ENA,SRX4629614,SAMN09934441,Ecuador,17424
EET_395,SILECIA 8 [ECU],genomic,SRR7774209 NCBI ENA,SRX4629615,SAMN09934442,Trinidad,18186
EET_400,EET 400 [ECU],genomic,SRR7774208 NCBI ENA,SRX4629616,SAMN09934443,Costa Rica,Tc17439
EET_58,EET 58 [ECU],genomic,SRR7774213 NCBI ENA,SRX4629611,SAMN09934444,Trinidad,Tc17727
EET_59,EET 59 [ECU],genomic,SRR7774212 NCBI ENA,SRX4629612,SAMN09934445,Trinidad,18302
EET103_Borde,EET 103 [ECU],genomic,SRR7774158 NCBI ENA,SRX4629666,SAMN09934433,Ecuador,17424
EET397,EET 397 [ECU],genomic,SRR7774241 NCBI ENA,SRX4629583,SAMN09934434,Costa Rica,17447
EET400_Arbol-122,EET 400 [ECU],genomic,SRR7774342 NCBI ENA,SRX4629482,SAMN09934435,Ecuador,Tc21291
EET446_A1,EET 446 [ECU],genomic,SRR7774207 NCBI ENA,SRX4629617,SAMN09934436,Ecuador,-
EET451_A1,EET 451 [ECU],genomic,SRR7774206 NCBI ENA,SRX4629618,SAMN09934437,Ecuador,-
EET462_A1,EET 462 [ECU],genomic,SRR7774205 NCBI ENA,SRX4629619,SAMN09934438,Ecuador,-
EET58_A1,EET 58 [ECU],genomic,SRR7774204 NCBI ENA,SRX4629620,SAMN09934439,Ecuador,-
EET95_A2,EET 95 [ECU],genomic,SRR7774211 NCBI ENA,SRX4629613,SAMN09934440,Ecuador,-
ELP_20_A,ELP 20 A,genomic,SRR7774268 NCBI ENA,SRX4629556,SAMN09934446,Costa Rica,Tc02198
FSC_13,FSC 13,genomic,SRR7774269 NCBI ENA,SRX4629555,SAMN09934447,Costa Rica,18315
GU_114_P,GU 114 /P,genomic,SRR7774267 NCBI ENA,SRX4629557,SAMN09934449,Trinidad,Tc17459
GU_175_P,GU 175 /P,genomic,SRR7774254 NCBI ENA,SRX4629570,SAMN09934450,Trinidad,Tc17460
GU_222,GU 222,genomic,SRR7774270 NCBI ENA,SRX4629554,SAMN09934452,Trinidad,-
GU_291_F,GU 291 F,genomic,SRR7774256 NCBI ENA,SRX4629568,SAMN09934451,Trinidad,-
GU_300_P,GU 300 /P,genomic,SRR7774271 NCBI ENA,SRX4629553,SAMN09934453,Trinidad,Tc17463
GU_307,GU 307,genomic,SRR7774227 NCBI ENA,SRX4629597,SAMN09934454,Costa Rica,17426
GU_308A,GU 308 /A,genomic,SRR7774228 NCBI ENA,SRX4629596,SAMN09934455,Costa Rica,Tc02175
GU255_V,GU 255 /V,genomic,SRR7774266 NCBI ENA,SRX4629558,SAMN09934448,Costa Rica,17425
ICA_70,ICA 70 [COL],genomic,SRR7774255 NCBI ENA,SRX4629569,SAMN09934456,Trinidad,18321
ICS_1,ICS 1,genomic,SRR7774310 NCBI ENA,SRX4629514,SAMN09934459,leaf from Miami,-
ICS_43,ICS 43,genomic,SRR7774313 NCBI ENA,SRX4629511,SAMN09934460,Trinidad,18331
ICS_6,ICS 6,genomic,SRR7774312 NCBI ENA,SRX4629512,SAMN09934461,Trinidad,Tc00551
ICS_60,ICS 60,genomic,SRR7774315 NCBI ENA,SRX4629509,SAMN09934462,Trinidad,Tc18242
ICS_61,ICS 61,genomic,SRR7774314 NCBI ENA,SRX4629510,SAMN09934463,Trinidad,-
ICS_95,ICS 95,genomic,SRR7774230 NCBI ENA,SRX4629594,SAMN09934464,gDNA Miami,Tc16546
ICS39,ICS 39,genomic,SRR7774299 NCBI ENA,SRX4629525,SAMN09934457,Costa Rica,17448
ICS40,ICS 40,genomic,SRR7774311 NCBI ENA,SRX4629513,SAMN09934458,Costa Rica,17449
IMC_12,IMC 12,genomic,SRR7774328 NCBI ENA,SRX4629496,SAMN09934466,Trinidad,18339
IMC_14,IMC 14,genomic,SRR7774329 NCBI ENA,SRX4629495,SAMN09934467,Trinidad,17733
IMC_20,IMC 20,genomic,SRR7774330 NCBI ENA,SRX4629494,SAMN09934468,Trinidad,Tc00707
IMC_36,IMC 36,genomic,SRR7774257 NCBI ENA,SRX4629567,SAMN09934469,Trinidad,Tc00709
IMC_47,IMC 47,genomic,SRR7774274 NCBI ENA,SRX4629550,SAMN09934470,Costa Rica,Tc16547
IMC_50,IMC 50,genomic,SRR7774285 NCBI ENA,SRX4629539,SAMN09934471,Trinidad,Tc00560
IMC_51,IMC 51,genomic,SRR7774343 NCBI ENA,SRX4629481,SAMN09934472,Trinidad,Tc00753
IMC67,IMC 67,genomic,SRR7774229 NCBI ENA,SRX4629595,SAMN09934465,Trinidad,Tc17736
JA_5_35,JA 5 /35 [POU],genomic,SRR7774344 NCBI ENA,SRX4629480,SAMN09934473,Trinidad,-
JA_5_36,JA 5 /36 [POU],genomic,SRR7774327 NCBI ENA,SRX4629497,SAMN09934474,Trinidad,-
JA_5_5,JA 5 /5 [POU],genomic,SRR7774331 NCBI ENA,SRX4629493,SAMN09934475,Trinidad,-
K82,K 82 [KER],genomic,SRR7774203 NCBI ENA,SRX4629621,SAMN09934476,Papua New Guinea,-
KA2,KA 2,genomic,SRR7774202 NCBI ENA,SRX4629622,SAMN09934477,Papua New Guinea,-
LCT_EEN_46,LCT EEN 46,genomic,SRR7774192 NCBI ENA,SRX4629632,SAMN09934480,Trinidad,Tc01431
LCT_EEN_83_S-8,LCT EEN 83 /S-8,genomic,SRR7774297 NCBI ENA,SRX4629527,SAMN09934481,Trinidad,-
LCT46_A1,LCT EEN 46,genomic,SRR7774201 NCBI ENA,SRX4629623,SAMN09934478,Ecuador,-
LCTEEN_141,LCT EEN 141,genomic,SRR7774326 NCBI ENA,SRX4629498,SAMN09934479,gDNA Miami,Tc01453
LP_3_40,LP 3 /40 [POU],genomic,SRR7774187 NCBI ENA,SRX4629637,SAMN09934482,Trinidad,18348
LP_4_48,LP 4 /48 [POU],genomic,SRR7774185 NCBI ENA,SRX4629639,SAMN09934483,Trinidad,-
LX_32,LX 32,genomic,SRR7774214 NCBI ENA,SRX4629610,SAMN09934484,Costa Rica,-
LX_43,LX 43,genomic,SRR7774296 NCBI ENA,SRX4629528,SAMN09934485,Costa Rica,-
M_8,M 8 [SUR],genomic,SRR7774292 NCBI ENA,SRX4629532,SAMN09934499,Trinidad,-
M01,M 1 [IDN],genomic,SRR7774264 NCBI ENA,SRX4629560,SAMN09934486,Indonesia (gDNA USDA),-
M02,M 2 [IDN],genomic,SRR7774265 NCBI ENA,SRX4629559,SAMN09934487,Indonesia (gDNA USDA),-
M04,M 4 [IDN],genomic,SRR7774262 NCBI ENA,SRX4629562,SAMN09934488,Indonesia (gDNA USDA),-
M05,M 5 [IDN],genomic,SRR7774263 NCBI ENA,SRX4629561,SAMN09934489,Indonesia (gDNA USDA),-
M06,M 6 [IDN],genomic,SRR7774260 NCBI ENA,SRX4629564,SAMN09934490,Indonesia (gDNA USDA),-
M07,M 7 [IDN],genomic,SRR7774261 NCBI ENA,SRX4629563,SAMN09934491,Indonesia (gDNA USDA),-
MAN_15_2,MAN 15 /2 [BRA],genomic,SRR7774258 NCBI ENA,SRX4629566,SAMN09934492,Costa Rica,17428
Matina,MATINA,genomic,SRR7774287 NCBI ENA,SRX4629537,SAMN09934500,Costa Rica,-
MATINA_Tica2,MATINA 2,genomic,SRR7774259 NCBI ENA,SRX4629565,SAMN09934493,Ecuador,-
MO_109,MO 109,genomic,SRR7774272 NCBI ENA,SRX4629552,SAMN09934494,Trinidad,Tc18213
MO_4,MO 4,genomic,SRR7774273 NCBI ENA,SRX4629551,SAMN09934495,Trinidad,18362
MO_9,MO 9,genomic,SRR7774291 NCBI ENA,SRX4629533,SAMN09934496,Trinidad,18370
MO_99,MO 99,genomic,SRR7774290 NCBI ENA,SRX4629534,SAMN09934497,Trinidad,Tc17508
Mocorongo,MOCORONGO,genomic,SRR7774286 NCBI ENA,SRX4629538,SAMN09934501,Costa Rica,17429
mvP30,P 30 [POS],genomic,SRR7774277 NCBI ENA,SRX4629547,SAMN09934581,-,-
mvT85,T 85 [POS],genomic,SRR7774280 NCBI ENA,SRX4629544,SAMN09934582,Indonesia,-
MXC_67,MXC 67,genomic,SRR7774293 NCBI ENA,SRX4629531,SAMN09934498,Trinidad,18391
NA_286,NA 286,genomic,SRR7774295 NCBI ENA,SRX4629529,SAMN09934504,Trinidad,18395
NA_33_T2,NA 33,genomic,SRR7774222 NCBI ENA,SRX4629602,SAMN09934506,Trinidad,Tc00797
NA_331,NA 331,genomic,SRR7774294 NCBI ENA,SRX4629530,SAMN09934505,Trinidad,Tc00923
NA_712,NA 712,genomic,SRR7774223 NCBI ENA,SRX4629601,SAMN09934507,Trinidad,Tc0629
NA_92,NA 92,genomic,SRR7774224 NCBI ENA,SRX4629600,SAMN09934508,Trinidad,Tc00657
NA45,NA 45,genomic,SRR7774289 NCBI ENA,SRX4629535,SAMN09934502,Costa Rica,Tc00602
NA702,NA 702,genomic,SRR7774288 NCBI ENA,SRX4629536,SAMN09934503,Trinidad,TC0930
NH_40,NH 40,genomic,SRR7774225 NCBI ENA,SRX4629599,SAMN09934509,"Bolivia, gDNA from Miami",6451
NH_53,NH 53,genomic,SRR7774218 NCBI ENA,SRX4629606,SAMN09934510,"Bolivia, gDNA from Miami",6464
OC_61,OC 61 [VEN],genomic,SRR7774219 NCBI ENA,SRX4629605,SAMN09934511,Trinidad,Tc17475
PA_107,PA 107 [PER],genomic,SRR7774216 NCBI ENA,SRX4629608,SAMN09934514,Trinidad,18407
PA_120,PA 120 [PER],genomic,SRR7774217 NCBI ENA,SRX4629607,SAMN09934515,Trinidad,Tc18221
PA_121,PA 121 [PER],genomic,SRR7774236 NCBI ENA,SRX4629588,SAMN09934516,"Costa Rica, gDNA from Miami",Tc00955
PA_13,PA 13 [PER],genomic,SRR7774235 NCBI ENA,SRX4629589,SAMN09934517,gDNA Miami,Tc18218
PA_137,PA 137 [PER],genomic,SRR7774234 NCBI ENA,SRX4629590,SAMN09934518,Trinidad,Tc15958
PA_150,PA 150 [PER],genomic,SRR7774233 NCBI ENA,SRX4629591,SAMN09934519,Trinidad,TC00501
PA_169,PA 169 [PER],genomic,SRR7774240 NCBI ENA,SRX4629584,SAMN09934520,Trinidad,Tc15974
PA_218,PA 218 [PER],genomic,SRR7774239 NCBI ENA,SRX4629585,SAMN09934521,Trinidad,18192
PA_51,PA 51 [PER],genomic,SRR7774238 NCBI ENA,SRX4629586,SAMN09934522,Miami,Tc00686
PA_56,PA 56 [PER],genomic,SRR7774237 NCBI ENA,SRX4629587,SAMN09934523,Trinidad,18396
PA_70,PA 70 [PER],genomic,SRR7774232 NCBI ENA,SRX4629592,SAMN09934524,gDNA Miami,Tc15954
PA_88,PA 88 [PER],genomic,SRR7774231 NCBI ENA,SRX4629593,SAMN09934525,gDNA Miami,TC00983
PA107_A1,PA 107 [PER],genomic,SRR7774220 NCBI ENA,SRX4629604,SAMN09934512,Trinidad,-
PA289,PA 289 [PER],genomic,SRR7774221 NCBI ENA,SRX4629603,SAMN09934513,Trinidad,Tc00511
PBC123,PBC 123,genomic,SRR7774164 NCBI ENA,SRX4629660,SAMN09934526,Indonesia (gDNA USDA),-
PlayaAlta1,PLAYA ALTA 1 [VEN],genomic,SRR7774169 NCBI ENA,SRX4629655,SAMN09934531,Trinidad,Tc16545
PMF_20,PMF 20,genomic,SRR7774165 NCBI ENA,SRX4629659,SAMN09934527,gDNA Miami,Tc11280
PMF_27,PMF 27,genomic,SRR7774162 NCBI ENA,SRX4629662,SAMN09934528,gDNA Miami,11287
POUND_10_B,POUND 10 /B,genomic,SRR7774163 NCBI ENA,SRX4629661,SAMN09934529,Trinidad,Tc00858
Pound_7,POUND 7,genomic,SRR7774166 NCBI ENA,SRX4629658,SAMN09934532,Costa Rica,-
POUND_7_B,POUND 7 /B,genomic,SRR7774168 NCBI ENA,SRX4629656,SAMN09934530,Trinidad,18419
RB_40,RB 40 [BRA],genomic,SRR7774160 NCBI ENA,SRX4629664,SAMN09934534,Costa Rica,Tc00449
RB_47_PL3,RB 47 [BRA],genomic,SRR7774161 NCBI ENA,SRX4629663,SAMN09934535,Costa Rica,Tc02518
RB39PL1,RB 39 [BRA],genomic,SRR7774167 NCBI ENA,SRX4629657,SAMN09934533,Costa Rica,Tc02522
REDAMEL_1_27,REDAMEL 1 /27,genomic,SRR7774194 NCBI ENA,SRX4629630,SAMN09934536,Trinidad,18180
REDAMEL_1_31,REDAMEL 1 /31,genomic,SRR7774193 NCBI ENA,SRX4629631,SAMN09934537,Trinidad,-
SC_1,SC 1 [COL],genomic,SRR7774190 NCBI ENA,SRX4629634,SAMN09934544,Costa Rica,-
SCA_10,SCA 10,genomic,SRR7774195 NCBI ENA,SRX4629629,SAMN09934539,Trinidad,Tc00984
SCA_11,SCA 11,genomic,SRR7774198 NCBI ENA,SRX4629626,SAMN09934540,Trinidad,Tc00882
SCA_19,SCA 19,genomic,SRR7774197 NCBI ENA,SRX4629627,SAMN09934541,Costa Rica,Tc00522
SCA_24.2,SCA 24,genomic,SRR7774200 NCBI ENA,SRX4629624,SAMN09934542,Costa Rica,Tc00523
SCA_5,SCA 5,genomic,SRR7774199 NCBI ENA,SRX4629625,SAMN09934543,gDNA Miami,Tc00884
SCA6**,SCA 6,genomic,SRR7774196 NCBI ENA,SRX4629628,SAMN09934538,gDNA Miami,Tc16548
SIAL169,SIAL 169,genomic,SRR7774189 NCBI ENA,SRX4629635,SAMN09934545,Costa Rica,Tc00179
SIAL70,SIAL 70,genomic,SRR7774316 NCBI ENA,SRX4629508,SAMN09934546,Costa Rica,Tc00185
SIAL84,SIAL 84,genomic,SRR7774317 NCBI ENA,SRX4629507,SAMN09934547,Costa Rica,Tc00186
SIC806,SIC 806,genomic,SRR7774318 NCBI ENA,SRX4629506,SAMN09934548,Costa Rica,Tc00200
SIL-1_G56_A6,SIL 1,genomic,SRR7774319 NCBI ENA,SRX4629505,SAMN09934549,Costa Rica,-
SJ_2_22,SJ 2 /22 [POU],genomic,SRR7774320 NCBI ENA,SRX4629504,SAMN09934550,Trinidad,18442
SLC_4,SLC 4,genomic,SRR7774321 NCBI ENA,SRX4629503,SAMN09934551,Trinidad,Tc17513
SNA0707,SNA 707,genomic,SRR7774322 NCBI ENA,SRX4629502,SAMN09934552,Costa Rica,-
sp1,SP 1 [VEN],genomic,SRR7774279 NCBI ENA,SRX4629545,SAMN09934583,Venezuela (gDNA USDA),-
sp3,SP 3 [VEN],genomic,SRR7774276 NCBI ENA,SRX4629548,SAMN09934584,Venezuela (gDNA USDA),-
sp9,SP 9 [VEN],genomic,SRR7774275 NCBI ENA,SRX4629549,SAMN09934585,Venezuela (gDNA USDA),-
SPA_7,SPA 7 [COL],genomic,SRR7774323 NCBI ENA,SRX4629501,SAMN09934553,Costa Rica,-
SPEC_194_75,SPEC 194 /75,genomic,SRR7774324 NCBI ENA,SRX4629500,SAMN09934554,Trinidad,Tc18235
SPEC_54_1,SPEC 54 /1,genomic,SRR7774325 NCBI ENA,SRX4629499,SAMN09934555,Costa Rica,Tc05194
T675_A645_A1,A 645 [ECU],genomic,SRR7774341 NCBI ENA,SRX4629483,SAMN09934556,Ecuador,-
T678_B60_A1,B 60 [ECU],genomic,SRR7774340 NCBI ENA,SRX4629484,SAMN09934557,Ecuador,-
T680_A1,CCN 51,genomic,SRR7774339 NCBI ENA,SRX4629485,SAMN09934558,Ecuador,-
T682_A1_D147,INIAP T 682 A1 D147,genomic,SRR7774338 NCBI ENA,SRX4629486,SAMN09934559,Ecuador,-
T684_EET233_A1,EET 233 [ECU],genomic,SRR7774337 NCBI ENA,SRX4629487,SAMN09934560,Ecuador,-
T685_EET387_A1,EET 387 [ECU],genomic,SRR7774336 NCBI ENA,SRX4629488,SAMN09934561,Ecuador,-
T686_LCT-368_A1,LCT EEN 368,genomic,SRR7774335 NCBI ENA,SRX4629489,SAMN09934562,Ecuador,-
T695_SCA-6_A1,SCA 6,genomic,SRR7774334 NCBI ENA,SRX4629490,SAMN09934563,Ecuador,-
TAP10_G12_A1,TAP 10 [CHA],genomic,SRR7774333 NCBI ENA,SRX4629491,SAMN09934564,Ecuador,-
TAP3_G70_A2,TAP 3 [CHA],genomic,SRR7774332 NCBI ENA,SRX4629492,SAMN09934565,Ecuador,-
TAP6_G12_A1,TAP 6 [CHA],genomic,SRR7774252 NCBI ENA,SRX4629572,SAMN09934566,Ecuador,-
TIP-1_G41_A1,TIPUTINI 1 [CHA],genomic,SRR7774253 NCBI ENA,SRX4629571,SAMN09934567,Ecuador,-
TRD_45,TRD 45,genomic,SRR7774191 NCBI ENA,SRX4629633,SAMN09934569,Trinidad,18443
TRD86,TRD 86,genomic,SRR7774188 NCBI ENA,SRX4629636,SAMN09934568,Trinidad,-
TSA654Zymo,TSA 654,genomic,SRR7774248 NCBI ENA,SRX4629576,SAMN09934570,Costa Rica,17457
TSH1188,TSH 1188,genomic,SRR7774249 NCBI ENA,SRX4629575,SAMN09934571,"Brazil, MARS",-
TSH516,TSH 516,genomic,SRR7774246 NCBI ENA,SRX4629578,SAMN09934572,Costa Rica,17455
UF_11,UF 11,genomic,SRR7774282 NCBI ENA,SRX4629542,SAMN09934576,Costa Rica,18446
UF_668,UF 668,genomic,SRR7774281 NCBI ENA,SRX4629543,SAMN09934577,Costa Rica,17456
UF_676,UF 676,genomic,SRR7774284 NCBI ENA,SRX4629540,SAMN09934578,Costa Rica,Tc13037
UF12,UF 12,genomic,SRR7774247 NCBI ENA,SRX4629577,SAMN09934573,Costa Rica,17434
UF273_T1,UF 273,genomic,SRR7774244 NCBI ENA,SRX4629580,SAMN09934574,Costa Rica,-
UF273_T2,UF 273,genomic,SRR7774245 NCBI ENA,SRX4629579,SAMN09934575,Costa Rica,-
UNAP2_G78_A2,UNAP 2 [CHA],genomic,SRR7774283 NCBI ENA,SRX4629541,SAMN09934579,Ecuador,-
